,Country,Sex,Year,Obesity (%),Region,BMI
1008,Australia,Both sexes,1975,10.5 [7.9-13.4],Oceania,10.5
1009,Australia,Male,1975,9.7 [6.2-13.9],Oceania,9.7
1010,Australia,Female,1975,11.2 [7.6-15.2],Oceania,11.2
1011,Australia,Both sexes,1976,10.8 [8.2-13.5],Oceania,10.8
1012,Australia,Male,1976,10.0 [6.6-14.0],Oceania,10.0
1013,Australia,Female,1976,11.5 [8.0-15.4],Oceania,11.5
1014,Australia,Both sexes,1977,11.0 [8.6-13.8],Oceania,11.0
1015,Australia,Male,1977,10.3 [7.0-14.1],Oceania,10.3
1016,Australia,Female,1977,11.7 [8.3-15.6],Oceania,11.7
1017,Australia,Both sexes,1978,11.3 [8.9-13.9],Oceania,11.3
1018,Australia,Male,1978,10.6 [7.3-14.2],Oceania,10.6
1019,Australia,Female,1978,12.0 [8.7-15.7],Oceania,12.0
1020,Australia,Both sexes,1979,11.6 [9.3-14.1],Oceania,11.6
1021,Australia,Male,1979,10.8 [7.7-14.4],Oceania,10.8
1022,Australia,Female,1979,12.3 [9.0-15.8],Oceania,12.3
1023,Australia,Both sexes,1980,11.9 [9.6-14.4],Oceania,11.9
1024,Australia,Male,1980,11.2 [8.0-14.6],Oceania,11.2
1025,Australia,Female,1980,12.6 [9.4-16.0],Oceania,12.6
1026,Australia,Both sexes,1981,12.2 [10.0-14.6],Oceania,12.2
1027,Australia,Male,1981,11.5 [8.3-14.8],Oceania,11.5
1028,Australia,Female,1981,12.8 [9.8-16.2],Oceania,12.8
1029,Australia,Both sexes,1982,12.5 [10.3-14.9],Oceania,12.5
1030,Australia,Male,1982,11.8 [8.7-15.1],Oceania,11.8
1031,Australia,Female,1982,13.1 [10.1-16.5],Oceania,13.1
1032,Australia,Both sexes,1983,12.8 [10.7-15.2],Oceania,12.8
1033,Australia,Male,1983,12.1 [9.0-15.3],Oceania,12.1
1034,Australia,Female,1983,13.4 [10.4-16.7],Oceania,13.4
1035,Australia,Both sexes,1984,13.1 [11.0-15.4],Oceania,13.1
1036,Australia,Male,1984,12.4 [9.4-15.6],Oceania,12.4
1037,Australia,Female,1984,13.7 [10.8-16.9],Oceania,13.7
1038,Australia,Both sexes,1985,13.5 [11.3-15.8],Oceania,13.5
1039,Australia,Male,1985,12.8 [9.7-16.0],Oceania,12.8
1040,Australia,Female,1985,14.1 [11.1-17.2],Oceania,14.1
1041,Australia,Both sexes,1986,13.8 [11.7-16.1],Oceania,13.8
1042,Australia,Male,1986,13.2 [10.1-16.3],Oceania,13.2
1043,Australia,Female,1986,14.4 [11.5-17.6],Oceania,14.4
1044,Australia,Both sexes,1987,14.2 [12.0-16.5],Oceania,14.2
1045,Australia,Male,1987,13.5 [10.4-16.7],Oceania,13.5
1046,Australia,Female,1987,14.7 [11.8-17.9],Oceania,14.7
1047,Australia,Both sexes,1988,14.5 [12.4-16.8],Oceania,14.5
1048,Australia,Male,1988,13.9 [10.8-17.1],Oceania,13.9
1049,Australia,Female,1988,15.1 [12.2-18.2],Oceania,15.1
1050,Australia,Both sexes,1989,14.9 [12.8-17.2],Oceania,14.9
1051,Australia,Male,1989,14.3 [11.2-17.6],Oceania,14.3
1052,Australia,Female,1989,15.5 [12.6-18.6],Oceania,15.5
1053,Australia,Both sexes,1990,15.3 [13.2-17.6],Oceania,15.3
1054,Australia,Male,1990,14.7 [11.6-18.0],Oceania,14.7
1055,Australia,Female,1990,15.8 [13.0-19.0],Oceania,15.8
1056,Australia,Both sexes,1991,15.7 [13.6-18.0],Oceania,15.7
1057,Australia,Male,1991,15.2 [12.0-18.5],Oceania,15.2
1058,Australia,Female,1991,16.2 [13.3-19.4],Oceania,16.2
1059,Australia,Both sexes,1992,16.2 [14.0-18.5],Oceania,16.2
1060,Australia,Male,1992,15.6 [12.4-19.0],Oceania,15.6
1061,Australia,Female,1992,16.7 [13.7-19.9],Oceania,16.7
1062,Australia,Both sexes,1993,16.6 [14.5-19.0],Oceania,16.6
1063,Australia,Male,1993,16.1 [12.9-19.5],Oceania,16.1
1064,Australia,Female,1993,17.1 [14.1-20.3],Oceania,17.1
1065,Australia,Both sexes,1994,17.1 [14.9-19.5],Oceania,17.1
1066,Australia,Male,1994,16.6 [13.4-20.0],Oceania,16.6
1067,Australia,Female,1994,17.5 [14.5-20.7],Oceania,17.5
1068,Australia,Both sexes,1995,17.6 [15.4-20.0],Oceania,17.6
1069,Australia,Male,1995,17.1 [13.9-20.6],Oceania,17.1
1070,Australia,Female,1995,18.0 [15.0-21.2],Oceania,18.0
1071,Australia,Both sexes,1996,18.1 [15.9-20.5],Oceania,18.1
1072,Australia,Male,1996,17.7 [14.4-21.2],Oceania,17.7
1073,Australia,Female,1996,18.5 [15.4-21.7],Oceania,18.5
1074,Australia,Both sexes,1997,18.6 [16.4-21.0],Oceania,18.6
