,Country,Sex,Year,Obesity (%),Region,BMI
0,Afghanistan,Both sexes,1975,0.5 [0.2-1.1],South Asia,0.5
1,Afghanistan,Male,1975,0.2 [0.0-0.6],South Asia,0.2
2,Afghanistan,Female,1975,0.8 [0.2-2.0],South Asia,0.8
3,Afghanistan,Both sexes,1976,0.5 [0.2-1.1],South Asia,0.5
4,Afghanistan,Male,1976,0.2 [0.0-0.7],South Asia,0.2
5,Afghanistan,Female,1976,0.8 [0.2-2.0],South Asia,0.8
6,Afghanistan,Both sexes,1977,0.6 [0.2-1.2],South Asia,0.6
7,Afghanistan,Male,1977,0.2 [0.0-0.7],South Asia,0.2
8,Afghanistan,Female,1977,0.9 [0.3-2.1],South Asia,0.9
9,Afghanistan,Both sexes,1978,0.6 [0.2-1.3],South Asia,0.6
10,Afghanistan,Male,1978,0.2 [0.1-0.7],South Asia,0.2
11,Afghanistan,Female,1978,0.9 [0.3-2.2],South Asia,0.9
12,Afghanistan,Both sexes,1979,0.6 [0.3-1.3],South Asia,0.6
13,Afghanistan,Male,1979,0.3 [0.1-0.8],South Asia,0.3
14,Afghanistan,Female,1979,1.0 [0.3-2.3],South Asia,1.0
15,Afghanistan,Both sexes,1980,0.7 [0.3-1.4],South Asia,0.7
16,Afghanistan,Male,1980,0.3 [0.1-0.8],South Asia,0.3
17,Afghanistan,Female,1980,1.1 [0.4-2.4],South Asia,1.1
18,Afghanistan,Both sexes,1981,0.7 [0.3-1.4],South Asia,0.7
19,Afghanistan,Male,1981,0.3 [0.1-0.8],South Asia,0.3
20,Afghanistan,Female,1981,1.1 [0.4-2.5],South Asia,1.1
21,Afghanistan,Both sexes,1982,0.8 [0.4-1.5],South Asia,0.8
22,Afghanistan,Male,1982,0.3 [0.1-0.9],South Asia,0.3
23,Afghanistan,Female,1982,1.2 [0.4-2.6],South Asia,1.2
24,Afghanistan,Both sexes,1983,0.8 [0.4-1.6],South Asia,0.8
25,Afghanistan,Male,1983,0.4 [0.1-0.9],South Asia,0.4
26,Afghanistan,Female,1983,1.3 [0.5-2.7],South Asia,1.3
27,Afghanistan,Both sexes,1984,0.9 [0.4-1.7],South Asia,0.9
28,Afghanistan,Male,1984,0.4 [0.1-1.0],South Asia,0.4
29,Afghanistan,Female,1984,1.4 [0.5-2.9],South Asia,1.4
30,Afghanistan,Both sexes,1985,1.0 [0.5-1.8],South Asia,1.0
31,Afghanistan,Male,1985,0.4 [0.1-1.0],South Asia,0.4
32,Afghanistan,Female,1985,1.5 [0.6-3.0],South Asia,1.5
33,Afghanistan,Both sexes,1986,1.0 [0.5-1.9],South Asia,1.0
34,Afghanistan,Male,1986,0.4 [0.1-1.1],South Asia,0.4
35,Afghanistan,Female,1986,1.5 [0.6-3.1],South Asia,1.5
36,Afghanistan,Both sexes,1987,1.1 [0.5-2.0],South Asia,1.1
37,Afghanistan,Male,1987,0.5 [0.1-1.2],South Asia,0.5
38,Afghanistan,Female,1987,1.6 [0.7-3.2],South Asia,1.6
39,Afghanistan,Both sexes,1988,1.2 [0.6-2.1],South Asia,1.2
40,Afghanistan,Male,1988,0.5 [0.2-1.2],South Asia,0.5
41,Afghanistan,Female,1988,1.7 [0.7-3.4],South Asia,1.7
42,Afghanistan,Both sexes,1989,1.2 [0.6-2.2],South Asia,1.2
43,Afghanistan,Male,1989,0.6 [0.2-1.3],South Asia,0.6
44,Afghanistan,Female,1989,1.8 [0.8-3.5],South Asia,1.8
45,Afghanistan,Both sexes,1990,1.3 [0.7-2.3],South Asia,1.3
46,Afghanistan,Male,1990,0.6 [0.2-1.4],South Asia,0.6
47,Afghanistan,Female,1990,1.9 [0.9-3.7],South Asia,1.9
48,Afghanistan,Both sexes,1991,1.4 [0.7-2.4],South Asia,1.4
49,Afghanistan,Male,1991,0.6 [0.2-1.5],South Asia,0.6
50,Afghanistan,Female,1991,2.1 [0.9-3.9],South Asia,2.1
51,Afghanistan,Both sexes,1992,1.5 [0.8-2.5],South Asia,1.5
52,Afghanistan,Male,1992,0.7 [0.2-1.6],South Asia,0.7
53,Afghanistan,Female,1992,2.2 [1.0-4.1],South Asia,2.2
54,Afghanistan,Both sexes,1993,1.5 [0.8-2.6],South Asia,1.5
55,Afghanistan,Male,1993,0.7 [0.2-1.7],South Asia,0.7
56,Afghanistan,Female,1993,2.3 [1.1-4.3],South Asia,2.3
57,Afghanistan,Both sexes,1994,1.6 [0.9-2.8],South Asia,1.6
58,Afghanistan,Male,1994,0.8 [0.3-1.8],South Asia,0.8
59,Afghanistan,Female,1994,2.4 [1.2-4.5],South Asia,2.4
60,Afghanistan,Both sexes,1995,1.7 [1.0-2.9],South Asia,1.7
61,Afghanistan,Male,1995,0.8 [0.3-1.9],South Asia,0.8
62,Afghanistan,Female,1995,2.6 [1.2-4.7],South Asia,2.6
63,Afghanistan,Both sexes,1996,1.8 [1.0-3.0],South Asia,1.8
64,Afghanistan,Male,1996,0.9 [0.3-2.0],South Asia,0.9
65,Afghanistan,Female,1996,2.7 [1.3-4.9],South Asia,2.7
66,Afghanistan,Both sexes,1997,1.9 [1.1-3.2],South Asia,1.9
67,Afghanistan,Male,1997,1.0 [0.4-2.1],South Asia,1.0
68,Afghanistan,Female,1997,2.9 [1.4-5.1],South Asia,2.9
69,Afghanistan,Both sexes,1998,2.1 [1.2-3.3],South Asia,2.1
70,Afghanistan,Male,1998,1.0 [0.4-2.2],South Asia,1.0
71,Afghanistan,Female,1998,3.0 [1.5-5.4],South Asia,3.0
72,Afghanistan,Both sexes,1999,2.2 [1.3-3.5],South Asia,2.2
73,Afghanistan,Male,1999,1.1 [0.4-2.4],South Asia,1.1
74,Afghanistan,Female,1999,3.2 [1.6-5.6],South Asia,3.2
75,Afghanistan,Both sexes,2000,2.3 [1.3-3.7],South Asia,2.3
76,Afghanistan,Male,2000,1.2 [0.4-2.5],South Asia,1.2
77,Afghanistan,Female,2000,3.4 [1.8-5.9],South Asia,3.4
78,Afghanistan,Both sexes,2001,2.4 [1.4-3.8],South Asia,2.4
79,Afghanistan,Male,2001,1.3 [0.5-2.7],South Asia,1.3
80,Afghanistan,Female,2001,3.6 [1.9-6.2],South Asia,3.6
81,Afghanistan,Both sexes,2002,2.6 [1.5-4.0],South Asia,2.6
82,Afghanistan,Male,2002,1.3 [0.5-2.8],South Asia,1.3
83,Afghanistan,Female,2002,3.8 [2.0-6.4],South Asia,3.8
84,Afghanistan,Both sexes,2003,2.7 [1.6-4.2],South Asia,2.7
85,Afghanistan,Male,2003,1.4 [0.6-3.0],South Asia,1.4
86,Afghanistan,Female,2003,4.0 [2.1-6.7],South Asia,4.0
87,Afghanistan,Both sexes,2004,2.9 [1.7-4.4],South Asia,2.9
88,Afghanistan,Male,2004,1.5 [0.6-3.1],South Asia,1.5
89,Afghanistan,Female,2004,4.2 [2.3-7.0],South Asia,4.2
90,Afghanistan,Both sexes,2005,3.0 [1.9-4.6],South Asia,3.0
91,Afghanistan,Male,2005,1.6 [0.7-3.3],South Asia,1.6
92,Afghanistan,Female,2005,4.4 [2.4-7.3],South Asia,4.4
93,Afghanistan,Both sexes,2006,3.2 [2.0-4.9],South Asia,3.2
94,Afghanistan,Male,2006,1.7 [0.7-3.5],South Asia,1.7
95,Afghanistan,Female,2006,4.7 [2.6-7.7],South Asia,4.7
96,Afghanistan,Both sexes,2007,3.4 [2.1-5.1],South Asia,3.4
97,Afghanistan,Male,2007,1.8 [0.8-3.7],South Asia,1.8
98,Afghanistan,Female,2007,4.9 [2.8-8.0],South Asia,4.9
99,Afghanistan,Both sexes,2008,3.6 [2.2-5.4],South Asia,3.6
100,Afghanistan,Male,2008,2.0 [0.8-3.9],South Asia,2.0
101,Afghanistan,Female,2008,5.2 [2.9-8.4],South Asia,5.2
102,Afghanistan,Both sexes,2009,3.8 [2.4-5.6],South Asia,3.8
103,Afghanistan,Male,2009,2.1 [0.9-4.2],South Asia,2.1
104,Afghanistan,Female,2009,5.4 [3.1-8.8],South Asia,5.4
105,Afghanistan,Both sexes,2010,4.0 [2.5-5.9],South Asia,4.0
106,Afghanistan,Male,2010,2.2 [1.0-4.4],South Asia,2.2
107,Afghanistan,Female,2010,5.7 [3.3-9.2],South Asia,5.7
108,Afghanistan,Both sexes,2011,4.2 [2.6-6.2],South Asia,4.2
109,Afghanistan,Male,2011,2.4 [1.0-4.7],South Asia,2.4
110,Afghanistan,Female,2011,6.0 [3.4-9.7],South Asia,6.0
111,Afghanistan,Both sexes,2012,4.4 [2.8-6.6],South Asia,4.4
