,Country,Sex,Year,Obesity (%),Region,BMI
126,Albania,Both sexes,1975,6.5 [3.6-10.5],Balkans,6.5
127,Albania,Male,1975,4.4 [1.7-9.2],Balkans,4.4
128,Albania,Female,1975,8.6 [3.9-15.4],Balkans,8.6
129,Albania,Both sexes,1976,6.7 [3.8-10.6],Balkans,6.7
130,Albania,Male,1976,4.6 [1.8-9.2],Balkans,4.6
131,Albania,Female,1976,8.8 [4.1-15.4],Balkans,8.8
132,Albania,Both sexes,1977,6.8 [4.0-10.7],Balkans,6.8
133,Albania,Male,1977,4.8 [2.0-9.3],Balkans,4.8
134,Albania,Female,1977,8.9 [4.3-15.4],Balkans,8.9
135,Albania,Both sexes,1978,7.0 [4.2-10.8],Balkans,7.0
136,Albania,Male,1978,5.0 [2.1-9.4],Balkans,5.0
137,Albania,Female,1978,9.1 [4.6-15.5],Balkans,9.1
138,Albania,Both sexes,1979,7.2 [4.4-10.9],Balkans,7.2
139,Albania,Male,1979,5.2 [2.3-9.6],Balkans,5.2
140,Albania,Female,1979,9.3 [4.8-15.5],Balkans,9.3
141,Albania,Both sexes,1980,7.4 [4.6-11.0],Balkans,7.4
142,Albania,Male,1980,5.4 [2.4-9.7],Balkans,5.4
143,Albania,Female,1980,9.5 [5.0-15.5],Balkans,9.5
144,Albania,Both sexes,1981,7.6 [4.9-11.2],Balkans,7.6
145,Albania,Male,1981,5.6 [2.6-9.9],Balkans,5.6
146,Albania,Female,1981,9.7 [5.3-15.7],Balkans,9.7
147,Albania,Both sexes,1982,7.8 [5.1-11.4],Balkans,7.8
148,Albania,Male,1982,5.8 [2.8-10.1],Balkans,5.8
149,Albania,Female,1982,9.9 [5.5-15.8],Balkans,9.9
150,Albania,Both sexes,1983,8.0 [5.3-11.6],Balkans,8.0
151,Albania,Male,1983,6.0 [2.9-10.4],Balkans,6.0
152,Albania,Female,1983,10.1 [5.7-15.9],Balkans,10.1
153,Albania,Both sexes,1984,8.3 [5.5-11.8],Balkans,8.3
154,Albania,Male,1984,6.3 [3.1-10.7],Balkans,6.3
155,Albania,Female,1984,10.3 [6.0-16.1],Balkans,10.3
156,Albania,Both sexes,1985,8.5 [5.7-12.0],Balkans,8.5
157,Albania,Male,1985,6.5 [3.3-10.9],Balkans,6.5
158,Albania,Female,1985,10.6 [6.2-16.2],Balkans,10.6
159,Albania,Both sexes,1986,8.7 [6.0-12.3],Balkans,8.7
160,Albania,Male,1986,6.8 [3.5-11.3],Balkans,6.8
161,Albania,Female,1986,10.8 [6.5-16.4],Balkans,10.8
162,Albania,Both sexes,1987,9.0 [6.2-12.5],Balkans,9.0
163,Albania,Male,1987,7.0 [3.7-11.6],Balkans,7.0
164,Albania,Female,1987,11.0 [6.7-16.5],Balkans,11.0
165,Albania,Both sexes,1988,9.3 [6.4-12.8],Balkans,9.3
166,Albania,Male,1988,7.3 [3.9-11.9],Balkans,7.3
167,Albania,Female,1988,11.3 [6.9-16.6],Balkans,11.3
168,Albania,Both sexes,1989,9.5 [6.6-13.0],Balkans,9.5
169,Albania,Male,1989,7.6 [4.1-12.3],Balkans,7.6
170,Albania,Female,1989,11.5 [7.1-16.8],Balkans,11.5
171,Albania,Both sexes,1990,9.8 [6.9-13.3],Balkans,9.8
172,Albania,Male,1990,7.9 [4.3-12.6],Balkans,7.9
173,Albania,Female,1990,11.7 [7.4-16.9],Balkans,11.7
174,Albania,Both sexes,1991,10.1 [7.1-13.6],Balkans,10.1
175,Albania,Male,1991,8.2 [4.6-12.9],Balkans,8.2
176,Albania,Female,1991,12.0 [7.7-17.2],Balkans,12.0
177,Albania,Both sexes,1992,10.4 [7.3-13.9],Balkans,10.4
178,Albania,Male,1992,8.5 [4.8-13.3],Balkans,8.5
179,Albania,Female,1992,12.2 [7.9-17.5],Balkans,12.2
180,Albania,Both sexes,1993,10.7 [7.6-14.2],Balkans,10.7
181,Albania,Male,1993,8.8 [5.1-13.7],Balkans,8.8
182,Albania,Female,1993,12.5 [8.2-17.7],Balkans,12.5
183,Albania,Both sexes,1994,11.0 [7.9-14.5],Balkans,11.0
184,Albania,Male,1994,9.2 [5.3-14.1],Balkans,9.2
185,Albania,Female,1994,12.8 [8.4-17.9],Balkans,12.8
186,Albania,Both sexes,1995,11.3 [8.2-14.9],Balkans,11.3
187,Albania,Male,1995,9.6 [5.6-14.6],Balkans,9.6
188,Albania,Female,1995,13.1 [8.7-18.3],Balkans,13.1
189,Albania,Both sexes,1996,11.7 [8.5-15.2],Balkans,11.7
190,Albania,Male,1996,10.0 [5.9-15.0],Balkans,10.0
191,Albania,Female,1996,13.4 [9.0-18.6],Balkans,13.4
192,Albania,Both sexes,1997,12.0 [8.9-15.6],Balkans,12.0
193,Albania,Male,1997,10.4 [6.2-15.4],Balkans,10.4
194,Albania,Female,1997,13.7 [9.2-18.8],Balkans,13.7
195,Albania,Both sexes,1998,12.4 [9.2-16.0],Balkans,12.4
196,Albania,Male,1998,10.8 [6.5-15.9],Balkans,10.8
197,Albania,Female,1998,14.0 [9.5-19.1],Balkans,14.0
198,Albania,Both sexes,1999,12.8 [9.5-16.4],Balkans,12.8
