Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.9 [3.9-10.9],North Africa,6.9
Male,1975,2.8 [1.0-6.0],North Africa,2.8
Female,1975,10.7 [5.5-18.0],North Africa,10.7
Both sexes,1976,7.2 [4.1-11.1],North Africa,7.2
Male,1976,2.9 [1.1-6.1],North Africa,2.9
Female,1976,11.1 [5.8-18.2],North Africa,11.1
Both sexes,1977,7.4 [4.3-11.3],North Africa,7.4
Male,1977,3.1 [1.2-6.2],North Africa,3.1
Female,1977,11.4 [6.2-18.4],North Africa,11.4
Both sexes,1978,7.7 [4.6-11.4],North Africa,7.7
Male,1978,3.2 [1.3-6.4],North Africa,3.2
Female,1978,11.8 [6.5-18.6],North Africa,11.8
Both sexes,1979,8.0 [4.9-11.7],North Africa,8.0
Male,1979,3.4 [1.4-6.6],North Africa,3.4
Female,1979,12.2 [6.9-18.9],North Africa,12.2
Both sexes,1980,8.3 [5.2-12.0],North Africa,8.3
Male,1980,3.6 [1.6-6.7],North Africa,3.6
Female,1980,12.7 [7.3-19.3],North Africa,12.7
Both sexes,1981,8.6 [5.5-12.3],North Africa,8.6
Male,1981,3.8 [1.7-7.0],North Africa,3.8
Female,1981,13.1 [7.8-19.7],North Africa,13.1
Both sexes,1982,9.0 [5.9-12.6],North Africa,9.0
Male,1982,4.0 [1.9-7.2],North Africa,4.0
Female,1982,13.6 [8.2-20.1],North Africa,13.6
Both sexes,1983,9.4 [6.2-12.9],North Africa,9.4
Male,1983,4.3 [2.0-7.5],North Africa,4.3
Female,1983,14.1 [8.8-20.5],North Africa,14.1
Both sexes,1984,9.7 [6.6-13.3],North Africa,9.7
Male,1984,4.5 [2.2-7.8],North Africa,4.5
Female,1984,14.6 [9.3-21.0],North Africa,14.6
Both sexes,1985,10.2 [7.0-13.7],North Africa,10.2
Male,1985,4.8 [2.4-8.1],North Africa,4.8
Female,1985,15.2 [9.8-21.4],North Africa,15.2
Both sexes,1986,10.6 [7.4-14.1],North Africa,10.6
Male,1986,5.1 [2.6-8.5],North Africa,5.1
Female,1986,15.7 [10.4-21.8],North Africa,15.7
Both sexes,1987,11.0 [7.8-14.6],North Africa,11.0
Male,1987,5.4 [2.8-8.9],North Africa,5.4
Female,1987,16.3 [10.9-22.4],North Africa,16.3
Both sexes,1988,11.5 [8.2-15.0],North Africa,11.5
Male,1988,5.7 [3.0-9.2],North Africa,5.7
Female,1988,16.9 [11.4-23.0],North Africa,16.9
Both sexes,1989,11.9 [8.7-15.4],North Africa,11.9
Male,1989,6.0 [3.2-9.6],North Africa,6.0
Female,1989,17.5 [12.0-23.5],North Africa,17.5
Both sexes,1990,12.4 [9.1-15.9],North Africa,12.4
Male,1990,6.3 [3.5-10.0],North Africa,6.3
Female,1990,18.1 [12.5-24.0],North Africa,18.1
Both sexes,1991,12.8 [9.6-16.3],North Africa,12.8
Male,1991,6.7 [3.7-10.4],North Africa,6.7
Female,1991,18.7 [13.1-24.5],North Africa,18.7
Both sexes,1992,13.3 [10.0-16.8],North Africa,13.3
Male,1992,7.0 [4.0-10.8],North Africa,7.0
Female,1992,19.3 [13.7-25.2],North Africa,19.3
Both sexes,1993,13.8 [10.5-17.3],North Africa,13.8
Male,1993,7.4 [4.3-11.3],North Africa,7.4
Female,1993,19.9 [14.3-25.8],North Africa,19.9
Both sexes,1994,14.3 [10.9-17.8],North Africa,14.3
Male,1994,7.8 [4.6-11.8],North Africa,7.8
Female,1994,20.5 [14.9-26.4],North Africa,20.5
Both sexes,1995,14.8 [11.4-18.3],North Africa,14.8
Male,1995,8.2 [4.8-12.3],North Africa,8.2
Female,1995,21.1 [15.5-27.0],North Africa,21.1
Both sexes,1996,15.3 [11.9-18.8],North Africa,15.3
Male,1996,8.6 [5.1-12.8],North Africa,8.6
Female,1996,21.7 [16.1-27.7],North Africa,21.7
Both sexes,1997,15.8 [12.4-19.4],North Africa,15.8
