Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.9 [8.6-18.1],Southern Europe,12.9
Male,1975,9.7 [4.7-16.3],Southern Europe,9.7
Female,1975,15.8 [9.2-23.9],Southern Europe,15.8
Both sexes,1976,13.5 [9.1-18.6],Southern Europe,13.5
Male,1976,10.2 [5.2-16.9],Southern Europe,10.2
Female,1976,16.4 [9.8-24.4],Southern Europe,16.4
Both sexes,1977,14.0 [9.6-19.1],Southern Europe,14.0
Male,1977,10.7 [5.6-17.4],Southern Europe,10.7
Female,1977,16.9 [10.4-24.8],Southern Europe,16.9
Both sexes,1978,14.5 [10.1-19.6],Southern Europe,14.5
Male,1978,11.2 [6.0-18.0],Southern Europe,11.2
Female,1978,17.5 [10.9-25.3],Southern Europe,17.5
Both sexes,1979,15.0 [10.6-20.1],Southern Europe,15.0
Male,1979,11.8 [6.4-18.4],Southern Europe,11.8
Female,1979,18.0 [11.4-25.7],Southern Europe,18.0
Both sexes,1980,15.5 [11.1-20.6],Southern Europe,15.5
Male,1980,12.3 [6.9-18.9],Southern Europe,12.3
Female,1980,18.5 [11.9-26.1],Southern Europe,18.5
Both sexes,1981,16.0 [11.6-21.0],Southern Europe,16.0
Male,1981,12.8 [7.3-19.4],Southern Europe,12.8
Female,1981,18.9 [12.4-26.5],Southern Europe,18.9
Both sexes,1982,16.5 [12.1-21.5],Southern Europe,16.5
Male,1982,13.3 [7.8-20.0],Southern Europe,13.3
Female,1982,19.4 [12.9-27.0],Southern Europe,19.4
Both sexes,1983,16.9 [12.5-21.9],Southern Europe,16.9
Male,1983,13.8 [8.1-20.5],Southern Europe,13.8
Female,1983,19.8 [13.3-27.2],Southern Europe,19.8
Both sexes,1984,17.4 [12.9-22.3],Southern Europe,17.4
Male,1984,14.3 [8.5-21.0],Southern Europe,14.3
Female,1984,20.2 [13.7-27.6],Southern Europe,20.2
Both sexes,1985,17.8 [13.3-22.7],Southern Europe,17.8
Male,1985,14.7 [9.0-21.5],Southern Europe,14.7
Female,1985,20.6 [14.1-28.0],Southern Europe,20.6
Both sexes,1986,18.2 [13.7-23.1],Southern Europe,18.2
Male,1986,15.2 [9.4-22.0],Southern Europe,15.2
Female,1986,21.0 [14.5-28.3],Southern Europe,21.0
Both sexes,1987,18.6 [14.1-23.5],Southern Europe,18.6
Male,1987,15.7 [9.7-22.5],Southern Europe,15.7
Female,1987,21.3 [14.8-28.6],Southern Europe,21.3
