Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.8 [0.3-1.9],Southern Africa,0.8
Male,1975,0.2 [0.0-0.8],Southern Africa,0.2
Female,1975,1.4 [0.4-3.4],Southern Africa,1.4
Both sexes,1976,0.9 [0.3-2.0],Southern Africa,0.9
Male,1976,0.3 [0.0-0.9],Southern Africa,0.3
Female,1976,1.4 [0.4-3.5],Southern Africa,1.4
Both sexes,1977,0.9 [0.3-2.0],Southern Africa,0.9
Male,1977,0.3 [0.0-0.9],Southern Africa,0.3
Female,1977,1.5 [0.4-3.6],Southern Africa,1.5
Both sexes,1978,1.0 [0.4-2.1],Southern Africa,1.0
Male,1978,0.3 [0.1-0.9],Southern Africa,0.3
Female,1978,1.6 [0.5-3.7],Southern Africa,1.6
Both sexes,1979,1.1 [0.4-2.2],Southern Africa,1.1
Male,1979,0.3 [0.1-1.0],Southern Africa,0.3
Female,1979,1.7 [0.5-3.8],Southern Africa,1.7
Both sexes,1980,1.1 [0.4-2.3],Southern Africa,1.1
Male,1980,0.3 [0.1-1.0],Southern Africa,0.3
Female,1980,1.8 [0.6-4.0],Southern Africa,1.8
Both sexes,1981,1.2 [0.5-2.4],Southern Africa,1.2
Male,1981,0.4 [0.1-1.0],Southern Africa,0.4
Female,1981,1.9 [0.7-4.1],Southern Africa,1.9
Both sexes,1982,1.3 [0.5-2.5],Southern Africa,1.3
Male,1982,0.4 [0.1-1.1],Southern Africa,0.4
Female,1982,2.0 [0.7-4.3],Southern Africa,2.0
Both sexes,1983,1.3 [0.6-2.6],Southern Africa,1.3
Male,1983,0.4 [0.1-1.2],Southern Africa,0.4
Female,1983,2.2 [0.8-4.5],Southern Africa,2.2
Both sexes,1984,1.4 [0.6-2.7],Southern Africa,1.4
Male,1984,0.5 [0.1-1.2],Southern Africa,0.5
Female,1984,2.3 [0.9-4.7],Southern Africa,2.3
Both sexes,1985,1.5 [0.7-2.8],Southern Africa,1.5
Male,1985,0.5 [0.1-1.3],Southern Africa,0.5
Female,1985,2.4 [0.9-4.9],Southern Africa,2.4
Both sexes,1986,1.6 [0.7-2.9],Southern Africa,1.6
Male,1986,0.5 [0.1-1.4],Southern Africa,0.5
Female,1986,2.6 [1.0-5.1],Southern Africa,2.6
Both sexes,1987,1.7 [0.8-3.1],Southern Africa,1.7
Male,1987,0.6 [0.1-1.4],Southern Africa,0.6
Female,1987,2.7 [1.1-5.3],Southern Africa,2.7
Both sexes,1988,1.8 [0.9-3.2],Southern Africa,1.8
Male,1988,0.6 [0.2-1.5],Southern Africa,0.6
Female,1988,2.9 [1.2-5.6],Southern Africa,2.9
Both sexes,1989,1.9 [0.9-3.4],Southern Africa,1.9
Male,1989,0.6 [0.2-1.6],Southern Africa,0.6
Female,1989,3.1 [1.3-5.8],Southern Africa,3.1
Both sexes,1990,2.0 [1.0-3.6],Southern Africa,2.0
Male,1990,0.7 [0.2-1.7],Southern Africa,0.7
Female,1990,3.2 [1.4-6.0],Southern Africa,3.2
Both sexes,1991,2.2 [1.1-3.7],Southern Africa,2.2
Male,1991,0.7 [0.2-1.8],Southern Africa,0.7
Female,1991,3.4 [1.5-6.3],Southern Africa,3.4
Both sexes,1992,2.3 [1.2-3.9],Southern Africa,2.3
Male,1992,0.8 [0.2-1.9],Southern Africa,0.8
Female,1992,3.6 [1.6-6.6],Southern Africa,3.6
Both sexes,1993,2.4 [1.2-4.1],Southern Africa,2.4
Male,1993,0.9 [0.3-2.0],Southern Africa,0.9
Female,1993,3.8 [1.7-6.9],Southern Africa,3.8
Both sexes,1994,2.6 [1.3-4.3],Southern Africa,2.6
Male,1994,0.9 [0.3-2.1],Southern Africa,0.9
Female,1994,4.1 [1.9-7.2],Southern Africa,4.1
Both sexes,1995,2.7 [1.4-4.5],Southern Africa,2.7
Male,1995,1.0 [0.3-2.3],Southern Africa,1.0
Female,1995,4.3 [2.0-7.6],Southern Africa,4.3
Both sexes,1996,2.9 [1.5-4.8],Southern Africa,2.9
Male,1996,1.1 [0.4-2.4],Southern Africa,1.1
Female,1996,4.5 [2.2-7.9],Southern Africa,4.5
Both sexes,1997,3.1 [1.7-5.0],Southern Africa,3.1
Male,1997,1.1 [0.4-2.5],Southern Africa,1.1
Female,1997,4.8 [2.3-8.3],Southern Africa,4.8
Both sexes,1998,3.2 [1.8-5.3],Southern Africa,3.2
Male,1998,1.2 [0.4-2.7],Southern Africa,1.2
Female,1998,5.1 [2.5-8.7],Southern Africa,5.1
Both sexes,1999,3.4 [1.9-5.5],Southern Africa,3.4
Male,1999,1.3 [0.5-2.8],Southern Africa,1.3
Female,1999,5.3 [2.6-9.1],Southern Africa,5.3
Both sexes,2000,3.6 [2.0-5.8],Southern Africa,3.6
Male,2000,1.4 [0.5-3.0],Southern Africa,1.4
Female,2000,5.6 [2.8-9.5],Southern Africa,5.6
Both sexes,2001,3.8 [2.2-6.1],Southern Africa,3.8
Male,2001,1.5 [0.5-3.2],Southern Africa,1.5
Female,2001,5.9 [3.0-9.9],Southern Africa,5.9
Both sexes,2002,4.1 [2.3-6.4],Southern Africa,4.1
Male,2002,1.6 [0.6-3.4],Southern Africa,1.6
Female,2002,6.3 [3.2-10.4],Southern Africa,6.3
Both sexes,2003,4.3 [2.5-6.7],Southern Africa,4.3
Male,2003,1.7 [0.6-3.5],Southern Africa,1.7
Female,2003,6.6 [3.4-10.9],Southern Africa,6.6
Both sexes,2004,4.5 [2.7-7.0],Southern Africa,4.5
Male,2004,1.9 [0.7-3.8],Southern Africa,1.9
Female,2004,6.9 [3.7-11.3],Southern Africa,6.9
Both sexes,2005,4.8 [2.9-7.3],Southern Africa,4.8
Male,2005,2.0 [0.8-4.0],Southern Africa,2.0
Female,2005,7.3 [3.9-11.8],Southern Africa,7.3
Both sexes,2006,5.0 [3.0-7.7],Southern Africa,5.0
Male,2006,2.1 [0.8-4.3],Southern Africa,2.1
Female,2006,7.7 [4.2-12.4],Southern Africa,7.7
Both sexes,2007,5.3 [3.2-8.0],Southern Africa,5.3
Male,2007,2.3 [0.9-4.5],Southern Africa,2.3
Female,2007,8.0 [4.4-12.9],Southern Africa,8.0
Both sexes,2008,5.6 [3.4-8.4],Southern Africa,5.6
Male,2008,2.4 [0.9-4.8],Southern Africa,2.4
Female,2008,8.4 [4.7-13.5],Southern Africa,8.4
Both sexes,2009,5.9 [3.6-8.8],Southern Africa,5.9
Male,2009,2.6 [1.0-5.1],Southern Africa,2.6
Female,2009,8.8 [4.9-14.1],Southern Africa,8.8
Both sexes,2010,6.2 [3.8-9.2],Southern Africa,6.2
Male,2010,2.8 [1.1-5.4],Southern Africa,2.8
Female,2010,9.3 [5.2-14.7],Southern Africa,9.3
Both sexes,2011,6.5 [4.0-9.7],Southern Africa,6.5
Male,2011,2.9 [1.1-5.8],Southern Africa,2.9
Female,2011,9.7 [5.5-15.4],Southern Africa,9.7
Both sexes,2012,6.8 [4.2-10.1],Southern Africa,6.8
Male,2012,3.1 [1.2-6.1],Southern Africa,3.1
Female,2012,10.2 [5.7-16.0],Southern Africa,10.2
Both sexes,2013,7.1 [4.4-10.6],Southern Africa,7.1
Male,2013,3.3 [1.3-6.4],Southern Africa,3.3
Female,2013,10.6 [6.0-16.7],Southern Africa,10.6
Both sexes,2014,7.5 [4.7-11.2],Southern Africa,7.5
Male,2014,3.6 [1.4-6.9],Southern Africa,3.6
Female,2014,11.1 [6.2-17.5],Southern Africa,11.1
Both sexes,2015,7.9 [4.9-11.7],Southern Africa,7.9
Male,2015,3.8 [1.5-7.3],Southern Africa,3.8
Female,2015,11.6 [6.5-18.2],Southern Africa,11.6
Both sexes,2016,8.2 [5.1-12.2],Southern Africa,8.2
Male,2016,4.0 [1.6-7.9],Southern Africa,4.0
Female,2016,12.1 [6.8-19.0],Southern Africa,12.1
