Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.6 [3.0-9.1],Caribbean,5.6
Male,1975,2.3 [0.8-5.1],Caribbean,2.3
Female,1975,8.8 [4.1-15.6],Caribbean,8.8
Both sexes,1976,5.8 [3.2-9.3],Caribbean,5.8
Male,1976,2.4 [0.8-5.3],Caribbean,2.4
Female,1976,9.1 [4.4-15.7],Caribbean,9.1
Both sexes,1977,6.0 [3.4-9.5],Caribbean,6.0
Male,1977,2.5 [0.9-5.4],Caribbean,2.5
Female,1977,9.3 [4.7-15.9],Caribbean,9.3
Both sexes,1978,6.2 [3.6-9.6],Caribbean,6.2
Male,1978,2.6 [1.0-5.5],Caribbean,2.6
Female,1978,9.6 [5.0-16.1],Caribbean,9.6
Both sexes,1979,6.4 [3.8-9.8],Caribbean,6.4
Male,1979,2.8 [1.1-5.7],Caribbean,2.8
Female,1979,9.9 [5.2-16.3],Caribbean,9.9
Both sexes,1980,6.6 [4.0-10.0],Caribbean,6.6
Male,1980,2.9 [1.2-5.8],Caribbean,2.9
Female,1980,10.3 [5.5-16.6],Caribbean,10.3
Both sexes,1981,6.9 [4.2-10.3],Caribbean,6.9
Male,1981,3.0 [1.3-6.0],Caribbean,3.0
Female,1981,10.6 [5.8-16.8],Caribbean,10.6
Both sexes,1982,7.1 [4.4-10.5],Caribbean,7.1
Male,1982,3.2 [1.4-6.2],Caribbean,3.2
Female,1982,10.9 [6.1-17.1],Caribbean,10.9
Both sexes,1983,7.4 [4.7-10.7],Caribbean,7.4
Male,1983,3.3 [1.5-6.4],Caribbean,3.3
Female,1983,11.3 [6.4-17.3],Caribbean,11.3
Both sexes,1984,7.6 [4.9-11.0],Caribbean,7.6
Male,1984,3.5 [1.6-6.6],Caribbean,3.5
Female,1984,11.6 [6.7-17.7],Caribbean,11.6
Both sexes,1985,7.9 [5.1-11.3],Caribbean,7.9
Male,1985,3.7 [1.7-6.8],Caribbean,3.7
Female,1985,12.0 [7.0-18.2],Caribbean,12.0
Both sexes,1986,8.2 [5.4-11.6],Caribbean,8.2
Male,1986,3.8 [1.8-7.0],Caribbean,3.8
Female,1986,12.4 [7.4-18.7],Caribbean,12.4
Both sexes,1987,8.5 [5.6-11.9],Caribbean,8.5
Male,1987,4.0 [1.9-7.3],Caribbean,4.0
Female,1987,12.8 [7.7-19.1],Caribbean,12.8
Both sexes,1988,8.8 [5.9-12.2],Caribbean,8.8
Male,1988,4.2 [2.0-7.6],Caribbean,4.2
Female,1988,13.2 [8.0-19.5],Caribbean,13.2
Both sexes,1989,9.1 [6.1-12.6],Caribbean,9.1
Male,1989,4.4 [2.1-7.8],Caribbean,4.4
Female,1989,13.6 [8.4-20.0],Caribbean,13.6
Both sexes,1990,9.4 [6.4-13.0],Caribbean,9.4
Male,1990,4.6 [2.2-8.0],Caribbean,4.6
Female,1990,14.0 [8.7-20.4],Caribbean,14.0
Both sexes,1991,9.8 [6.7-13.3],Caribbean,9.8
Male,1991,4.8 [2.4-8.4],Caribbean,4.8
Female,1991,14.5 [9.1-20.9],Caribbean,14.5
Both sexes,1992,10.1 [7.0-13.7],Caribbean,10.1
Male,1992,5.0 [2.5-8.7],Caribbean,5.0
Female,1992,14.9 [9.5-21.4],Caribbean,14.9
Both sexes,1993,10.4 [7.2-14.0],Caribbean,10.4
Male,1993,5.2 [2.7-8.9],Caribbean,5.2
Female,1993,15.3 [9.8-21.8],Caribbean,15.3
Both sexes,1994,10.7 [7.5-14.4],Caribbean,10.7
Male,1994,5.5 [2.8-9.2],Caribbean,5.5
Female,1994,15.7 [10.2-22.3],Caribbean,15.7
Both sexes,1995,11.0 [7.8-14.7],Caribbean,11.0
Male,1995,5.7 [3.0-9.5],Caribbean,5.7
Female,1995,16.1 [10.5-22.8],Caribbean,16.1
Both sexes,1996,11.3 [8.0-15.0],Caribbean,11.3
Male,1996,5.9 [3.1-9.8],Caribbean,5.9
Female,1996,16.5 [10.8-23.3],Caribbean,16.5
Both sexes,1997,11.7 [8.3-15.4],Caribbean,11.7
Male,1997,6.1 [3.3-10.1],Caribbean,6.1
Female,1997,16.9 [11.3-23.7],Caribbean,16.9
Both sexes,1998,12.0 [8.6-15.8],Caribbean,12.0
Male,1998,6.4 [3.4-10.3],Caribbean,6.4
Female,1998,17.4 [11.6-24.1],Caribbean,17.4
Both sexes,1999,12.3 [8.9-16.2],Caribbean,12.3
Male,1999,6.6 [3.6-10.6],Caribbean,6.6
Female,1999,17.8 [12.0-24.6],Caribbean,17.8
Both sexes,2000,12.7 [9.2-16.6],Caribbean,12.7
Male,2000,6.8 [3.7-11.0],Caribbean,6.8
