Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.3 [4.2-11.5],Eastern Europe,7.3
Male,1975,4.5 [1.7-8.9],Eastern Europe,4.5
Female,1975,9.5 [4.7-16.2],Eastern Europe,9.5
Both sexes,1976,7.6 [4.5-11.7],Eastern Europe,7.6
Male,1976,4.7 [1.8-9.1],Eastern Europe,4.7
Female,1976,9.8 [5.0-16.5],Eastern Europe,9.8
Both sexes,1977,7.9 [4.8-11.9],Eastern Europe,7.9
Male,1977,4.9 [2.0-9.3],Eastern Europe,4.9
Female,1977,10.2 [5.3-16.7],Eastern Europe,10.2
Both sexes,1978,8.1 [5.0-12.2],Eastern Europe,8.1
Male,1978,5.2 [2.2-9.6],Eastern Europe,5.2
Female,1978,10.5 [5.7-16.9],Eastern Europe,10.5
Both sexes,1979,8.4 [5.3-12.4],Eastern Europe,8.4
Male,1979,5.4 [2.3-9.8],Eastern Europe,5.4
Female,1979,10.8 [6.0-17.2],Eastern Europe,10.8
Both sexes,1980,8.7 [5.6-12.6],Eastern Europe,8.7
Male,1980,5.7 [2.5-10.1],Eastern Europe,5.7
Female,1980,11.1 [6.3-17.4],Eastern Europe,11.1
Both sexes,1981,9.0 [5.9-12.8],Eastern Europe,9.0
Male,1981,5.9 [2.7-10.4],Eastern Europe,5.9
Female,1981,11.5 [6.6-17.7],Eastern Europe,11.5
Both sexes,1982,9.3 [6.1-13.1],Eastern Europe,9.3
Male,1982,6.2 [2.9-10.7],Eastern Europe,6.2
Female,1982,11.8 [6.9-17.9],Eastern Europe,11.8
Both sexes,1983,9.5 [6.3-13.3],Eastern Europe,9.5
Male,1983,6.4 [3.1-11.0],Eastern Europe,6.4
Female,1983,12.1 [7.2-18.0],Eastern Europe,12.1
Both sexes,1984,9.8 [6.6-13.6],Eastern Europe,9.8
Male,1984,6.7 [3.3-11.3],Eastern Europe,6.7
Female,1984,12.4 [7.6-18.3],Eastern Europe,12.4
Both sexes,1985,10.1 [6.8-13.8],Eastern Europe,10.1
Male,1985,6.9 [3.4-11.6],Eastern Europe,6.9
Female,1985,12.7 [7.8-18.5],Eastern Europe,12.7
Both sexes,1986,10.3 [7.1-14.0],Eastern Europe,10.3
Male,1986,7.2 [3.6-11.9],Eastern Europe,7.2
Female,1986,13.0 [8.1-18.7],Eastern Europe,13.0
Both sexes,1987,10.6 [7.3-14.3],Eastern Europe,10.6
Male,1987,7.5 [3.8-12.3],Eastern Europe,7.5
Female,1987,13.2 [8.5-18.9],Eastern Europe,13.2
Both sexes,1988,10.9 [7.6-14.6],Eastern Europe,10.9
Male,1988,7.7 [4.0-12.6],Eastern Europe,7.7
Female,1988,13.5 [8.7-19.2],Eastern Europe,13.5
Both sexes,1989,11.2 [7.9-14.9],Eastern Europe,11.2
Male,1989,8.0 [4.2-13.0],Eastern Europe,8.0
Female,1989,13.8 [9.0-19.4],Eastern Europe,13.8
Both sexes,1990,11.4 [8.2-15.2],Eastern Europe,11.4
Male,1990,8.2 [4.4-13.3],Eastern Europe,8.2
Female,1990,14.1 [9.3-19.7],Eastern Europe,14.1
Both sexes,1991,11.7 [8.4-15.5],Eastern Europe,11.7
Male,1991,8.5 [4.6-13.6],Eastern Europe,8.5
Female,1991,14.4 [9.5-20.0],Eastern Europe,14.4
Both sexes,1992,12.0 [8.6-15.8],Eastern Europe,12.0
Male,1992,8.8 [4.8-14.0],Eastern Europe,8.8
Female,1992,14.6 [9.8-20.2],Eastern Europe,14.6
Both sexes,1993,12.3 [8.9-16.0],Eastern Europe,12.3
Male,1993,9.0 [5.0-14.2],Eastern Europe,9.0
Female,1993,14.9 [10.1-20.5],Eastern Europe,14.9
Both sexes,1994,12.5 [9.2-16.3],Eastern Europe,12.5
Male,1994,9.3 [5.2-14.6],Eastern Europe,9.3
Female,1994,15.2 [10.3-20.7],Eastern Europe,15.2
Both sexes,1995,12.8 [9.5-16.6],Eastern Europe,12.8
Male,1995,9.5 [5.4-14.8],Eastern Europe,9.5
Female,1995,15.4 [10.6-20.9],Eastern Europe,15.4
Both sexes,1996,13.1 [9.7-16.8],Eastern Europe,13.1
Male,1996,9.8 [5.6-15.0],Eastern Europe,9.8
Female,1996,15.7 [10.8-21.2],Eastern Europe,15.7
Both sexes,1997,13.3 [10.0-17.1],Eastern Europe,13.3
Male,1997,10.1 [5.7-15.3],Eastern Europe,10.1
Female,1997,15.9 [11.1-21.4],Eastern Europe,15.9
Both sexes,1998,13.6 [10.3-17.4],Eastern Europe,13.6
Male,1998,10.3 [6.0-15.7],Eastern Europe,10.3
Female,1998,16.2 [11.4-21.7],Eastern Europe,16.2
