Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.5 [7.9-13.4],Oceania,10.5
Male,1975,9.7 [6.2-13.9],Oceania,9.7
Female,1975,11.2 [7.6-15.2],Oceania,11.2
Both sexes,1976,10.8 [8.2-13.5],Oceania,10.8
Male,1976,10.0 [6.6-14.0],Oceania,10.0
Female,1976,11.5 [8.0-15.4],Oceania,11.5
Both sexes,1977,11.0 [8.6-13.8],Oceania,11.0
Male,1977,10.3 [7.0-14.1],Oceania,10.3
Female,1977,11.7 [8.3-15.6],Oceania,11.7
Both sexes,1978,11.3 [8.9-13.9],Oceania,11.3
Male,1978,10.6 [7.3-14.2],Oceania,10.6
Female,1978,12.0 [8.7-15.7],Oceania,12.0
Both sexes,1979,11.6 [9.3-14.1],Oceania,11.6
Male,1979,10.8 [7.7-14.4],Oceania,10.8
Female,1979,12.3 [9.0-15.8],Oceania,12.3
Both sexes,1980,11.9 [9.6-14.4],Oceania,11.9
Male,1980,11.2 [8.0-14.6],Oceania,11.2
Female,1980,12.6 [9.4-16.0],Oceania,12.6
Both sexes,1981,12.2 [10.0-14.6],Oceania,12.2
Male,1981,11.5 [8.3-14.8],Oceania,11.5
Female,1981,12.8 [9.8-16.2],Oceania,12.8
Both sexes,1982,12.5 [10.3-14.9],Oceania,12.5
Male,1982,11.8 [8.7-15.1],Oceania,11.8
Female,1982,13.1 [10.1-16.5],Oceania,13.1
Both sexes,1983,12.8 [10.7-15.2],Oceania,12.8
Male,1983,12.1 [9.0-15.3],Oceania,12.1
Female,1983,13.4 [10.4-16.7],Oceania,13.4
Both sexes,1984,13.1 [11.0-15.4],Oceania,13.1
Male,1984,12.4 [9.4-15.6],Oceania,12.4
Female,1984,13.7 [10.8-16.9],Oceania,13.7
Both sexes,1985,13.5 [11.3-15.8],Oceania,13.5
Male,1985,12.8 [9.7-16.0],Oceania,12.8
Female,1985,14.1 [11.1-17.2],Oceania,14.1
Both sexes,1986,13.8 [11.7-16.1],Oceania,13.8
Male,1986,13.2 [10.1-16.3],Oceania,13.2
Female,1986,14.4 [11.5-17.6],Oceania,14.4
Both sexes,1987,14.2 [12.0-16.5],Oceania,14.2
Male,1987,13.5 [10.4-16.7],Oceania,13.5
Female,1987,14.7 [11.8-17.9],Oceania,14.7
Both sexes,1988,14.5 [12.4-16.8],Oceania,14.5
Male,1988,13.9 [10.8-17.1],Oceania,13.9
Female,1988,15.1 [12.2-18.2],Oceania,15.1
Both sexes,1989,14.9 [12.8-17.2],Oceania,14.9
Male,1989,14.3 [11.2-17.6],Oceania,14.3
Female,1989,15.5 [12.6-18.6],Oceania,15.5
Both sexes,1990,15.3 [13.2-17.6],Oceania,15.3
Male,1990,14.7 [11.6-18.0],Oceania,14.7
Female,1990,15.8 [13.0-19.0],Oceania,15.8
Both sexes,1991,15.7 [13.6-18.0],Oceania,15.7
Male,1991,15.2 [12.0-18.5],Oceania,15.2
Female,1991,16.2 [13.3-19.4],Oceania,16.2
Both sexes,1992,16.2 [14.0-18.5],Oceania,16.2
Male,1992,15.6 [12.4-19.0],Oceania,15.6
Female,1992,16.7 [13.7-19.9],Oceania,16.7
Both sexes,1993,16.6 [14.5-19.0],Oceania,16.6
Male,1993,16.1 [12.9-19.5],Oceania,16.1
Female,1993,17.1 [14.1-20.3],Oceania,17.1
Both sexes,1994,17.1 [14.9-19.5],Oceania,17.1
Male,1994,16.6 [13.4-20.0],Oceania,16.6
Female,1994,17.5 [14.5-20.7],Oceania,17.5
Both sexes,1995,17.6 [15.4-20.0],Oceania,17.6
Male,1995,17.1 [13.9-20.6],Oceania,17.1
Female,1995,18.0 [15.0-21.2],Oceania,18.0
Both sexes,1996,18.1 [15.9-20.5],Oceania,18.1
Male,1996,17.7 [14.4-21.2],Oceania,17.7
Female,1996,18.5 [15.4-21.7],Oceania,18.5
Both sexes,1997,18.6 [16.4-21.0],Oceania,18.6
Male,1997,18.2 [14.9-21.7],Oceania,18.2
Female,1997,18.9 [15.9-22.2],Oceania,18.9
Both sexes,1998,19.1 [16.9-21.5],Oceania,19.1
Male,1998,18.8 [15.4-22.3],Oceania,18.8
Female,1998,19.4 [16.3-22.7],Oceania,19.4
Both sexes,1999,19.7 [17.4-22.1],Oceania,19.7
Male,1999,19.3 [15.9-22.8],Oceania,19.3
Female,1999,19.9 [16.8-23.3],Oceania,19.9
Both sexes,2000,20.2 [17.9-22.7],Oceania,20.2
Male,2000,19.9 [16.5-23.4],Oceania,19.9
Female,2000,20.5 [17.3-23.8],Oceania,20.5
Both sexes,2001,20.7 [18.5-23.2],Oceania,20.7
Male,2001,20.5 [17.1-24.0],Oceania,20.5
Female,2001,21.0 [17.8-24.3],Oceania,21.0
Both sexes,2002,21.3 [19.0-23.8],Oceania,21.3
Male,2002,21.1 [17.7-24.6],Oceania,21.1
Female,2002,21.5 [18.3-24.8],Oceania,21.5
Both sexes,2003,21.8 [19.6-24.3],Oceania,21.8
Male,2003,21.7 [18.2-25.2],Oceania,21.7
Female,2003,22.0 [18.8-25.4],Oceania,22.0
Both sexes,2004,22.4 [20.1-24.9],Oceania,22.4
Male,2004,22.3 [18.8-25.8],Oceania,22.3
Female,2004,22.5 [19.3-25.9],Oceania,22.5
Both sexes,2005,22.9 [20.6-25.5],Oceania,22.9
Male,2005,22.9 [19.4-26.5],Oceania,22.9
Female,2005,23.0 [19.7-26.5],Oceania,23.0
Both sexes,2006,23.5 [21.1-26.1],Oceania,23.5
Male,2006,23.5 [19.9-27.1],Oceania,23.5
Female,2006,23.5 [20.2-27.1],Oceania,23.5
Both sexes,2007,24.0 [21.6-26.6],Oceania,24.0
Male,2007,24.0 [20.4-27.8],Oceania,24.0
Female,2007,24.0 [20.6-27.6],Oceania,24.0
Both sexes,2008,24.6 [22.1-27.2],Oceania,24.6
Male,2008,24.6 [20.9-28.5],Oceania,24.6
Female,2008,24.5 [21.0-28.2],Oceania,24.5
Both sexes,2009,25.1 [22.5-27.9],Oceania,25.1
Male,2009,25.2 [21.4-29.2],Oceania,25.2
Female,2009,24.9 [21.4-28.8],Oceania,24.9
Both sexes,2010,25.6 [23.0-28.6],Oceania,25.6
Male,2010,25.8 [21.9-30.0],Oceania,25.8
Female,2010,25.4 [21.7-29.5],Oceania,25.4
Both sexes,2011,26.2 [23.4-29.2],Oceania,26.2
Male,2011,26.4 [22.4-30.7],Oceania,26.4
Female,2011,25.9 [22.0-30.1],Oceania,25.9
Both sexes,2012,26.7 [23.8-29.9],Oceania,26.7
