Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.0 [7.6-17.4],Caribbean,12.0
Male,1975,5.7 [2.3-10.7],Caribbean,5.7
Female,1975,17.7 [10.2-26.6],Caribbean,17.7
Both sexes,1976,12.4 [8.1-17.8],Caribbean,12.4
Male,1976,6.0 [2.6-11.0],Caribbean,6.0
Female,1976,18.2 [10.7-27.0],Caribbean,18.2
Both sexes,1977,12.8 [8.5-18.0],Caribbean,12.8
Male,1977,6.3 [2.8-11.3],Caribbean,6.3
Female,1977,18.7 [11.2-27.4],Caribbean,18.7
Both sexes,1978,13.2 [8.9-18.4],Caribbean,13.2
Male,1978,6.6 [3.0-11.7],Caribbean,6.6
Female,1978,19.2 [11.9-27.8],Caribbean,19.2
Both sexes,1979,13.6 [9.3-18.7],Caribbean,13.6
Male,1979,6.9 [3.2-12.0],Caribbean,6.9
Female,1979,19.7 [12.4-28.2],Caribbean,19.7
Both sexes,1980,14.1 [9.8-19.1],Caribbean,14.1
Male,1980,7.2 [3.5-12.4],Caribbean,7.2
Female,1980,20.3 [12.9-28.6],Caribbean,20.3
Both sexes,1981,14.5 [10.2-19.5],Caribbean,14.5
Male,1981,7.5 [3.8-12.8],Caribbean,7.5
Female,1981,20.8 [13.5-29.1],Caribbean,20.8
Both sexes,1982,15.0 [10.7-19.9],Caribbean,15.0
Male,1982,7.9 [4.1-13.2],Caribbean,7.9
Female,1982,21.3 [14.1-29.6],Caribbean,21.3
Both sexes,1983,15.5 [11.1-20.4],Caribbean,15.5
Male,1983,8.3 [4.4-13.6],Caribbean,8.3
Female,1983,21.9 [14.7-30.1],Caribbean,21.9
Both sexes,1984,16.0 [11.6-20.9],Caribbean,16.0
Male,1984,8.7 [4.6-14.1],Caribbean,8.7
Female,1984,22.5 [15.2-30.6],Caribbean,22.5
Both sexes,1985,16.5 [12.1-21.4],Caribbean,16.5
Male,1985,9.1 [4.9-14.6],Caribbean,9.1
Female,1985,23.0 [15.8-31.1],Caribbean,23.0
Both sexes,1986,17.0 [12.5-21.9],Caribbean,17.0
Male,1986,9.5 [5.2-15.1],Caribbean,9.5
Female,1986,23.6 [16.4-31.7],Caribbean,23.6
Both sexes,1987,17.5 [13.0-22.4],Caribbean,17.5
Male,1987,9.9 [5.6-15.7],Caribbean,9.9
Female,1987,24.2 [17.0-32.1],Caribbean,24.2
Both sexes,1988,18.0 [13.5-23.0],Caribbean,18.0
Male,1988,10.4 [5.9-16.3],Caribbean,10.4
Female,1988,24.8 [17.6-32.7],Caribbean,24.8
Both sexes,1989,18.5 [14.0-23.5],Caribbean,18.5
Male,1989,10.8 [6.2-16.8],Caribbean,10.8
Female,1989,25.3 [18.2-33.3],Caribbean,25.3
Both sexes,1990,19.0 [14.5-24.0],Caribbean,19.0
Male,1990,11.3 [6.6-17.4],Caribbean,11.3
Female,1990,25.9 [18.7-33.8],Caribbean,25.9
Both sexes,1991,19.5 [15.0-24.5],Caribbean,19.5
Male,1991,11.7 [6.9-17.9],Caribbean,11.7
Female,1991,26.5 [19.3-34.3],Caribbean,26.5
Both sexes,1992,20.0 [15.4-25.0],Caribbean,20.0
Male,1992,12.2 [7.2-18.4],Caribbean,12.2
Female,1992,27.0 [19.8-34.8],Caribbean,27.0
Both sexes,1993,20.5 [15.8-25.4],Caribbean,20.5
Male,1993,12.6 [7.6-19.0],Caribbean,12.6
Female,1993,27.5 [20.2-35.3],Caribbean,27.5
