Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,14.2 [9.8-19.4],Middle East,14.2
Male,1975,8.6 [4.3-14.8],Middle East,8.6
Female,1975,22.1 [14.0-31.7],Middle East,22.1
Both sexes,1976,14.4 [10.2-19.4],Middle East,14.4
Male,1976,8.9 [4.5-14.8],Middle East,8.9
Female,1976,22.5 [14.5-31.7],Middle East,22.5
Both sexes,1977,14.6 [10.5-19.4],Middle East,14.6
Male,1977,9.2 [4.8-15.0],Middle East,9.2
Female,1977,22.8 [14.9-31.7],Middle East,22.8
Both sexes,1978,14.8 [10.8-19.6],Middle East,14.8
Male,1978,9.5 [5.1-15.1],Middle East,9.5
Female,1978,23.1 [15.4-31.7],Middle East,23.1
Both sexes,1979,15.1 [11.0-19.7],Middle East,15.1
Male,1979,9.8 [5.4-15.3],Middle East,9.8
Female,1979,23.5 [16.0-31.7],Middle East,23.5
Both sexes,1980,15.4 [11.4-19.9],Middle East,15.4
Male,1980,10.1 [5.7-15.6],Middle East,10.1
Female,1980,23.8 [16.5-31.8],Middle East,23.8
Both sexes,1981,15.7 [11.8-20.2],Middle East,15.7
Male,1981,10.4 [6.0-15.9],Middle East,10.4
Female,1981,24.1 [17.1-31.9],Middle East,24.1
Both sexes,1982,16.1 [12.3-20.5],Middle East,16.1
Male,1982,10.7 [6.3-16.2],Middle East,10.7
Female,1982,24.5 [17.6-32.1],Middle East,24.5
Both sexes,1983,16.5 [12.7-20.9],Middle East,16.5
Male,1983,11.1 [6.6-16.4],Middle East,11.1
Female,1983,24.8 [18.0-32.3],Middle East,24.8
Both sexes,1984,16.9 [13.2-21.2],Middle East,16.9
Male,1984,11.4 [7.0-16.7],Middle East,11.4
Female,1984,25.2 [18.5-32.4],Middle East,25.2
Both sexes,1985,17.3 [13.6-21.5],Middle East,17.3
Male,1985,11.7 [7.3-17.0],Middle East,11.7
Female,1985,25.5 [19.0-32.6],Middle East,25.5
Both sexes,1986,17.7 [14.0-21.8],Middle East,17.7
Male,1986,12.1 [7.6-17.4],Middle East,12.1
Female,1986,25.9 [19.4-32.8],Middle East,25.9
Both sexes,1987,18.0 [14.3-22.1],Middle East,18.0
Male,1987,12.5 [8.0-17.8],Middle East,12.5
Female,1987,26.3 [19.8-33.0],Middle East,26.3
Both sexes,1988,18.4 [14.6-22.4],Middle East,18.4
Male,1988,12.8 [8.3-18.1],Middle East,12.8
Female,1988,26.6 [20.2-33.4],Middle East,26.6
Both sexes,1989,18.7 [15.0-22.8],Middle East,18.7
Male,1989,13.2 [8.6-18.5],Middle East,13.2
Female,1989,27.0 [20.7-33.6],Middle East,27.0
Both sexes,1990,19.1 [15.4-23.1],Middle East,19.1
Male,1990,13.6 [8.9-18.9],Middle East,13.6
Female,1990,27.3 [21.1-33.8],Middle East,27.3
Both sexes,1991,19.4 [15.7-23.4],Middle East,19.4
Male,1991,14.0 [9.2-19.3],Middle East,14.0
Female,1991,27.7 [21.6-34.1],Middle East,27.7
Both sexes,1992,19.8 [16.1-23.8],Middle East,19.8
Male,1992,14.4 [9.6-19.6],Middle East,14.4
Female,1992,28.0 [22.0-34.4],Middle East,28.0
Both sexes,1993,20.2 [16.5-24.2],Middle East,20.2
Male,1993,14.8 [10.0-20.0],Middle East,14.8
Female,1993,28.4 [22.4-34.6],Middle East,28.4
Both sexes,1994,20.6 [16.9-24.5],Middle East,20.6
Male,1994,15.1 [10.3-20.5],Middle East,15.1
Female,1994,28.7 [22.8-34.9],Middle East,28.7
Both sexes,1995,21.0 [17.3-24.9],Middle East,21.0
