Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.2 [0.1-0.5],South Asia,0.2
Male,1975,0.1 [0.0-0.3],South Asia,0.1
Female,1975,0.4 [0.1-0.9],South Asia,0.4
Both sexes,1976,0.2 [0.1-0.5],South Asia,0.2
Male,1976,0.1 [0.0-0.3],South Asia,0.1
Female,1976,0.4 [0.1-1.0],South Asia,0.4
Both sexes,1977,0.3 [0.1-0.5],South Asia,0.3
Male,1977,0.1 [0.0-0.3],South Asia,0.1
Female,1977,0.4 [0.1-1.0],South Asia,0.4
Both sexes,1978,0.3 [0.1-0.6],South Asia,0.3
Male,1978,0.1 [0.0-0.3],South Asia,0.1
Female,1978,0.5 [0.1-1.0],South Asia,0.5
Both sexes,1979,0.3 [0.1-0.6],South Asia,0.3
Male,1979,0.1 [0.0-0.3],South Asia,0.1
Female,1979,0.5 [0.2-1.1],South Asia,0.5
Both sexes,1980,0.3 [0.1-0.6],South Asia,0.3
Male,1980,0.1 [0.0-0.4],South Asia,0.1
Female,1980,0.5 [0.2-1.2],South Asia,0.5
Both sexes,1981,0.4 [0.2-0.7],South Asia,0.4
Male,1981,0.2 [0.0-0.4],South Asia,0.2
Female,1981,0.6 [0.2-1.2],South Asia,0.6
Both sexes,1982,0.4 [0.2-0.7],South Asia,0.4
Male,1982,0.2 [0.0-0.4],South Asia,0.2
Female,1982,0.6 [0.2-1.3],South Asia,0.6
Both sexes,1983,0.4 [0.2-0.7],South Asia,0.4
Male,1983,0.2 [0.1-0.4],South Asia,0.2
Female,1983,0.7 [0.3-1.3],South Asia,0.7
Both sexes,1984,0.4 [0.2-0.8],South Asia,0.4
Male,1984,0.2 [0.1-0.5],South Asia,0.2
Female,1984,0.7 [0.3-1.4],South Asia,0.7
Both sexes,1985,0.5 [0.2-0.8],South Asia,0.5
Male,1985,0.2 [0.1-0.5],South Asia,0.2
Female,1985,0.8 [0.3-1.5],South Asia,0.8
Both sexes,1986,0.5 [0.3-0.9],South Asia,0.5
Male,1986,0.2 [0.1-0.5],South Asia,0.2
Female,1986,0.8 [0.4-1.6],South Asia,0.8
Both sexes,1987,0.6 [0.3-0.9],South Asia,0.6
Male,1987,0.3 [0.1-0.6],South Asia,0.3
Female,1987,0.9 [0.4-1.6],South Asia,0.9
Both sexes,1988,0.6 [0.3-1.0],South Asia,0.6
Male,1988,0.3 [0.1-0.6],South Asia,0.3
Female,1988,1.0 [0.5-1.7],South Asia,1.0
Both sexes,1989,0.6 [0.4-1.0],South Asia,0.6
Male,1989,0.3 [0.1-0.7],South Asia,0.3
Female,1989,1.0 [0.5-1.8],South Asia,1.0
Both sexes,1990,0.7 [0.4-1.1],South Asia,0.7
Male,1990,0.3 [0.1-0.7],South Asia,0.3
Female,1990,1.1 [0.5-1.9],South Asia,1.1
Both sexes,1991,0.7 [0.4-1.2],South Asia,0.7
Male,1991,0.4 [0.1-0.8],South Asia,0.4
Female,1991,1.2 [0.6-2.0],South Asia,1.2
Both sexes,1992,0.8 [0.5-1.2],South Asia,0.8
Male,1992,0.4 [0.1-0.8],South Asia,0.4
Female,1992,1.2 [0.6-2.1],South Asia,1.2
Both sexes,1993,0.8 [0.5-1.3],South Asia,0.8
Male,1993,0.4 [0.2-0.9],South Asia,0.4
Female,1993,1.3 [0.7-2.2],South Asia,1.3
Both sexes,1994,0.9 [0.5-1.4],South Asia,0.9
Male,1994,0.5 [0.2-0.9],South Asia,0.5
Female,1994,1.4 [0.7-2.3],South Asia,1.4
Both sexes,1995,1.0 [0.6-1.4],South Asia,1.0
Male,1995,0.5 [0.2-1.0],South Asia,0.5
Female,1995,1.5 [0.8-2.4],South Asia,1.5
Both sexes,1996,1.0 [0.6-1.5],South Asia,1.0
Male,1996,0.5 [0.2-1.0],South Asia,0.5
Female,1996,1.6 [0.9-2.5],South Asia,1.6
Both sexes,1997,1.1 [0.7-1.6],South Asia,1.1
Male,1997,0.6 [0.2-1.1],South Asia,0.6
