Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.9 [5.6-15.4],Eastern Europe,9.9
Male,1975,4.7 [1.8-9.4],Eastern Europe,4.7
Female,1975,13.5 [6.7-22.9],Eastern Europe,13.5
Both sexes,1976,10.2 [6.0-15.6],Eastern Europe,10.2
Male,1976,4.9 [2.0-9.7],Eastern Europe,4.9
Female,1976,14.0 [7.1-23.2],Eastern Europe,14.0
Both sexes,1977,10.6 [6.4-15.9],Eastern Europe,10.6
Male,1977,5.2 [2.2-10.0],Eastern Europe,5.2
Female,1977,14.4 [7.6-23.5],Eastern Europe,14.4
Both sexes,1978,11.0 [6.8-16.1],Eastern Europe,11.0
Male,1978,5.6 [2.5-10.3],Eastern Europe,5.6
Female,1978,14.9 [8.1-23.7],Eastern Europe,14.9
Both sexes,1979,11.3 [7.2-16.3],Eastern Europe,11.3
Male,1979,5.9 [2.7-10.7],Eastern Europe,5.9
Female,1979,15.3 [8.5-24.0],Eastern Europe,15.3
Both sexes,1980,11.7 [7.6-16.6],Eastern Europe,11.7
Male,1980,6.2 [3.0-11.1],Eastern Europe,6.2
Female,1980,15.8 [9.0-24.3],Eastern Europe,15.8
Both sexes,1981,12.1 [8.0-16.9],Eastern Europe,12.1
Male,1981,6.6 [3.2-11.4],Eastern Europe,6.6
Female,1981,16.2 [9.6-24.4],Eastern Europe,16.2
Both sexes,1982,12.5 [8.4-17.2],Eastern Europe,12.5
Male,1982,7.0 [3.5-11.8],Eastern Europe,7.0
Female,1982,16.7 [10.0-24.6],Eastern Europe,16.7
Both sexes,1983,12.9 [8.8-17.5],Eastern Europe,12.9
Male,1983,7.3 [3.8-12.2],Eastern Europe,7.3
Female,1983,17.1 [10.5-24.9],Eastern Europe,17.1
Both sexes,1984,13.3 [9.2-17.9],Eastern Europe,13.3
Male,1984,7.7 [4.1-12.7],Eastern Europe,7.7
Female,1984,17.5 [11.0-25.2],Eastern Europe,17.5
Both sexes,1985,13.7 [9.6-18.2],Eastern Europe,13.7
Male,1985,8.1 [4.4-13.1],Eastern Europe,8.1
Female,1985,17.9 [11.4-25.5],Eastern Europe,17.9
Both sexes,1986,14.1 [9.9-18.6],Eastern Europe,14.1
Male,1986,8.5 [4.7-13.6],Eastern Europe,8.5
Female,1986,18.3 [11.9-25.8],Eastern Europe,18.3
Both sexes,1987,14.4 [10.3-18.9],Eastern Europe,14.4
Male,1987,8.9 [5.0-14.1],Eastern Europe,8.9
Female,1987,18.7 [12.3-26.0],Eastern Europe,18.7
Both sexes,1988,14.8 [10.7-19.3],Eastern Europe,14.8
Male,1988,9.3 [5.3-14.6],Eastern Europe,9.3
Female,1988,19.1 [12.7-26.3],Eastern Europe,19.1
Both sexes,1989,15.2 [11.1-19.6],Eastern Europe,15.2
Male,1989,9.8 [5.6-15.1],Eastern Europe,9.8
Female,1989,19.5 [13.1-26.5],Eastern Europe,19.5
Both sexes,1990,15.6 [11.4-20.0],Eastern Europe,15.6
Male,1990,10.2 [6.0-15.6],Eastern Europe,10.2
Female,1990,19.8 [13.4-26.8],Eastern Europe,19.8
Both sexes,1991,15.9 [11.7-20.3],Eastern Europe,15.9
Male,1991,10.6 [6.3-16.2],Eastern Europe,10.6
Female,1991,20.2 [13.7-27.1],Eastern Europe,20.2
Both sexes,1992,16.3 [12.1-20.6],Eastern Europe,16.3
Male,1992,11.0 [6.6-16.6],Eastern Europe,11.0
Female,1992,20.5 [14.1-27.5],Eastern Europe,20.5
Both sexes,1993,16.6 [12.4-20.9],Eastern Europe,16.6
Male,1993,11.4 [6.9-17.0],Eastern Europe,11.4
Female,1993,20.7 [14.3-27.6],Eastern Europe,20.7
Both sexes,1994,16.9 [12.7-21.3],Eastern Europe,16.9
Male,1994,11.8 [7.2-17.5],Eastern Europe,11.8
Female,1994,21.0 [14.7-27.8],Eastern Europe,21.0
