Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.5 [7.8-13.8],Western Europe,10.5
Male,1975,8.4 [5.2-12.6],Western Europe,8.4
Female,1975,12.4 [8.2-17.2],Western Europe,12.4
Both sexes,1976,10.7 [8.0-13.8],Western Europe,10.7
Male,1976,8.7 [5.5-12.6],Western Europe,8.7
Female,1976,12.5 [8.5-17.2],Western Europe,12.5
Both sexes,1977,10.9 [8.3-13.8],Western Europe,10.9
Male,1977,8.9 [5.8-12.8],Western Europe,8.9
Female,1977,12.7 [8.8-17.1],Western Europe,12.7
Both sexes,1978,11.1 [8.6-13.9],Western Europe,11.1
Male,1978,9.2 [6.1-12.9],Western Europe,9.2
Female,1978,12.9 [9.1-17.1],Western Europe,12.9
Both sexes,1979,11.4 [8.9-14.0],Western Europe,11.4
Male,1979,9.4 [6.4-13.0],Western Europe,9.4
Female,1979,13.0 [9.4-17.2],Western Europe,13.0
Both sexes,1980,11.6 [9.2-14.2],Western Europe,11.6
Male,1980,9.7 [6.7-13.2],Western Europe,9.7
Female,1980,13.2 [9.6-17.2],Western Europe,13.2
Both sexes,1981,11.8 [9.5-14.3],Western Europe,11.8
Male,1981,9.9 [7.0-13.3],Western Europe,9.9
Female,1981,13.4 [9.9-17.3],Western Europe,13.4
Both sexes,1982,12.0 [9.7-14.5],Western Europe,12.0
Male,1982,10.2 [7.4-13.5],Western Europe,10.2
Female,1982,13.6 [10.2-17.4],Western Europe,13.6
Both sexes,1983,12.3 [10.0-14.7],Western Europe,12.3
Male,1983,10.5 [7.7-13.7],Western Europe,10.5
Female,1983,13.8 [10.4-17.5],Western Europe,13.8
Both sexes,1984,12.5 [10.3-14.8],Western Europe,12.5
Male,1984,10.8 [8.0-14.0],Western Europe,10.8
Female,1984,14.0 [10.7-17.5],Western Europe,14.0
Both sexes,1985,12.7 [10.6-15.1],Western Europe,12.7
Male,1985,11.1 [8.2-14.2],Western Europe,11.1
Female,1985,14.2 [11.0-17.6],Western Europe,14.2
Both sexes,1986,13.0 [10.8-15.3],Western Europe,13.0
Male,1986,11.4 [8.5-14.5],Western Europe,11.4
Female,1986,14.4 [11.2-17.8],Western Europe,14.4
Both sexes,1987,13.2 [11.1-15.5],Western Europe,13.2
Male,1987,11.7 [8.9-14.8],Western Europe,11.7
Female,1987,14.6 [11.5-17.9],Western Europe,14.6
Both sexes,1988,13.5 [11.4-15.8],Western Europe,13.5
Male,1988,12.0 [9.2-15.1],Western Europe,12.0
Female,1988,14.8 [11.7-18.1],Western Europe,14.8
Both sexes,1989,13.8 [11.6-16.0],Western Europe,13.8
Male,1989,12.3 [9.4-15.5],Western Europe,12.3
Female,1989,15.0 [12.0-18.3],Western Europe,15.0
Both sexes,1990,14.0 [11.9-16.3],Western Europe,14.0
Male,1990,12.6 [9.8-15.8],Western Europe,12.6
Female,1990,15.2 [12.2-18.5],Western Europe,15.2
Both sexes,1991,14.3 [12.1-16.6],Western Europe,14.3
Male,1991,13.0 [10.1-16.2],Western Europe,13.0
Female,1991,15.5 [12.5-18.7],Western Europe,15.5
Both sexes,1992,14.6 [12.4-16.9],Western Europe,14.6
Male,1992,13.3 [10.4-16.6],Western Europe,13.3
Female,1992,15.7 [12.7-19.0],Western Europe,15.7
Both sexes,1993,14.9 [12.7-17.2],Western Europe,14.9
Male,1993,13.7 [10.7-17.0],Western Europe,13.7
Female,1993,15.9 [13.0-19.2],Western Europe,15.9
Both sexes,1994,15.2 [13.0-17.5],Western Europe,15.2
Male,1994,14.0 [11.1-17.3],Western Europe,14.0
Female,1994,16.2 [13.2-19.4],Western Europe,16.2
Both sexes,1995,15.5 [13.3-17.8],Western Europe,15.5
Male,1995,14.4 [11.4-17.7],Western Europe,14.4
Female,1995,16.4 [13.4-19.6],Western Europe,16.4
Both sexes,1996,15.8 [13.6-18.1],Western Europe,15.8
Male,1996,14.8 [11.7-18.0],Western Europe,14.8
Female,1996,16.6 [13.6-19.9],Western Europe,16.6
Both sexes,1997,16.1 [13.8-18.4],Western Europe,16.1
Male,1997,15.2 [12.1-18.5],Western Europe,15.2
Female,1997,16.9 [13.8-20.1],Western Europe,16.9
Both sexes,1998,16.4 [14.2-18.7],Western Europe,16.4
Male,1998,15.5 [12.5-18.9],Western Europe,15.5
Female,1998,17.1 [14.1-20.4],Western Europe,17.1
Both sexes,1999,16.7 [14.4-19.1],Western Europe,16.7
Male,1999,15.9 [12.9-19.3],Western Europe,15.9
Female,1999,17.3 [14.3-20.6],Western Europe,17.3
Both sexes,2000,17.0 [14.7-19.3],Western Europe,17.0
Male,2000,16.3 [13.2-19.7],Western Europe,16.3
Female,2000,17.5 [14.5-20.8],Western Europe,17.5
Both sexes,2001,17.3 [15.0-19.7],Western Europe,17.3
Male,2001,16.7 [13.6-20.1],Western Europe,16.7
Female,2001,17.8 [14.8-21.0],Western Europe,17.8
Both sexes,2002,17.6 [15.3-20.0],Western Europe,17.6
Male,2002,17.1 [13.9-20.5],Western Europe,17.1
Female,2002,18.0 [14.9-21.3],Western Europe,18.0
Both sexes,2003,17.9 [15.6-20.3],Western Europe,17.9
Male,2003,17.5 [14.3-21.0],Western Europe,17.5
Female,2003,18.2 [15.1-21.6],Western Europe,18.2
Both sexes,2004,18.2 [15.9-20.6],Western Europe,18.2
Male,2004,17.9 [14.7-21.4],Western Europe,17.9
Female,2004,18.4 [15.3-21.8],Western Europe,18.4
Both sexes,2005,18.5 [16.2-21.0],Western Europe,18.5
Male,2005,18.3 [15.1-21.8],Western Europe,18.3
Female,2005,18.7 [15.5-22.1],Western Europe,18.7
Both sexes,2006,18.9 [16.4-21.3],Western Europe,18.9
Male,2006,18.7 [15.4-22.3],Western Europe,18.7
Female,2006,18.9 [15.6-22.4],Western Europe,18.9
Both sexes,2007,19.2 [16.7-21.7],Western Europe,19.2
Male,2007,19.1 [15.8-22.8],Western Europe,19.1
Female,2007,19.1 [15.8-22.6],Western Europe,19.1
Both sexes,2008,19.5 [17.0-22.0],Western Europe,19.5
Male,2008,19.6 [16.1-23.2],Western Europe,19.6
Female,2008,19.3 [15.9-22.9],Western Europe,19.3
Both sexes,2009,19.8 [17.2-22.4],Western Europe,19.8
Male,2009,20.0 [16.4-23.8],Western Europe,20.0
Female,2009,19.5 [16.0-23.2],Western Europe,19.5
Both sexes,2010,20.1 [17.4-22.8],Western Europe,20.1
Male,2010,20.4 [16.7-24.4],Western Europe,20.4
Female,2010,19.7 [16.1-23.5],Western Europe,19.7
Both sexes,2011,20.4 [17.7-23.2],Western Europe,20.4
Male,2011,20.8 [17.0-24.9],Western Europe,20.8
Female,2011,19.9 [16.2-23.9],Western Europe,19.9
Both sexes,2012,20.7 [17.9-23.7],Western Europe,20.7
Male,2012,21.3 [17.2-25.6],Western Europe,21.3
Female,2012,20.1 [16.2-24.3],Western Europe,20.1
Both sexes,2013,21.0 [18.1-24.2],Western Europe,21.0
Male,2013,21.7 [17.5-26.3],Western Europe,21.7
Female,2013,20.3 [16.2-24.7],Western Europe,20.3
Both sexes,2014,21.4 [18.2-24.7],Western Europe,21.4
Male,2014,22.2 [17.7-26.9],Western Europe,22.2
Female,2014,20.5 [16.2-25.2],Western Europe,20.5
Both sexes,2015,21.7 [18.4-25.2],Western Europe,21.7
