Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.1 [0.4-2.2],West Africa,1.1
Male,1975,0.3 [0.1-0.9],West Africa,0.3
Female,1975,1.7 [0.6-3.7],West Africa,1.7
Both sexes,1976,1.2 [0.5-2.3],West Africa,1.2
Male,1976,0.4 [0.1-1.0],West Africa,0.4
Female,1976,1.9 [0.7-3.8],West Africa,1.9
Both sexes,1977,1.3 [0.6-2.4],West Africa,1.3
Male,1977,0.4 [0.1-1.0],West Africa,0.4
Female,1977,2.0 [0.8-4.0],West Africa,2.0
Both sexes,1978,1.4 [0.6-2.5],West Africa,1.4
Male,1978,0.4 [0.1-1.1],West Africa,0.4
Female,1978,2.1 [0.9-4.2],West Africa,2.1
Both sexes,1979,1.5 [0.7-2.6],West Africa,1.5
Male,1979,0.5 [0.1-1.2],West Africa,0.5
Female,1979,2.3 [1.0-4.4],West Africa,2.3
Both sexes,1980,1.6 [0.8-2.8],West Africa,1.6
Male,1980,0.5 [0.1-1.2],West Africa,0.5
Female,1980,2.5 [1.1-4.6],West Africa,2.5
Both sexes,1981,1.7 [0.9-2.9],West Africa,1.7
Male,1981,0.6 [0.2-1.3],West Africa,0.6
Female,1981,2.7 [1.3-4.8],West Africa,2.7
Both sexes,1982,1.8 [1.0-3.1],West Africa,1.8
Male,1982,0.6 [0.2-1.4],West Africa,0.6
Female,1982,2.8 [1.4-5.0],West Africa,2.8
Both sexes,1983,2.0 [1.1-3.2],West Africa,2.0
Male,1983,0.6 [0.2-1.5],West Africa,0.6
Female,1983,3.0 [1.6-5.2],West Africa,3.0
Both sexes,1984,2.1 [1.2-3.4],West Africa,2.1
Male,1984,0.7 [0.2-1.6],West Africa,0.7
Female,1984,3.2 [1.7-5.5],West Africa,3.2
Both sexes,1985,2.3 [1.3-3.5],West Africa,2.3
Male,1985,0.8 [0.3-1.6],West Africa,0.8
Female,1985,3.4 [1.9-5.7],West Africa,3.4
Both sexes,1986,2.4 [1.4-3.7],West Africa,2.4
Male,1986,0.8 [0.3-1.7],West Africa,0.8
Female,1986,3.7 [2.0-5.9],West Africa,3.7
Both sexes,1987,2.6 [1.5-3.9],West Africa,2.6
Male,1987,0.9 [0.3-1.8],West Africa,0.9
Female,1987,3.9 [2.2-6.2],West Africa,3.9
Both sexes,1988,2.7 [1.7-4.0],West Africa,2.7
Male,1988,1.0 [0.4-2.0],West Africa,1.0
Female,1988,4.1 [2.4-6.4],West Africa,4.1
Both sexes,1989,2.9 [1.8-4.3],West Africa,2.9
Male,1989,1.0 [0.4-2.1],West Africa,1.0
Female,1989,4.4 [2.6-6.7],West Africa,4.4
Both sexes,1990,3.1 [1.9-4.4],West Africa,3.1
Male,1990,1.1 [0.5-2.2],West Africa,1.1
Female,1990,4.6 [2.7-7.0],West Africa,4.6
Both sexes,1991,3.2 [2.1-4.6],West Africa,3.2
Male,1991,1.2 [0.5-2.3],West Africa,1.2
Female,1991,4.9 [2.9-7.3],West Africa,4.9
Both sexes,1992,3.4 [2.2-4.8],West Africa,3.4
Male,1992,1.3 [0.6-2.5],West Africa,1.3
Female,1992,5.1 [3.2-7.6],West Africa,5.1
Both sexes,1993,3.6 [2.4-5.0],West Africa,3.6
Male,1993,1.4 [0.6-2.6],West Africa,1.4
Female,1993,5.4 [3.4-7.9],West Africa,5.4
Both sexes,1994,3.8 [2.5-5.3],West Africa,3.8
Male,1994,1.5 [0.7-2.7],West Africa,1.5
Female,1994,5.7 [3.6-8.3],West Africa,5.7
Both sexes,1995,4.0 [2.7-5.5],West Africa,4.0
Male,1995,1.5 [0.7-2.9],West Africa,1.5
Female,1995,6.0 [3.8-8.6],West Africa,6.0
Both sexes,1996,4.2 [2.9-5.7],West Africa,4.2
Male,1996,1.6 [0.8-3.1],West Africa,1.6
Female,1996,6.3 [4.0-9.0],West Africa,6.3
Both sexes,1997,4.4 [3.0-6.0],West Africa,4.4
Male,1997,1.7 [0.8-3.2],West Africa,1.7
Female,1997,6.6 [4.3-9.3],West Africa,6.6
Both sexes,1998,4.6 [3.2-6.2],West Africa,4.6
Male,1998,1.8 [0.9-3.4],West Africa,1.8
Female,1998,6.9 [4.6-9.7],West Africa,6.9
Both sexes,1999,4.8 [3.4-6.5],West Africa,4.8
Male,1999,2.0 [1.0-3.5],West Africa,2.0
Female,1999,7.2 [4.8-10.1],West Africa,7.2
Both sexes,2000,5.0 [3.6-6.7],West Africa,5.0
Male,2000,2.1 [1.0-3.7],West Africa,2.1
Female,2000,7.5 [5.1-10.4],West Africa,7.5
Both sexes,2001,5.2 [3.8-7.0],West Africa,5.2
Male,2001,2.2 [1.1-3.8],West Africa,2.2
Female,2001,7.9 [5.4-10.8],West Africa,7.9
Both sexes,2002,5.5 [4.0-7.2],West Africa,5.5
Male,2002,2.3 [1.2-4.0],West Africa,2.3
Female,2002,8.2 [5.7-11.2],West Africa,8.2
Both sexes,2003,5.7 [4.2-7.5],West Africa,5.7
Male,2003,2.4 [1.3-4.2],West Africa,2.4
Female,2003,8.6 [6.0-11.6],West Africa,8.6
Both sexes,2004,6.0 [4.4-7.8],West Africa,6.0
Male,2004,2.6 [1.4-4.4],West Africa,2.6
Female,2004,8.9 [6.3-12.0],West Africa,8.9
Both sexes,2005,6.2 [4.6-8.1],West Africa,6.2
Male,2005,2.7 [1.4-4.6],West Africa,2.7
Female,2005,9.3 [6.6-12.4],West Africa,9.3
Both sexes,2006,6.5 [4.8-8.4],West Africa,6.5
Male,2006,2.8 [1.5-4.7],West Africa,2.8
Female,2006,9.7 [6.9-12.9],West Africa,9.7
Both sexes,2007,6.7 [5.1-8.7],West Africa,6.7
Male,2007,3.0 [1.6-5.0],West Africa,3.0
Female,2007,10.1 [7.3-13.4],West Africa,10.1
Both sexes,2008,7.0 [5.3-9.0],West Africa,7.0
Male,2008,3.1 [1.7-5.2],West Africa,3.1
Female,2008,10.5 [7.6-13.9],West Africa,10.5
Both sexes,2009,7.3 [5.5-9.4],West Africa,7.3
Male,2009,3.3 [1.8-5.4],West Africa,3.3
Female,2009,10.9 [7.9-14.4],West Africa,10.9
Both sexes,2010,7.6 [5.7-9.8],West Africa,7.6
Male,2010,3.5 [1.9-5.7],West Africa,3.5
Female,2010,11.4 [8.2-15.0],West Africa,11.4
Both sexes,2011,7.9 [6.0-10.1],West Africa,7.9
Male,2011,3.6 [2.0-6.0],West Africa,3.6
Female,2011,11.8 [8.6-15.6],West Africa,11.8
Both sexes,2012,8.2 [6.2-10.6],West Africa,8.2
Male,2012,3.8 [2.1-6.4],West Africa,3.8
Female,2012,12.3 [8.8-16.2],West Africa,12.3
Both sexes,2013,8.6 [6.4-11.0],West Africa,8.6
Male,2013,4.0 [2.2-6.7],West Africa,4.0
Female,2013,12.7 [9.1-16.9],West Africa,12.7
Both sexes,2014,8.9 [6.6-11.5],West Africa,8.9
Male,2014,4.2 [2.2-7.1],West Africa,4.2
Female,2014,13.2 [9.4-17.6],West Africa,13.2
Both sexes,2015,9.3 [6.8-12.0],West Africa,9.3
Male,2015,4.5 [2.3-7.5],West Africa,4.5
Female,2015,13.7 [9.7-18.3],West Africa,13.7
Both sexes,2016,9.6 [7.0-12.6],West Africa,9.6
Male,2016,4.7 [2.4-7.9],West Africa,4.7
Female,2016,14.2 [9.9-19.1],West Africa,14.2
