Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.8 [2.4-8.3],South America,4.8
Male,1975,2.1 [0.6-5.1],South America,2.1
Female,1975,7.3 [3.1-13.4],South America,7.3
Both sexes,1976,5.0 [2.6-8.4],South America,5.0
Male,1976,2.2 [0.7-5.2],South America,2.2
Female,1976,7.5 [3.3-13.5],South America,7.5
Both sexes,1977,5.2 [2.8-8.6],South America,5.2
Male,1977,2.3 [0.7-5.4],South America,2.3
Female,1977,7.8 [3.6-13.7],South America,7.8
Both sexes,1978,5.4 [3.0-8.8],South America,5.4
Male,1978,2.5 [0.8-5.6],South America,2.5
Female,1978,8.1 [3.8-13.9],South America,8.1
Both sexes,1979,5.6 [3.2-9.0],South America,5.6
Male,1979,2.6 [0.9-5.8],South America,2.6
Female,1979,8.4 [4.1-14.2],South America,8.4
Both sexes,1980,5.9 [3.4-9.2],South America,5.9
Male,1980,2.8 [1.0-6.0],South America,2.8
Female,1980,8.7 [4.4-14.5],South America,8.7
Both sexes,1981,6.2 [3.6-9.4],South America,6.2
Male,1981,2.9 [1.1-6.2],South America,2.9
Female,1981,9.1 [4.7-14.8],South America,9.1
Both sexes,1982,6.4 [3.9-9.7],South America,6.4
Male,1982,3.1 [1.2-6.5],South America,3.1
Female,1982,9.5 [5.0-15.2],South America,9.5
Both sexes,1983,6.7 [4.1-10.0],South America,6.7
Male,1983,3.3 [1.3-6.7],South America,3.3
Female,1983,9.9 [5.4-15.5],South America,9.9
Both sexes,1984,7.1 [4.4-10.3],South America,7.1
Male,1984,3.5 [1.4-7.0],South America,3.5
Female,1984,10.3 [5.7-16.0],South America,10.3
Both sexes,1985,7.4 [4.7-10.7],South America,7.4
Male,1985,3.8 [1.5-7.4],South America,3.8
Female,1985,10.7 [6.1-16.4],South America,10.7
Both sexes,1986,7.7 [5.0-11.1],South America,7.7
Male,1986,4.0 [1.7-7.7],South America,4.0
Female,1986,11.1 [6.5-16.9],South America,11.1
Both sexes,1987,8.1 [5.3-11.5],South America,8.1
Male,1987,4.2 [1.8-8.1],South America,4.2
Female,1987,11.6 [6.8-17.4],South America,11.6
Both sexes,1988,8.5 [5.6-11.9],South America,8.5
Male,1988,4.5 [2.0-8.5],South America,4.5
Female,1988,12.0 [7.2-17.8],South America,12.0
Both sexes,1989,8.8 [5.9-12.3],South America,8.8
Male,1989,4.8 [2.1-8.9],South America,4.8
Female,1989,12.5 [7.7-18.3],South America,12.5
Both sexes,1990,9.2 [6.3-12.7],South America,9.2
Male,1990,5.1 [2.3-9.3],South America,5.1
Female,1990,13.0 [8.1-18.8],South America,13.0
Both sexes,1991,9.6 [6.6-13.1],South America,9.6
Male,1991,5.4 [2.5-9.6],South America,5.4
Female,1991,13.5 [8.6-19.3],South America,13.5
Both sexes,1992,10.0 [6.9-13.5],South America,10.0
Male,1992,5.7 [2.7-10.0],South America,5.7
Female,1992,14.0 [9.0-19.8],South America,14.0
Both sexes,1993,10.4 [7.3-14.0],South America,10.4
Male,1993,6.0 [2.8-10.4],South America,6.0
Female,1993,14.5 [9.5-20.2],South America,14.5
Both sexes,1994,10.8 [7.7-14.4],South America,10.8
Male,1994,6.3 [3.0-10.8],South America,6.3
Female,1994,14.9 [9.9-20.7],South America,14.9
Both sexes,1995,11.2 [8.0-14.9],South America,11.2
Male,1995,6.6 [3.3-11.2],South America,6.6
Female,1995,15.4 [10.3-21.2],South America,15.4
Both sexes,1996,11.6 [8.4-15.3],South America,11.6
Male,1996,6.9 [3.5-11.7],South America,6.9
Female,1996,15.9 [10.8-21.7],South America,15.9
Both sexes,1997,12.0 [8.7-15.8],South America,12.0
Male,1997,7.2 [3.7-12.1],South America,7.2
Female,1997,16.4 [11.2-22.2],South America,16.4
Both sexes,1998,12.4 [9.1-16.2],South America,12.4
Male,1998,7.6 [3.9-12.5],South America,7.6
Female,1998,16.8 [11.6-22.6],South America,16.8
Both sexes,1999,12.8 [9.5-16.6],South America,12.8
Male,1999,7.9 [4.2-12.9],South America,7.9
Female,1999,17.3 [12.0-23.1],South America,17.3
Both sexes,2000,13.2 [9.8-17.0],South America,13.2
Male,2000,8.2 [4.4-13.3],South America,8.2
Female,2000,17.8 [12.5-23.6],South America,17.8
Both sexes,2001,13.6 [10.2-17.4],South America,13.6
Male,2001,8.6 [4.7-13.8],South America,8.6
Female,2001,18.2 [12.9-24.1],South America,18.2
Both sexes,2002,14.0 [10.6-17.9],South America,14.0
Male,2002,8.9 [4.9-14.2],South America,8.9
Female,2002,18.7 [13.3-24.5],South America,18.7
Both sexes,2003,14.4 [11.0-18.3],South America,14.4
Male,2003,9.2 [5.2-14.6],South America,9.2
Female,2003,19.2 [13.8-25.0],South America,19.2
Both sexes,2004,14.8 [11.3-18.7],South America,14.8
