Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.9 [3.2-9.8],Balkans,5.9
Male,1975,3.8 [1.4-7.8],Balkans,3.8
Female,1975,7.7 [3.4-14.3],Balkans,7.7
Both sexes,1976,6.2 [3.5-10.0],Balkans,6.2
Male,1976,4.0 [1.5-7.9],Balkans,4.0
Female,1976,8.0 [3.7-14.5],Balkans,8.0
Both sexes,1977,6.4 [3.8-10.2],Balkans,6.4
Male,1977,4.2 [1.7-8.1],Balkans,4.2
Female,1977,8.2 [4.0-14.6],Balkans,8.2
Both sexes,1978,6.7 [4.0-10.4],Balkans,6.7
Male,1978,4.5 [1.9-8.4],Balkans,4.5
Female,1978,8.5 [4.2-14.7],Balkans,8.5
Both sexes,1979,7.0 [4.3-10.6],Balkans,7.0
Male,1979,4.7 [2.1-8.6],Balkans,4.7
Female,1979,8.8 [4.5-14.8],Balkans,8.8
Both sexes,1980,7.3 [4.6-10.9],Balkans,7.3
Male,1980,5.0 [2.3-9.0],Balkans,5.0
Female,1980,9.1 [4.8-15.0],Balkans,9.1
Both sexes,1981,7.6 [4.9-11.1],Balkans,7.6
Male,1981,5.2 [2.5-9.2],Balkans,5.2
Female,1981,9.4 [5.1-15.3],Balkans,9.4
Both sexes,1982,7.8 [5.1-11.4],Balkans,7.8
Male,1982,5.5 [2.7-9.5],Balkans,5.5
Female,1982,9.7 [5.4-15.5],Balkans,9.7
Both sexes,1983,8.1 [5.4-11.6],Balkans,8.1
Male,1983,5.8 [2.9-9.8],Balkans,5.8
Female,1983,10.0 [5.8-15.6],Balkans,10.0
Both sexes,1984,8.4 [5.7-11.9],Balkans,8.4
Male,1984,6.0 [3.1-10.0],Balkans,6.0
Female,1984,10.3 [6.1-15.9],Balkans,10.3
Both sexes,1985,8.7 [6.0-12.1],Balkans,8.7
Male,1985,6.3 [3.3-10.4],Balkans,6.3
Female,1985,10.6 [6.4-16.1],Balkans,10.6
Both sexes,1986,8.9 [6.2-12.3],Balkans,8.9
Male,1986,6.6 [3.5-10.7],Balkans,6.6
Female,1986,10.8 [6.6-16.2],Balkans,10.8
Both sexes,1987,9.2 [6.5-12.5],Balkans,9.2
Male,1987,6.9 [3.7-11.1],Balkans,6.9
Female,1987,11.1 [6.9-16.5],Balkans,11.1
Both sexes,1988,9.5 [6.7-12.8],Balkans,9.5
Male,1988,7.2 [3.9-11.4],Balkans,7.2
Female,1988,11.4 [7.1-16.6],Balkans,11.4
Both sexes,1989,9.7 [7.0-13.0],Balkans,9.7
Male,1989,7.4 [4.1-11.7],Balkans,7.4
Female,1989,11.6 [7.4-16.7],Balkans,11.6
Both sexes,1990,10.0 [7.2-13.3],Balkans,10.0
Male,1990,7.7 [4.3-12.1],Balkans,7.7
Female,1990,11.8 [7.7-17.0],Balkans,11.8
Both sexes,1991,10.3 [7.4-13.6],Balkans,10.3
