Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,2.8 [1.1-5.6],Southern Africa,2.8
Male,1975,0.3 [0.1-1.1],Southern Africa,0.3
Female,1975,4.6 [1.7-9.7],Southern Africa,4.6
Both sexes,1976,2.9 [1.2-5.8],Southern Africa,2.9
Male,1976,0.4 [0.1-1.1],Southern Africa,0.4
Female,1976,4.9 [1.9-10.0],Southern Africa,4.9
Both sexes,1977,3.1 [1.3-6.0],Southern Africa,3.1
Male,1977,0.4 [0.1-1.2],Southern Africa,0.4
Female,1977,5.2 [2.1-10.3],Southern Africa,5.2
Both sexes,1978,3.3 [1.5-6.2],Southern Africa,3.3
Male,1978,0.4 [0.1-1.2],Southern Africa,0.4
Female,1978,5.5 [2.3-10.7],Southern Africa,5.5
Both sexes,1979,3.5 [1.6-6.4],Southern Africa,3.5
Male,1979,0.5 [0.1-1.3],Southern Africa,0.5
Female,1979,5.9 [2.6-11.1],Southern Africa,5.9
Both sexes,1980,3.7 [1.8-6.6],Southern Africa,3.7
Male,1980,0.5 [0.1-1.4],Southern Africa,0.5
Female,1980,6.3 [2.9-11.5],Southern Africa,6.3
Both sexes,1981,3.9 [2.0-6.9],Southern Africa,3.9
Male,1981,0.6 [0.1-1.5],Southern Africa,0.6
Female,1981,6.7 [3.2-12.1],Southern Africa,6.7
Both sexes,1982,4.2 [2.2-7.2],Southern Africa,4.2
Male,1982,0.6 [0.2-1.6],Southern Africa,0.6
Female,1982,7.2 [3.5-12.7],Southern Africa,7.2
Both sexes,1983,4.5 [2.4-7.5],Southern Africa,4.5
Male,1983,0.7 [0.2-1.7],Southern Africa,0.7
Female,1983,7.7 [3.9-13.3],Southern Africa,7.7
Both sexes,1984,4.9 [2.7-7.9],Southern Africa,4.9
Male,1984,0.8 [0.2-1.8],Southern Africa,0.8
Female,1984,8.2 [4.4-14.0],Southern Africa,8.2
Both sexes,1985,5.2 [3.0-8.3],Southern Africa,5.2
Male,1985,0.8 [0.3-2.0],Southern Africa,0.8
Female,1985,8.9 [4.9-14.6],Southern Africa,8.9
Both sexes,1986,5.7 [3.3-8.8],Southern Africa,5.7
Male,1986,0.9 [0.3-2.1],Southern Africa,0.9
Female,1986,9.6 [5.4-15.4],Southern Africa,9.6
Both sexes,1987,6.1 [3.7-9.4],Southern Africa,6.1
Male,1987,1.1 [0.4-2.3],Southern Africa,1.1
Female,1987,10.4 [6.0-16.3],Southern Africa,10.4
Both sexes,1988,6.7 [4.1-9.9],Southern Africa,6.7
Male,1988,1.2 [0.4-2.6],Southern Africa,1.2
Female,1988,11.2 [6.7-17.1],Southern Africa,11.2
Both sexes,1989,7.2 [4.6-10.5],Southern Africa,7.2
Male,1989,1.4 [0.5-2.9],Southern Africa,1.4
Female,1989,12.2 [7.4-18.2],Southern Africa,12.2
Both sexes,1990,7.8 [5.1-11.2],Southern Africa,7.8
Male,1990,1.6 [0.6-3.2],Southern Africa,1.6
Female,1990,13.1 [8.2-19.3],Southern Africa,13.1
Both sexes,1991,8.4 [5.6-11.9],Southern Africa,8.4
Male,1991,1.8 [0.7-3.6],Southern Africa,1.8
Female,1991,14.1 [9.0-20.4],Southern Africa,14.1
Both sexes,1992,9.0 [6.1-12.5],Southern Africa,9.0
Male,1992,2.0 [0.8-3.9],Southern Africa,2.0
Female,1992,15.1 [9.7-21.4],Southern Africa,15.1
Both sexes,1993,9.6 [6.6-13.1],Southern Africa,9.6
Male,1993,2.2 [1.0-4.3],Southern Africa,2.2
Female,1993,16.0 [10.5-22.4],Southern Africa,16.0
Both sexes,1994,10.2 [7.0-13.7],Southern Africa,10.2
Male,1994,2.5 [1.1-4.7],Southern Africa,2.5
Female,1994,16.9 [11.3-23.3],Southern Africa,16.9
Both sexes,1995,10.7 [7.5-14.3],Southern Africa,10.7
Male,1995,2.7 [1.2-5.0],Southern Africa,2.7
Female,1995,17.7 [12.0-24.2],Southern Africa,17.7
Both sexes,1996,11.3 [8.0-14.9],Southern Africa,11.3
Male,1996,2.9 [1.3-5.4],Southern Africa,2.9
Female,1996,18.5 [12.7-25.1],Southern Africa,18.5
Both sexes,1997,11.8 [8.4-15.4],Southern Africa,11.8
Male,1997,3.2 [1.5-5.7],Southern Africa,3.2
Female,1997,19.3 [13.4-25.9],Southern Africa,19.3
Both sexes,1998,12.2 [8.8-15.9],Southern Africa,12.2
Male,1998,3.4 [1.6-6.1],Southern Africa,3.4
Female,1998,20.0 [14.0-26.6],Southern Africa,20.0
Both sexes,1999,12.7 [9.3-16.3],Southern Africa,12.7
Male,1999,3.7 [1.8-6.4],Southern Africa,3.7
Female,1999,20.6 [14.6-27.2],Southern Africa,20.6
Both sexes,2000,13.1 [9.7-16.8],Southern Africa,13.1
Male,2000,3.9 [1.9-6.7],Southern Africa,3.9
Female,2000,21.3 [15.1-27.9],Southern Africa,21.3
Both sexes,2001,13.6 [10.1-17.3],Southern Africa,13.6
Male,2001,4.1 [2.1-7.1],Southern Africa,4.1
Female,2001,21.9 [15.7-28.6],Southern Africa,21.9
Both sexes,2002,14.0 [10.5-17.7],Southern Africa,14.0
Male,2002,4.4 [2.2-7.4],Southern Africa,4.4
Female,2002,22.5 [16.2-29.2],Southern Africa,22.5
Both sexes,2003,14.4 [10.8-18.1],Southern Africa,14.4
Male,2003,4.6 [2.4-7.7],Southern Africa,4.6
Female,2003,23.0 [16.7-29.8],Southern Africa,23.0
Both sexes,2004,14.8 [11.1-18.5],Southern Africa,14.8
Male,2004,4.9 [2.6-8.0],Southern Africa,4.9
Female,2004,23.6 [17.1-30.4],Southern Africa,23.6
Both sexes,2005,15.1 [11.5-18.8],Southern Africa,15.1
Male,2005,5.1 [2.7-8.4],Southern Africa,5.1
Female,2005,24.1 [17.6-30.9],Southern Africa,24.1
Both sexes,2006,15.5 [11.9-19.2],Southern Africa,15.5
Male,2006,5.4 [2.9-8.7],Southern Africa,5.4
Female,2006,24.6 [18.1-31.4],Southern Africa,24.6
Both sexes,2007,15.8 [12.2-19.6],Southern Africa,15.8
Male,2007,5.6 [3.1-9.0],Southern Africa,5.6
Female,2007,25.1 [18.6-31.9],Southern Africa,25.1
Both sexes,2008,16.2 [12.5-20.0],Southern Africa,16.2
Male,2008,5.9 [3.3-9.3],Southern Africa,5.9
Female,2008,25.6 [19.1-32.4],Southern Africa,25.6
Both sexes,2009,16.5 [12.9-20.4],Southern Africa,16.5
Male,2009,6.1 [3.4-9.7],Southern Africa,6.1
Female,2009,26.1 [19.5-32.9],Southern Africa,26.1
Both sexes,2010,16.9 [13.2-20.8],Southern Africa,16.9
Male,2010,6.4 [3.6-10.1],Southern Africa,6.4
Female,2010,26.5 [20.0-33.5],Southern Africa,26.5
Both sexes,2011,17.2 [13.4-21.2],Southern Africa,17.2
Male,2011,6.6 [3.7-10.5],Southern Africa,6.6
Female,2011,27.0 [20.5-34.0],Southern Africa,27.0
Both sexes,2012,17.5 [13.7-21.6],Southern Africa,17.5
Male,2012,6.9 [3.9-10.9],Southern Africa,6.9
Female,2012,27.5 [20.8-34.7],Southern Africa,27.5
Both sexes,2013,17.9 [14.0-21.9],Southern Africa,17.9
Male,2013,7.2 [4.0-11.3],Southern Africa,7.2
Female,2013,27.9 [21.1-35.3],Southern Africa,27.9
Both sexes,2014,18.2 [14.2-22.4],Southern Africa,18.2
Male,2014,7.5 [4.2-11.9],Southern Africa,7.5
Female,2014,28.4 [21.4-35.9],Southern Africa,28.4
Both sexes,2015,18.6 [14.4-22.9],Southern Africa,18.6
Male,2015,7.8 [4.3-12.4],Southern Africa,7.8
Female,2015,28.9 [21.7-36.5],Southern Africa,28.9
Both sexes,2016,18.9 [14.6-23.5],Southern Africa,18.9
Male,2016,8.1 [4.5-12.9],Southern Africa,8.1
Female,2016,29.3 [22.0-37.2],Southern Africa,29.3
