Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.2 [3.3-7.9],South America,5.2
Male,1975,3.0 [1.4-5.7],South America,3.0
Female,1975,7.3 [4.0-12.0],South America,7.3
Both sexes,1976,5.5 [3.5-8.1],South America,5.5
Male,1976,3.2 [1.5-5.8],South America,3.2
Female,1976,7.6 [4.3-12.2],South America,7.6
Both sexes,1977,5.7 [3.8-8.3],South America,5.7
Male,1977,3.4 [1.7-6.0],South America,3.4
Female,1977,8.0 [4.7-12.5],South America,8.0
Both sexes,1978,6.0 [4.1-8.5],South America,6.0
Male,1978,3.6 [1.9-6.2],South America,3.6
Female,1978,8.3 [5.1-12.6],South America,8.3
Both sexes,1979,6.3 [4.4-8.7],South America,6.3
Male,1979,3.8 [2.1-6.4],South America,3.8
Female,1979,8.7 [5.4-12.9],South America,8.7
Both sexes,1980,6.6 [4.7-9.0],South America,6.6
Male,1980,4.1 [2.3-6.6],South America,4.1
Female,1980,9.0 [5.8-13.1],South America,9.0
Both sexes,1981,6.9 [5.0-9.2],South America,6.9
Male,1981,4.3 [2.5-6.8],South America,4.3
Female,1981,9.4 [6.2-13.4],South America,9.4
Both sexes,1982,7.2 [5.3-9.5],South America,7.2
Male,1982,4.6 [2.7-7.1],South America,4.6
Female,1982,9.8 [6.6-13.7],South America,9.8
Both sexes,1983,7.6 [5.7-9.8],South America,7.6
Male,1983,4.8 [3.0-7.4],South America,4.8
Female,1983,10.2 [7.1-14.0],South America,10.2
Both sexes,1984,7.9 [6.0-10.1],South America,7.9
Male,1984,5.1 [3.3-7.6],South America,5.1
Female,1984,10.6 [7.5-14.3],South America,10.6
Both sexes,1985,8.3 [6.4-10.4],South America,8.3
Male,1985,5.4 [3.5-7.9],South America,5.4
Female,1985,11.0 [7.9-14.7],South America,11.0
Both sexes,1986,8.6 [6.7-10.7],South America,8.6
Male,1986,5.7 [3.8-8.2],South America,5.7
Female,1986,11.4 [8.3-15.0],South America,11.4
Both sexes,1987,9.0 [7.1-11.1],South America,9.0
Male,1987,6.0 [4.1-8.5],South America,6.0
Female,1987,11.8 [8.8-15.4],South America,11.8
Both sexes,1988,9.4 [7.4-11.5],South America,9.4
Male,1988,6.3 [4.4-8.9],South America,6.3
Female,1988,12.2 [9.2-15.7],South America,12.2
Both sexes,1989,9.8 [7.9-11.8],South America,9.8
Male,1989,6.7 [4.7-9.2],South America,6.7
Female,1989,12.7 [9.6-16.1],South America,12.7
Both sexes,1990,10.2 [8.3-12.2],South America,10.2
Male,1990,7.0 [5.0-9.5],South America,7.0
Female,1990,13.1 [10.1-16.5],South America,13.1
Both sexes,1991,10.6 [8.7-12.6],South America,10.6
Male,1991,7.4 [5.3-9.9],South America,7.4
Female,1991,13.5 [10.5-16.8],South America,13.5
Both sexes,1992,11.0 [9.1-13.0],South America,11.0
Male,1992,7.7 [5.6-10.2],South America,7.7
Female,1992,14.0 [11.0-17.3],South America,14.0
Both sexes,1993,11.4 [9.5-13.5],South America,11.4
Male,1993,8.1 [5.9-10.6],South America,8.1
Female,1993,14.4 [11.5-17.7],South America,14.4
Both sexes,1994,11.8 [9.9-13.9],South America,11.8
Male,1994,8.5 [6.3-11.0],South America,8.5
Female,1994,14.9 [11.9-18.1],South America,14.9
Both sexes,1995,12.2 [10.3-14.3],South America,12.2
Male,1995,8.9 [6.6-11.4],South America,8.9
Female,1995,15.3 [12.4-18.5],South America,15.3
Both sexes,1996,12.7 [10.7-14.8],South America,12.7
Male,1996,9.3 [7.0-11.8],South America,9.3
Female,1996,15.8 [12.8-19.0],South America,15.8
Both sexes,1997,13.1 [11.2-15.2],South America,13.1
Male,1997,9.7 [7.4-12.3],South America,9.7
Female,1997,16.3 [13.3-19.4],South America,16.3
Both sexes,1998,13.6 [11.6-15.7],South America,13.6
Male,1998,10.1 [7.7-12.7],South America,10.1
Female,1998,16.8 [13.8-19.9],South America,16.8
Both sexes,1999,14.1 [12.1-16.1],South America,14.1
Male,1999,10.5 [8.1-13.2],South America,10.5
Female,1999,17.3 [14.3-20.4],South America,17.3
Both sexes,2000,14.5 [12.6-16.6],South America,14.5
Male,2000,11.0 [8.5-13.6],South America,11.0
Female,2000,17.8 [14.9-20.9],South America,17.8
Both sexes,2001,15.0 [13.1-17.1],South America,15.0
Male,2001,11.4 [8.9-14.1],South America,11.4
Female,2001,18.2 [15.3-21.3],South America,18.2
Both sexes,2002,15.5 [13.5-17.5],South America,15.5
Male,2002,11.9 [9.3-14.6],South America,11.9
Female,2002,18.7 [15.8-21.8],South America,18.7
Both sexes,2003,15.9 [13.9-18.0],South America,15.9
Male,2003,12.3 [9.8-15.1],South America,12.3
Female,2003,19.2 [16.3-22.2],South America,19.2
Both sexes,2004,16.4 [14.4-18.5],South America,16.4
Male,2004,12.8 [10.2-15.5],South America,12.8
Female,2004,19.7 [16.7-22.7],South America,19.7
Both sexes,2005,16.8 [14.8-19.0],South America,16.8
Male,2005,13.2 [10.6-16.0],South America,13.2
Female,2005,20.1 [17.2-23.2],South America,20.1
Both sexes,2006,17.3 [15.2-19.5],South America,17.3
Male,2006,13.7 [11.1-16.6],South America,13.7
Female,2006,20.6 [17.5-23.7],South America,20.6
Both sexes,2007,17.8 [15.6-20.0],South America,17.8
Male,2007,14.1 [11.4-17.1],South America,14.1
Female,2007,21.1 [17.9-24.3],South America,21.1
Both sexes,2008,18.2 [16.0-20.5],South America,18.2
Male,2008,14.6 [11.8-17.7],South America,14.6
Female,2008,21.5 [18.3-24.9],South America,21.5
Both sexes,2009,18.7 [16.4-21.1],South America,18.7
Male,2009,15.0 [12.1-18.3],South America,15.0
Female,2009,22.0 [18.6-25.5],South America,22.0
Both sexes,2010,19.2 [16.8-21.6],South America,19.2
Male,2010,15.5 [12.5-18.9],South America,15.5
Female,2010,22.5 [18.9-26.1],South America,22.5
Both sexes,2011,19.6 [17.1-22.2],South America,19.6
Male,2011,16.0 [12.8-19.5],South America,16.0
Female,2011,22.9 [19.2-26.8],South America,22.9
Both sexes,2012,20.1 [17.4-22.8],South America,20.1
Male,2012,16.5 [13.1-20.2],South America,16.5
Female,2012,23.4 [19.5-27.5],South America,23.4
Both sexes,2013,20.6 [17.8-23.5],South America,20.6
Male,2013,17.0 [13.4-21.0],South America,17.0
Female,2013,23.9 [19.8-28.3],South America,23.9
Both sexes,2014,21.1 [18.1-24.2],South America,21.1
Male,2014,17.5 [13.7-21.8],South America,17.5
Female,2014,24.4 [20.0-29.1],South America,24.4
Both sexes,2015,21.6 [18.4-25.0],South America,21.6
Male,2015,18.0 [13.9-22.6],South America,18.0
Female,2015,24.9 [20.3-29.8],South America,24.9
Both sexes,2016,22.1 [18.7-25.7],South America,22.1
Male,2016,18.5 [14.1-23.5],South America,18.5
Female,2016,25.4 [20.4-30.7],South America,25.4
