Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,2.6 [1.2-4.5],Southeast Asia,2.6
Male,1975,1.4 [0.4-3.2],Southeast Asia,1.4
Female,1975,3.9 [1.5-7.6],Southeast Asia,3.9
Both sexes,1976,2.7 [1.3-4.6],Southeast Asia,2.7
Male,1976,1.5 [0.4-3.3],Southeast Asia,1.5
Female,1976,4.0 [1.6-7.6],Southeast Asia,4.0
Both sexes,1977,2.7 [1.4-4.6],Southeast Asia,2.7
Male,1977,1.5 [0.5-3.4],Southeast Asia,1.5
Female,1977,4.1 [1.7-7.7],Southeast Asia,4.1
Both sexes,1978,2.8 [1.5-4.6],Southeast Asia,2.8
Male,1978,1.6 [0.5-3.4],Southeast Asia,1.6
Female,1978,4.2 [1.8-7.7],Southeast Asia,4.2
Both sexes,1979,2.8 [1.5-4.6],Southeast Asia,2.8
Male,1979,1.6 [0.6-3.4],Southeast Asia,1.6
Female,1979,4.3 [1.9-7.8],Southeast Asia,4.3
Both sexes,1980,2.9 [1.6-4.7],Southeast Asia,2.9
Male,1980,1.7 [0.6-3.5],Southeast Asia,1.7
Female,1980,4.4 [2.0-7.8],Southeast Asia,4.4
Both sexes,1981,3.0 [1.7-4.7],Southeast Asia,3.0
Male,1981,1.8 [0.6-3.5],Southeast Asia,1.8
Female,1981,4.5 [2.1-7.9],Southeast Asia,4.5
Both sexes,1982,3.1 [1.7-4.8],Southeast Asia,3.1
Male,1982,1.8 [0.7-3.7],Southeast Asia,1.8
Female,1982,4.6 [2.2-8.0],Southeast Asia,4.6
Both sexes,1983,3.2 [1.8-4.9],Southeast Asia,3.2
Male,1983,1.9 [0.8-3.8],Southeast Asia,1.9
Female,1983,4.7 [2.3-8.1],Southeast Asia,4.7
Both sexes,1984,3.3 [1.9-5.1],Southeast Asia,3.3
Male,1984,2.0 [0.8-4.0],Southeast Asia,2.0
Female,1984,4.9 [2.4-8.3],Southeast Asia,4.9
