Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.1 [6.3-15.0],Balkans,10.1
Male,1975,7.2 [3.3-13.4],Balkans,7.2
Female,1975,12.9 [6.9-21.0],Balkans,12.9
Both sexes,1976,10.5 [6.6-15.3],Balkans,10.5
Male,1976,7.6 [3.5-13.7],Balkans,7.6
Female,1976,13.3 [7.3-21.3],Balkans,13.3
Both sexes,1977,10.9 [7.1-15.6],Balkans,10.9
Male,1977,8.0 [3.9-13.9],Balkans,8.0
Female,1977,13.7 [7.7-21.6],Balkans,13.7
Both sexes,1978,11.3 [7.4-16.0],Balkans,11.3
Male,1978,8.4 [4.2-14.2],Balkans,8.4
Female,1978,14.1 [8.2-21.8],Balkans,14.1
Both sexes,1979,11.7 [7.8-16.3],Balkans,11.7
Male,1979,8.7 [4.5-14.5],Balkans,8.7
Female,1979,14.4 [8.6-21.9],Balkans,14.4
Both sexes,1980,12.0 [8.2-16.6],Balkans,12.0
Male,1980,9.1 [4.8-14.9],Balkans,9.1
Female,1980,14.8 [9.0-22.1],Balkans,14.8
Both sexes,1981,12.4 [8.6-17.0],Balkans,12.4
Male,1981,9.5 [5.2-15.2],Balkans,9.5
Female,1981,15.2 [9.4-22.3],Balkans,15.2
Both sexes,1982,12.8 [9.0-17.3],Balkans,12.8
Male,1982,9.9 [5.5-15.6],Balkans,9.9
Female,1982,15.5 [9.8-22.6],Balkans,15.5
Both sexes,1983,13.1 [9.4-17.6],Balkans,13.1
Male,1983,10.3 [5.9-15.9],Balkans,10.3
Female,1983,15.8 [10.1-22.7],Balkans,15.8
Both sexes,1984,13.5 [9.7-17.9],Balkans,13.5
Male,1984,10.7 [6.2-16.3],Balkans,10.7
Female,1984,16.1 [10.4-22.9],Balkans,16.1
Both sexes,1985,13.8 [10.0-18.2],Balkans,13.8
Male,1985,11.1 [6.4-16.7],Balkans,11.1
Female,1985,16.4 [10.6-23.2],Balkans,16.4
Both sexes,1986,14.2 [10.4-18.5],Balkans,14.2
Male,1986,11.5 [6.8-17.1],Balkans,11.5
Female,1986,16.7 [10.9-23.4],Balkans,16.7
Both sexes,1987,14.5 [10.7-18.9],Balkans,14.5
Male,1987,11.9 [7.1-17.5],Balkans,11.9
Female,1987,16.9 [11.2-23.6],Balkans,16.9
Both sexes,1988,14.8 [11.0-19.2],Balkans,14.8
Male,1988,12.2 [7.5-17.9],Balkans,12.2
Female,1988,17.2 [11.4-23.8],Balkans,17.2
Both sexes,1989,15.1 [11.3-19.4],Balkans,15.1
Male,1989,12.6 [7.8-18.3],Balkans,12.6
Female,1989,17.4 [11.7-24.0],Balkans,17.4
Both sexes,1990,15.4 [11.6-19.7],Balkans,15.4
Male,1990,13.0 [8.2-18.8],Balkans,13.0
Female,1990,17.6 [11.9-24.2],Balkans,17.6
Both sexes,1991,15.7 [11.9-20.0],Balkans,15.7
