Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.1 [0.4-2.3],West Africa,1.1
Male,1975,0.3 [0.1-1.0],West Africa,0.3
Female,1975,1.8 [0.6-3.9],West Africa,1.8
Both sexes,1976,1.2 [0.5-2.4],West Africa,1.2
Male,1976,0.4 [0.1-1.1],West Africa,0.4
Female,1976,1.9 [0.6-4.0],West Africa,1.9
Both sexes,1977,1.3 [0.5-2.5],West Africa,1.3
Male,1977,0.4 [0.1-1.1],West Africa,0.4
Female,1977,2.0 [0.7-4.1],West Africa,2.0
Both sexes,1978,1.3 [0.6-2.6],West Africa,1.3
Male,1978,0.4 [0.1-1.1],West Africa,0.4
Female,1978,2.1 [0.8-4.2],West Africa,2.1
Both sexes,1979,1.4 [0.6-2.7],West Africa,1.4
Male,1979,0.4 [0.1-1.2],West Africa,0.4
Female,1979,2.2 [0.9-4.4],West Africa,2.2
Both sexes,1980,1.5 [0.7-2.8],West Africa,1.5
Male,1980,0.5 [0.1-1.2],West Africa,0.5
Female,1980,2.3 [0.9-4.5],West Africa,2.3
Both sexes,1981,1.6 [0.8-3.0],West Africa,1.6
Male,1981,0.5 [0.1-1.3],West Africa,0.5
Female,1981,2.4 [1.0-4.6],West Africa,2.4
Both sexes,1982,1.7 [0.9-3.1],West Africa,1.7
Male,1982,0.5 [0.2-1.3],West Africa,0.5
Female,1982,2.6 [1.1-4.8],West Africa,2.6
Both sexes,1983,1.9 [0.9-3.3],West Africa,1.9
Male,1983,0.6 [0.2-1.4],West Africa,0.6
Female,1983,2.8 [1.3-5.1],West Africa,2.8
Both sexes,1984,2.0 [1.0-3.4],West Africa,2.0
Male,1984,0.7 [0.2-1.5],West Africa,0.7
Female,1984,3.0 [1.4-5.3],West Africa,3.0
Both sexes,1985,2.2 [1.2-3.6],West Africa,2.2
Male,1985,0.7 [0.2-1.6],West Africa,0.7
Female,1985,3.2 [1.5-5.6],West Africa,3.2
Both sexes,1986,2.4 [1.3-3.9],West Africa,2.4
Male,1986,0.8 [0.3-1.7],West Africa,0.8
Female,1986,3.5 [1.7-6.0],West Africa,3.5
Both sexes,1987,2.6 [1.4-4.2],West Africa,2.6
Male,1987,0.9 [0.3-1.9],West Africa,0.9
Female,1987,3.8 [1.9-6.4],West Africa,3.8
Both sexes,1988,2.8 [1.6-4.5],West Africa,2.8
Male,1988,1.0 [0.4-2.1],West Africa,1.0
