Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.3 [0.6-2.5],Central Africa,1.3
Male,1975,0.4 [0.1-1.2],Central Africa,0.4
Female,1975,2.2 [0.8-4.4],Central Africa,2.2
Both sexes,1976,1.4 [0.7-2.7],Central Africa,1.4
Male,1976,0.5 [0.1-1.2],Central Africa,0.5
Female,1976,2.3 [1.0-4.6],Central Africa,2.3
Both sexes,1977,1.5 [0.8-2.8],Central Africa,1.5
Male,1977,0.5 [0.1-1.3],Central Africa,0.5
Female,1977,2.5 [1.1-4.7],Central Africa,2.5
Both sexes,1978,1.7 [0.8-2.9],Central Africa,1.7
Male,1978,0.5 [0.2-1.3],Central Africa,0.5
Female,1978,2.7 [1.2-5.0],Central Africa,2.7
Both sexes,1979,1.8 [0.9-3.0],Central Africa,1.8
Male,1979,0.6 [0.2-1.4],Central Africa,0.6
Female,1979,2.9 [1.3-5.2],Central Africa,2.9
Both sexes,1980,1.9 [1.0-3.2],Central Africa,1.9
Male,1980,0.6 [0.2-1.5],Central Africa,0.6
Female,1980,3.1 [1.5-5.4],Central Africa,3.1
Both sexes,1981,2.0 [1.2-3.3],Central Africa,2.0
Male,1981,0.7 [0.2-1.6],Central Africa,0.7
Female,1981,3.3 [1.7-5.6],Central Africa,3.3
Both sexes,1982,2.2 [1.3-3.4],Central Africa,2.2
Male,1982,0.8 [0.3-1.6],Central Africa,0.8
Female,1982,3.5 [1.8-5.8],Central Africa,3.5
Both sexes,1983,2.3 [1.4-3.6],Central Africa,2.3
Male,1983,0.8 [0.3-1.7],Central Africa,0.8
Female,1983,3.7 [2.0-6.1],Central Africa,3.7
Both sexes,1984,2.5 [1.5-3.8],Central Africa,2.5
Male,1984,0.9 [0.4-1.8],Central Africa,0.9
Female,1984,4.0 [2.2-6.3],Central Africa,4.0
Both sexes,1985,2.7 [1.6-4.0],Central Africa,2.7
Male,1985,1.0 [0.4-1.9],Central Africa,1.0
Female,1985,4.2 [2.4-6.6],Central Africa,4.2
Both sexes,1986,2.8 [1.8-4.1],Central Africa,2.8
Male,1986,1.0 [0.4-2.1],Central Africa,1.0
Female,1986,4.5 [2.6-6.8],Central Africa,4.5
Both sexes,1987,3.0 [1.9-4.3],Central Africa,3.0
Male,1987,1.1 [0.5-2.2],Central Africa,1.1
Female,1987,4.7 [2.8-7.2],Central Africa,4.7
Both sexes,1988,3.2 [2.1-4.5],Central Africa,3.2
Male,1988,1.2 [0.5-2.3],Central Africa,1.2
Female,1988,5.0 [3.0-7.5],Central Africa,5.0
Both sexes,1989,3.4 [2.2-4.7],Central Africa,3.4
Male,1989,1.3 [0.6-2.4],Central Africa,1.3
Female,1989,5.3 [3.3-7.8],Central Africa,5.3
Both sexes,1990,3.5 [2.4-5.0],Central Africa,3.5
Male,1990,1.4 [0.7-2.6],Central Africa,1.4
Female,1990,5.5 [3.5-8.1],Central Africa,5.5
Both sexes,1991,3.7 [2.6-5.2],Central Africa,3.7
Male,1991,1.5 [0.7-2.7],Central Africa,1.5
Female,1991,5.8 [3.8-8.5],Central Africa,5.8
Both sexes,1992,3.9 [2.7-5.4],Central Africa,3.9
Male,1992,1.6 [0.8-2.8],Central Africa,1.6
Female,1992,6.1 [4.0-8.8],Central Africa,6.1
Both sexes,1993,4.2 [2.9-5.6],Central Africa,4.2
Male,1993,1.7 [0.9-3.0],Central Africa,1.7
Female,1993,6.4 [4.3-9.1],Central Africa,6.4
Both sexes,1994,4.4 [3.1-5.9],Central Africa,4.4
Male,1994,1.8 [0.9-3.1],Central Africa,1.8
Female,1994,6.8 [4.5-9.4],Central Africa,6.8
Both sexes,1995,4.6 [3.3-6.1],Central Africa,4.6
Male,1995,1.9 [1.0-3.3],Central Africa,1.9
Female,1995,7.1 [4.8-9.8],Central Africa,7.1
Both sexes,1996,4.8 [3.5-6.4],Central Africa,4.8
Male,1996,2.0 [1.1-3.4],Central Africa,2.0
Female,1996,7.4 [5.1-10.2],Central Africa,7.4
Both sexes,1997,5.1 [3.7-6.6],Central Africa,5.1
Male,1997,2.2 [1.2-3.6],Central Africa,2.2
Female,1997,7.8 [5.4-10.5],Central Africa,7.8
Both sexes,1998,5.3 [3.9-6.9],Central Africa,5.3
Male,1998,2.3 [1.3-3.8],Central Africa,2.3
Female,1998,8.1 [5.7-10.9],Central Africa,8.1
Both sexes,1999,5.6 [4.2-7.2],Central Africa,5.6
Male,1999,2.5 [1.3-4.0],Central Africa,2.5
Female,1999,8.5 [6.0-11.4],Central Africa,8.5
Both sexes,2000,5.8 [4.4-7.5],Central Africa,5.8
Male,2000,2.6 [1.5-4.2],Central Africa,2.6
Female,2000,8.9 [6.4-11.8],Central Africa,8.9
Both sexes,2001,6.1 [4.6-7.8],Central Africa,6.1
Male,2001,2.8 [1.6-4.4],Central Africa,2.8
Female,2001,9.3 [6.7-12.2],Central Africa,9.3
Both sexes,2002,6.4 [4.9-8.2],Central Africa,6.4
Male,2002,2.9 [1.7-4.6],Central Africa,2.9
Female,2002,9.7 [7.1-12.7],Central Africa,9.7
Both sexes,2003,6.7 [5.2-8.5],Central Africa,6.7
Male,2003,3.1 [1.8-4.9],Central Africa,3.1
Female,2003,10.1 [7.5-13.1],Central Africa,10.1
Both sexes,2004,7.0 [5.4-8.8],Central Africa,7.0
Male,2004,3.3 [1.9-5.1],Central Africa,3.3
Female,2004,10.6 [7.8-13.6],Central Africa,10.6
Both sexes,2005,7.3 [5.7-9.2],Central Africa,7.3
Male,2005,3.5 [2.1-5.4],Central Africa,3.5
Female,2005,11.0 [8.2-14.1],Central Africa,11.0
Both sexes,2006,7.7 [6.0-9.6],Central Africa,7.7
Male,2006,3.7 [2.2-5.6],Central Africa,3.7
Female,2006,11.5 [8.6-14.7],Central Africa,11.5
Both sexes,2007,8.0 [6.2-9.9],Central Africa,8.0
Male,2007,3.9 [2.3-5.9],Central Africa,3.9
Female,2007,11.9 [9.0-15.3],Central Africa,11.9
Both sexes,2008,8.3 [6.5-10.4],Central Africa,8.3
Male,2008,4.1 [2.4-6.2],Central Africa,4.1
Female,2008,12.4 [9.4-15.8],Central Africa,12.4
Both sexes,2009,8.7 [6.8-10.8],Central Africa,8.7
Male,2009,4.3 [2.6-6.6],Central Africa,4.3
Female,2009,12.9 [9.7-16.4],Central Africa,12.9
Both sexes,2010,9.0 [7.1-11.3],Central Africa,9.0
Male,2010,4.5 [2.7-6.9],Central Africa,4.5
Female,2010,13.4 [10.0-17.0],Central Africa,13.4
Both sexes,2011,9.4 [7.4-11.7],Central Africa,9.4
Male,2011,4.8 [2.8-7.3],Central Africa,4.8
Female,2011,13.9 [10.4-17.7],Central Africa,13.9
Both sexes,2012,9.8 [7.6-12.2],Central Africa,9.8
