Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.8 [7.2-13.0],North America,9.8
Male,1975,8.8 [5.3-13.2],North America,8.8
Female,1975,10.8 [7.0-15.2],North America,10.8
Both sexes,1976,10.1 [7.6-13.1],North America,10.1
Male,1976,9.1 [5.7-13.3],North America,9.1
Female,1976,11.0 [7.3-15.4],North America,11.0
Both sexes,1977,10.4 [7.9-13.3],North America,10.4
Male,1977,9.4 [6.0-13.5],North America,9.4
Female,1977,11.3 [7.7-15.5],North America,11.3
Both sexes,1978,10.7 [8.3-13.5],North America,10.7
Male,1978,9.7 [6.4-13.7],North America,9.7
Female,1978,11.6 [8.0-15.6],North America,11.6
Both sexes,1979,11.0 [8.6-13.7],North America,11.0
Male,1979,10.0 [6.7-13.9],North America,10.0
Female,1979,11.9 [8.3-15.9],North America,11.9
Both sexes,1980,11.3 [8.9-14.0],North America,11.3
Male,1980,10.3 [7.1-14.1],North America,10.3
Female,1980,12.2 [8.7-16.1],North America,12.2
Both sexes,1981,11.6 [9.2-14.2],North America,11.6
Male,1981,10.6 [7.4-14.3],North America,10.6
Female,1981,12.5 [9.1-16.3],North America,12.5
Both sexes,1982,11.9 [9.6-14.5],North America,11.9
Male,1982,11.0 [7.8-14.7],North America,11.0
Female,1982,12.8 [9.4-16.5],North America,12.8
Both sexes,1983,12.3 [10.0-14.9],North America,12.3
Male,1983,11.4 [8.2-15.0],North America,11.4
Female,1983,13.2 [9.8-16.8],North America,13.2
Both sexes,1984,12.7 [10.4-15.2],North America,12.7
Male,1984,11.7 [8.6-15.4],North America,11.7
Female,1984,13.5 [10.2-17.1],North America,13.5
Both sexes,1985,13.1 [10.8-15.6],North America,13.1
Male,1985,12.1 [8.9-15.8],North America,12.1
Female,1985,13.9 [10.6-17.5],North America,13.9
Both sexes,1986,13.5 [11.1-16.0],North America,13.5
Male,1986,12.6 [9.3-16.2],North America,12.6
Female,1986,14.3 [11.0-17.9],North America,14.3
Both sexes,1987,13.9 [11.5-16.4],North America,13.9
Male,1987,13.0 [9.7-16.7],North America,13.0
