Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.2 [0.5-2.5],Central Africa,1.2
Male,1975,0.4 [0.1-1.2],Central Africa,0.4
Female,1975,1.9 [0.6-4.4],Central Africa,1.9
Both sexes,1976,1.3 [0.5-2.6],Central Africa,1.3
Male,1976,0.4 [0.1-1.2],Central Africa,0.4
Female,1976,2.0 [0.7-4.6],Central Africa,2.0
Both sexes,1977,1.3 [0.6-2.7],Central Africa,1.3
Male,1977,0.4 [0.1-1.3],Central Africa,0.4
Female,1977,2.2 [0.7-4.7],Central Africa,2.2
Both sexes,1978,1.4 [0.6-2.8],Central Africa,1.4
Male,1978,0.5 [0.1-1.3],Central Africa,0.5
Female,1978,2.3 [0.8-4.8],Central Africa,2.3
Both sexes,1979,1.5 [0.7-2.9],Central Africa,1.5
Male,1979,0.5 [0.1-1.4],Central Africa,0.5
Female,1979,2.4 [0.9-4.9],Central Africa,2.4
Both sexes,1980,1.6 [0.7-3.0],Central Africa,1.6
Male,1980,0.5 [0.1-1.4],Central Africa,0.5
Female,1980,2.5 [1.0-5.1],Central Africa,2.5
Both sexes,1981,1.7 [0.8-3.0],Central Africa,1.7
Male,1981,0.6 [0.2-1.5],Central Africa,0.6
Female,1981,2.7 [1.1-5.3],Central Africa,2.7
Both sexes,1982,1.8 [0.8-3.2],Central Africa,1.8
Male,1982,0.6 [0.2-1.5],Central Africa,0.6
Female,1982,2.8 [1.1-5.4],Central Africa,2.8
Both sexes,1983,1.8 [0.9-3.3],Central Africa,1.8
Male,1983,0.7 [0.2-1.6],Central Africa,0.7
Female,1983,2.9 [1.2-5.6],Central Africa,2.9
Both sexes,1984,1.9 [1.0-3.4],Central Africa,1.9
Male,1984,0.7 [0.2-1.7],Central Africa,0.7
Female,1984,3.1 [1.3-5.7],Central Africa,3.1
Both sexes,1985,2.0 [1.0-3.5],Central Africa,2.0
Male,1985,0.7 [0.2-1.7],Central Africa,0.7
Female,1985,3.2 [1.4-5.9],Central Africa,3.2
Both sexes,1986,2.1 [1.1-3.6],Central Africa,2.1
Male,1986,0.8 [0.2-1.8],Central Africa,0.8
Female,1986,3.3 [1.5-6.1],Central Africa,3.3
Both sexes,1987,2.2 [1.2-3.8],Central Africa,2.2
Male,1987,0.8 [0.3-1.9],Central Africa,0.8
Female,1987,3.5 [1.6-6.3],Central Africa,3.5
Both sexes,1988,2.3 [1.2-3.9],Central Africa,2.3
Male,1988,0.9 [0.3-2.0],Central Africa,0.9
Female,1988,3.7 [1.7-6.5],Central Africa,3.7
Both sexes,1989,2.4 [1.3-4.1],Central Africa,2.4
Male,1989,0.9 [0.3-2.1],Central Africa,0.9
Female,1989,3.8 [1.8-6.7],Central Africa,3.8
Both sexes,1990,2.6 [1.4-4.2],Central Africa,2.6
Male,1990,1.0 [0.3-2.2],Central Africa,1.0
Female,1990,4.0 [1.9-6.9],Central Africa,4.0
Both sexes,1991,2.7 [1.5-4.4],Central Africa,2.7
Male,1991,1.0 [0.4-2.3],Central Africa,1.0
Female,1991,4.1 [2.0-7.1],Central Africa,4.1
Both sexes,1992,2.8 [1.6-4.5],Central Africa,2.8
Male,1992,1.1 [0.4-2.4],Central Africa,1.1
Female,1992,4.3 [2.1-7.4],Central Africa,4.3
Both sexes,1993,2.9 [1.6-4.7],Central Africa,2.9
Male,1993,1.2 [0.4-2.5],Central Africa,1.2
Female,1993,4.5 [2.2-7.6],Central Africa,4.5
Both sexes,1994,3.1 [1.7-4.8],Central Africa,3.1
Male,1994,1.2 [0.4-2.6],Central Africa,1.2
Female,1994,4.7 [2.4-7.8],Central Africa,4.7
