Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.7 [0.3-1.5],North Africa,0.7
Male,1975,0.3 [0.1-0.8],North Africa,0.3
Female,1975,1.1 [0.3-2.6],North Africa,1.1
Both sexes,1976,0.8 [0.3-1.6],North Africa,0.8
Male,1976,0.3 [0.1-0.9],North Africa,0.3
Female,1976,1.2 [0.4-2.7],North Africa,1.2
Both sexes,1977,0.8 [0.3-1.7],North Africa,0.8
Male,1977,0.3 [0.1-0.9],North Africa,0.3
Female,1977,1.3 [0.4-2.8],North Africa,1.3
Both sexes,1978,0.9 [0.4-1.7],North Africa,0.9
Male,1978,0.3 [0.1-0.9],North Africa,0.3
Female,1978,1.4 [0.5-2.9],North Africa,1.4
Both sexes,1979,0.9 [0.4-1.8],North Africa,0.9
Male,1979,0.4 [0.1-1.0],North Africa,0.4
Female,1979,1.5 [0.6-3.1],North Africa,1.5
Both sexes,1980,1.0 [0.5-1.9],North Africa,1.0
Male,1980,0.4 [0.1-1.0],North Africa,0.4
Female,1980,1.6 [0.6-3.2],North Africa,1.6
Both sexes,1981,1.1 [0.5-2.0],North Africa,1.1
Male,1981,0.4 [0.1-1.1],North Africa,0.4
Female,1981,1.7 [0.7-3.3],North Africa,1.7
Both sexes,1982,1.2 [0.6-2.1],North Africa,1.2
Male,1982,0.5 [0.1-1.1],North Africa,0.5
Female,1982,1.8 [0.8-3.4],North Africa,1.8
Both sexes,1983,1.2 [0.6-2.1],North Africa,1.2
Male,1983,0.5 [0.1-1.2],North Africa,0.5
Female,1983,1.9 [0.8-3.5],North Africa,1.9
Both sexes,1984,1.3 [0.7-2.2],North Africa,1.3
Male,1984,0.5 [0.2-1.2],North Africa,0.5
Female,1984,2.0 [0.9-3.6],North Africa,2.0
Both sexes,1985,1.4 [0.7-2.3],North Africa,1.4
Male,1985,0.6 [0.2-1.3],North Africa,0.6
Female,1985,2.1 [1.0-3.8],North Africa,2.1
Both sexes,1986,1.4 [0.8-2.4],North Africa,1.4
Male,1986,0.6 [0.2-1.3],North Africa,0.6
Female,1986,2.2 [1.1-3.9],North Africa,2.2
Both sexes,1987,1.5 [0.8-2.5],North Africa,1.5
Male,1987,0.6 [0.2-1.4],North Africa,0.6
Female,1987,2.3 [1.2-4.1],North Africa,2.3
Both sexes,1988,1.6 [0.9-2.6],North Africa,1.6
Male,1988,0.7 [0.2-1.4],North Africa,0.7
Female,1988,2.5 [1.2-4.2],North Africa,2.5
Both sexes,1989,1.7 [1.0-2.7],North Africa,1.7
Male,1989,0.7 [0.3-1.5],North Africa,0.7
Female,1989,2.6 [1.3-4.4],North Africa,2.6
Both sexes,1990,1.8 [1.0-2.8],North Africa,1.8
Male,1990,0.8 [0.3-1.6],North Africa,0.8
Female,1990,2.7 [1.4-4.6],North Africa,2.7
Both sexes,1991,1.9 [1.1-2.9],North Africa,1.9
Male,1991,0.8 [0.3-1.7],North Africa,0.8
Female,1991,2.9 [1.5-4.8],North Africa,2.9
Both sexes,1992,2.0 [1.2-3.1],North Africa,2.0
Male,1992,0.9 [0.3-1.7],North Africa,0.9
Female,1992,3.0 [1.6-4.9],North Africa,3.0
Both sexes,1993,2.1 [1.3-3.2],North Africa,2.1
Male,1993,0.9 [0.4-1.8],North Africa,0.9
Female,1993,3.2 [1.7-5.2],North Africa,3.2
Both sexes,1994,2.2 [1.4-3.3],North Africa,2.2
Male,1994,1.0 [0.4-1.9],North Africa,1.0
Female,1994,3.3 [1.9-5.4],North Africa,3.3
Both sexes,1995,2.3 [1.4-3.5],North Africa,2.3
Male,1995,1.0 [0.4-2.0],North Africa,1.0
Female,1995,3.5 [2.0-5.6],North Africa,3.5
Both sexes,1996,2.4 [1.5-3.6],North Africa,2.4
Male,1996,1.1 [0.5-2.1],North Africa,1.1
Female,1996,3.7 [2.1-5.8],North Africa,3.7
Both sexes,1997,2.5 [1.6-3.8],North Africa,2.5
Male,1997,1.1 [0.5-2.2],North Africa,1.1
Female,1997,3.8 [2.2-6.0],North Africa,3.8
Both sexes,1998,2.7 [1.7-3.9],North Africa,2.7
Male,1998,1.2 [0.5-2.3],North Africa,1.2
Female,1998,4.0 [2.4-6.2],North Africa,4.0
Both sexes,1999,2.8 [1.8-4.1],North Africa,2.8
Male,1999,1.3 [0.6-2.4],North Africa,1.3
Female,1999,4.2 [2.5-6.5],North Africa,4.2
Both sexes,2000,2.9 [2.0-4.2],North Africa,2.9
Male,2000,1.3 [0.6-2.5],North Africa,1.3
Female,2000,4.4 [2.7-6.7],North Africa,4.4
Both sexes,2001,3.1 [2.1-4.4],North Africa,3.1
Male,2001,1.4 [0.7-2.6],North Africa,1.4
Female,2001,4.6 [2.8-7.0],North Africa,4.6
Both sexes,2002,3.2 [2.2-4.6],North Africa,3.2
Male,2002,1.5 [0.7-2.7],North Africa,1.5
Female,2002,4.8 [3.0-7.3],North Africa,4.8
Both sexes,2003,3.4 [2.3-4.8],North Africa,3.4
Male,2003,1.6 [0.8-2.8],North Africa,1.6
Female,2003,5.1 [3.2-7.6],North Africa,5.1
Both sexes,2004,3.6 [2.4-5.0],North Africa,3.6
Male,2004,1.7 [0.8-3.0],North Africa,1.7
Female,2004,5.3 [3.3-7.9],North Africa,5.3
Both sexes,2005,3.7 [2.6-5.2],North Africa,3.7
Male,2005,1.8 [0.9-3.2],North Africa,1.8
Female,2005,5.5 [3.5-8.2],North Africa,5.5
Both sexes,2006,3.9 [2.7-5.4],North Africa,3.9
Male,2006,1.8 [0.9-3.3],North Africa,1.8
Female,2006,5.8 [3.7-8.6],North Africa,5.8
Both sexes,2007,4.1 [2.8-5.6],North Africa,4.1
Male,2007,1.9 [1.0-3.4],North Africa,1.9
Female,2007,6.1 [3.9-8.9],North Africa,6.1
Both sexes,2008,4.3 [3.0-5.9],North Africa,4.3
Male,2008,2.0 [1.0-3.6],North Africa,2.0
Female,2008,6.3 [4.1-9.2],North Africa,6.3
Both sexes,2009,4.5 [3.1-6.1],North Africa,4.5
Male,2009,2.1 [1.1-3.8],North Africa,2.1
Female,2009,6.6 [4.3-9.6],North Africa,6.6
Both sexes,2010,4.7 [3.3-6.4],North Africa,4.7
Male,2010,2.3 [1.1-4.0],North Africa,2.3
Female,2010,6.9 [4.5-10.0],North Africa,6.9
Both sexes,2011,4.9 [3.4-6.7],North Africa,4.9
Male,2011,2.4 [1.2-4.2],North Africa,2.4
Female,2011,7.2 [4.7-10.4],North Africa,7.2
Both sexes,2012,5.1 [3.6-7.0],North Africa,5.1
Male,2012,2.5 [1.3-4.4],North Africa,2.5
Female,2012,7.5 [4.9-10.8],North Africa,7.5
Both sexes,2013,5.3 [3.7-7.3],North Africa,5.3
Male,2013,2.6 [1.3-4.7],North Africa,2.6
Female,2013,7.9 [5.1-11.3],North Africa,7.9
Both sexes,2014,5.6 [3.9-7.7],North Africa,5.6
Male,2014,2.8 [1.4-4.9],North Africa,2.8
Female,2014,8.2 [5.3-11.8],North Africa,8.2
Both sexes,2015,5.8 [4.0-8.0],North Africa,5.8
Male,2015,2.9 [1.4-5.2],North Africa,2.9
Female,2015,8.5 [5.5-12.4],North Africa,8.5
Both sexes,2016,6.1 [4.2-8.5],North Africa,6.1
Male,2016,3.1 [1.5-5.6],North Africa,3.1
Female,2016,8.9 [5.7-13.0],North Africa,8.9
