Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,11.2 [7.5-15.7],South America,11.2
Male,1975,7.8 [3.8-13.4],South America,7.8
Female,1975,14.2 [8.4-21.3],South America,14.2
Both sexes,1976,11.5 [7.9-15.9],South America,11.5
Male,1976,8.1 [4.1-13.7],South America,8.1
Female,1976,14.6 [8.8-21.5],South America,14.6
Both sexes,1977,11.9 [8.3-16.2],South America,11.9
Male,1977,8.4 [4.5-13.9],South America,8.4
Female,1977,14.9 [9.3-21.8],South America,14.9
Both sexes,1978,12.3 [8.7-16.5],South America,12.3
Male,1978,8.8 [4.8-14.2],South America,8.8
Female,1978,15.3 [9.7-22.0],South America,15.3
Both sexes,1979,12.6 [9.1-16.8],South America,12.6
Male,1979,9.1 [5.2-14.5],South America,9.1
Female,1979,15.7 [10.2-22.2],South America,15.7
Both sexes,1980,13.0 [9.5-17.1],South America,13.0
Male,1980,9.5 [5.5-14.7],South America,9.5
Female,1980,16.1 [10.7-22.4],South America,16.1
Both sexes,1981,13.4 [9.9-17.3],South America,13.4
Male,1981,9.8 [5.9-14.9],South America,9.8
Female,1981,16.5 [11.2-22.6],South America,16.5
Both sexes,1982,13.7 [10.3-17.6],South America,13.7
Male,1982,10.2 [6.3-15.2],South America,10.2
Female,1982,16.9 [11.7-22.9],South America,16.9
Both sexes,1983,14.1 [10.7-17.9],South America,14.1
Male,1983,10.5 [6.6-15.4],South America,10.5
Female,1983,17.3 [12.1-23.2],South America,17.3
Both sexes,1984,14.5 [11.1-18.2],South America,14.5
Male,1984,10.9 [7.0-15.7],South America,10.9
Female,1984,17.7 [12.5-23.4],South America,17.7
Both sexes,1985,14.8 [11.5-18.5],South America,14.8
Male,1985,11.2 [7.3-16.0],South America,11.2
Female,1985,18.0 [13.0-23.6],South America,18.0
Both sexes,1986,15.2 [11.9-18.8],South America,15.2
Male,1986,11.6 [7.6-16.3],South America,11.6
Female,1986,18.4 [13.4-23.9],South America,18.4
Both sexes,1987,15.6 [12.3-19.1],South America,15.6
Male,1987,12.0 [8.0-16.7],South America,12.0
Female,1987,18.8 [13.8-24.2],South America,18.8
Both sexes,1988,15.9 [12.7-19.5],South America,15.9
Male,1988,12.3 [8.3-17.0],South America,12.3
Female,1988,19.1 [14.2-24.6],South America,19.1
Both sexes,1989,16.3 [13.0-19.8],South America,16.3
Male,1989,12.7 [8.6-17.4],South America,12.7
Female,1989,19.5 [14.6-24.9],South America,19.5
Both sexes,1990,16.6 [13.4-20.2],South America,16.6
Male,1990,13.0 [9.0-17.7],South America,13.0
Female,1990,19.8 [15.0-25.2],South America,19.8
Both sexes,1991,17.0 [13.8-20.5],South America,17.0
Male,1991,13.4 [9.4-18.1],South America,13.4
Female,1991,20.2 [15.4-25.5],South America,20.2
Both sexes,1992,17.3 [14.1-20.8],South America,17.3
Male,1992,13.8 [9.7-18.5],South America,13.8
Female,1992,20.5 [15.8-25.8],South America,20.5
Both sexes,1993,17.7 [14.5-21.2],South America,17.7
Male,1993,14.2 [10.0-18.9],South America,14.2
Female,1993,20.9 [16.2-26.1],South America,20.9
Both sexes,1994,18.1 [14.9-21.6],South America,18.1
Male,1994,14.6 [10.4-19.3],South America,14.6
Female,1994,21.3 [16.6-26.4],South America,21.3
Both sexes,1995,18.5 [15.3-22.0],South America,18.5
Male,1995,15.0 [10.8-19.7],South America,15.0
Female,1995,21.7 [17.0-26.8],South America,21.7
Both sexes,1996,18.9 [15.7-22.4],South America,18.9
Male,1996,15.4 [11.2-20.1],South America,15.4
Female,1996,22.1 [17.4-27.2],South America,22.1
Both sexes,1997,19.3 [16.1-22.8],South America,19.3
Male,1997,15.8 [11.6-20.5],South America,15.8
Female,1997,22.5 [17.8-27.6],South America,22.5
Both sexes,1998,19.7 [16.6-23.2],South America,19.7
Male,1998,16.2 [12.0-21.0],South America,16.2
Female,1998,22.9 [18.3-28.0],South America,22.9
Both sexes,1999,20.2 [17.0-23.6],South America,20.2
Male,1999,16.7 [12.5-21.5],South America,16.7
Female,1999,23.3 [18.7-28.3],South America,23.3
Both sexes,2000,20.6 [17.4-24.0],South America,20.6
Male,2000,17.1 [12.9-21.9],South America,17.1
Female,2000,23.8 [19.2-28.8],South America,23.8
Both sexes,2001,21.0 [17.9-24.4],South America,21.0
Male,2001,17.6 [13.4-22.3],South America,17.6
Female,2001,24.2 [19.6-29.2],South America,24.2
Both sexes,2002,21.5 [18.3-24.9],South America,21.5
Male,2002,18.0 [13.8-22.9],South America,18.0
Female,2002,24.7 [20.1-29.5],South America,24.7
Both sexes,2003,21.9 [18.7-25.3],South America,21.9
Male,2003,18.5 [14.3-23.3],South America,18.5
Female,2003,25.1 [20.5-30.0],South America,25.1
Both sexes,2004,22.4 [19.2-25.8],South America,22.4
Male,2004,19.0 [14.7-23.8],South America,19.0
Female,2004,25.5 [20.9-30.5],South America,25.5
Both sexes,2005,22.8 [19.6-26.3],South America,22.8
Male,2005,19.4 [15.1-24.3],South America,19.4
Female,2005,26.0 [21.4-31.0],South America,26.0
Both sexes,2006,23.3 [20.0-26.7],South America,23.3
Male,2006,19.9 [15.5-24.8],South America,19.9
Female,2006,26.4 [21.8-31.5],South America,26.4
Both sexes,2007,23.7 [20.4-27.3],South America,23.7
Male,2007,20.4 [15.9-25.4],South America,20.4
Female,2007,26.9 [22.1-32.0],South America,26.9
Both sexes,2008,24.2 [20.8-27.8],South America,24.2
Male,2008,20.9 [16.3-26.0],South America,20.9
Female,2008,27.3 [22.5-32.5],South America,27.3
Both sexes,2009,24.7 [21.1-28.3],South America,24.7
Male,2009,21.3 [16.8-26.6],South America,21.3
Female,2009,27.8 [22.8-33.2],South America,27.8
Both sexes,2010,25.1 [21.5-28.9],South America,25.1
Male,2010,21.8 [17.1-27.2],South America,21.8
Female,2010,28.2 [23.1-33.8],South America,28.2
Both sexes,2011,25.6 [21.9-29.5],South America,25.6
Male,2011,22.3 [17.4-27.9],South America,22.3
Female,2011,28.7 [23.4-34.4],South America,28.7
Both sexes,2012,26.1 [22.2-30.1],South America,26.1
Male,2012,22.8 [17.6-28.6],South America,22.8
Female,2012,29.1 [23.7-35.0],South America,29.1
Both sexes,2013,26.5 [22.5-30.8],South America,26.5
Male,2013,23.3 [17.9-29.3],South America,23.3
Female,2013,29.6 [23.8-35.8],South America,29.6
Both sexes,2014,27.0 [22.9-31.5],South America,27.0
