Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.5 [0.2-0.9],East Asia,0.5
Male,1975,0.2 [0.1-0.5],East Asia,0.2
Female,1975,0.7 [0.3-1.5],East Asia,0.7
Both sexes,1976,0.5 [0.3-0.9],East Asia,0.5
Male,1976,0.2 [0.1-0.5],East Asia,0.2
Female,1976,0.8 [0.4-1.5],East Asia,0.8
Both sexes,1977,0.5 [0.3-0.9],East Asia,0.5
Male,1977,0.3 [0.1-0.5],East Asia,0.3
Female,1977,0.8 [0.4-1.5],East Asia,0.8
Both sexes,1978,0.6 [0.3-0.9],East Asia,0.6
Male,1978,0.3 [0.1-0.5],East Asia,0.3
Female,1978,0.9 [0.4-1.5],East Asia,0.9
Both sexes,1979,0.6 [0.4-1.0],East Asia,0.6
Male,1979,0.3 [0.1-0.6],East Asia,0.3
Female,1979,0.9 [0.5-1.6],East Asia,0.9
Both sexes,1980,0.6 [0.4-1.0],East Asia,0.6
Male,1980,0.3 [0.2-0.6],East Asia,0.3
Female,1980,1.0 [0.5-1.6],East Asia,1.0
Both sexes,1981,0.7 [0.4-1.0],East Asia,0.7
Male,1981,0.4 [0.2-0.6],East Asia,0.4
Female,1981,1.0 [0.6-1.6],East Asia,1.0
Both sexes,1982,0.7 [0.5-1.0],East Asia,0.7
Male,1982,0.4 [0.2-0.6],East Asia,0.4
Female,1982,1.1 [0.6-1.7],East Asia,1.1
Both sexes,1983,0.8 [0.5-1.1],East Asia,0.8
Male,1983,0.4 [0.2-0.7],East Asia,0.4
Female,1983,1.1 [0.7-1.7],East Asia,1.1
Both sexes,1984,0.8 [0.6-1.1],East Asia,0.8
Male,1984,0.5 [0.3-0.7],East Asia,0.5
Female,1984,1.2 [0.8-1.8],East Asia,1.2
Both sexes,1985,0.9 [0.6-1.2],East Asia,0.9
Male,1985,0.5 [0.3-0.8],East Asia,0.5
Female,1985,1.3 [0.9-1.8],East Asia,1.3
Both sexes,1986,0.9 [0.7-1.3],East Asia,0.9
Male,1986,0.5 [0.3-0.8],East Asia,0.5
Female,1986,1.4 [0.9-1.9],East Asia,1.4
Both sexes,1987,1.0 [0.8-1.3],East Asia,1.0
Male,1987,0.6 [0.4-0.9],East Asia,0.6
Female,1987,1.4 [1.0-2.0],East Asia,1.4
Both sexes,1988,1.1 [0.8-1.4],East Asia,1.1
Male,1988,0.6 [0.4-0.9],East Asia,0.6
Female,1988,1.5 [1.1-2.1],East Asia,1.5
Both sexes,1989,1.2 [0.9-1.5],East Asia,1.2
Male,1989,0.7 [0.5-1.0],East Asia,0.7
Female,1989,1.6 [1.2-2.2],East Asia,1.6
Both sexes,1990,1.2 [1.0-1.5],East Asia,1.2
Male,1990,0.8 [0.5-1.1],East Asia,0.8
Female,1990,1.7 [1.3-2.3],East Asia,1.7
Both sexes,1991,1.3 [1.0-1.6],East Asia,1.3
Male,1991,0.8 [0.6-1.2],East Asia,0.8
Female,1991,1.8 [1.3-2.4],East Asia,1.8
Both sexes,1992,1.4 [1.1-1.7],East Asia,1.4
Male,1992,0.9 [0.6-1.2],East Asia,0.9
Female,1992,1.9 [1.4-2.5],East Asia,1.9
Both sexes,1993,1.5 [1.2-1.8],East Asia,1.5
Male,1993,1.0 [0.7-1.3],East Asia,1.0
Female,1993,2.0 [1.5-2.6],East Asia,2.0
Both sexes,1994,1.6 [1.3-1.9],East Asia,1.6
Male,1994,1.1 [0.8-1.4],East Asia,1.1
Female,1994,2.1 [1.6-2.8],East Asia,2.1
Both sexes,1995,1.7 [1.4-2.1],East Asia,1.7
Male,1995,1.2 [0.8-1.6],East Asia,1.2
Female,1995,2.3 [1.7-2.9],East Asia,2.3
Both sexes,1996,1.8 [1.5-2.2],East Asia,1.8
Male,1996,1.3 [0.9-1.7],East Asia,1.3
Female,1996,2.4 [1.8-3.0],East Asia,2.4
Both sexes,1997,1.9 [1.6-2.3],East Asia,1.9
Male,1997,1.4 [1.0-1.8],East Asia,1.4
Female,1997,2.5 [1.9-3.2],East Asia,2.5
Both sexes,1998,2.1 [1.7-2.5],East Asia,2.1
Male,1998,1.5 [1.1-2.0],East Asia,1.5
Female,1998,2.7 [2.1-3.3],East Asia,2.7
Both sexes,1999,2.2 [1.8-2.6],East Asia,2.2
Male,1999,1.6 [1.2-2.1],East Asia,1.6
Female,1999,2.8 [2.2-3.5],East Asia,2.8
Both sexes,2000,2.4 [2.0-2.8],East Asia,2.4
Male,2000,1.8 [1.3-2.3],East Asia,1.8
Female,2000,2.9 [2.3-3.7],East Asia,2.9
Both sexes,2001,2.5 [2.1-3.0],East Asia,2.5
Male,2001,1.9 [1.4-2.5],East Asia,1.9
