Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.6 [3.9-10.1],South America,6.6
Male,1975,3.3 [1.3-6.6],South America,3.3
Female,1975,9.6 [5.0-15.8],South America,9.6
Both sexes,1976,6.9 [4.2-10.3],South America,6.9
Male,1976,3.5 [1.4-6.7],South America,3.5
Female,1976,9.9 [5.4-16.0],South America,9.9
Both sexes,1977,7.1 [4.5-10.5],South America,7.1
Male,1977,3.7 [1.6-6.9],South America,3.7
Female,1977,10.3 [5.7-16.1],South America,10.3
Both sexes,1978,7.4 [4.8-10.7],South America,7.4
Male,1978,3.9 [1.8-7.1],South America,3.9
Female,1978,10.7 [6.1-16.3],South America,10.7
Both sexes,1979,7.7 [5.1-10.9],South America,7.7
Male,1979,4.1 [1.9-7.3],South America,4.1
Female,1979,11.0 [6.5-16.5],South America,11.0
Both sexes,1980,8.0 [5.4-11.2],South America,8.0
Male,1980,4.3 [2.1-7.5],South America,4.3
Female,1980,11.4 [6.9-16.8],South America,11.4
Both sexes,1981,8.4 [5.7-11.5],South America,8.4
Male,1981,4.6 [2.3-7.8],South America,4.6
Female,1981,11.8 [7.3-17.1],South America,11.8
Both sexes,1982,8.7 [6.1-11.7],South America,8.7
Male,1982,4.8 [2.5-8.1],South America,4.8
Female,1982,12.2 [7.7-17.4],South America,12.2
Both sexes,1983,9.0 [6.4-12.0],South America,9.0
Male,1983,5.1 [2.7-8.3],South America,5.1
Female,1983,12.5 [8.1-17.7],South America,12.5
Both sexes,1984,9.3 [6.8-12.3],South America,9.3
Male,1984,5.4 [2.9-8.7],South America,5.4
Female,1984,12.9 [8.5-18.0],South America,12.9
Both sexes,1985,9.7 [7.1-12.6],South America,9.7
Male,1985,5.6 [3.1-9.0],South America,5.6
Female,1985,13.4 [9.0-18.3],South America,13.4
Both sexes,1986,10.1 [7.4-13.0],South America,10.1
Male,1986,5.9 [3.4-9.3],South America,5.9
Female,1986,13.8 [9.4-18.7],South America,13.8
Both sexes,1987,10.4 [7.8-13.3],South America,10.4
Male,1987,6.2 [3.6-9.7],South America,6.2
Female,1987,14.2 [9.9-19.0],South America,14.2
Both sexes,1988,10.8 [8.2-13.7],South America,10.8
Male,1988,6.5 [3.9-10.1],South America,6.5
Female,1988,14.6 [10.2-19.3],South America,14.6
Both sexes,1989,11.1 [8.5-14.0],South America,11.1
Male,1989,6.9 [4.1-10.5],South America,6.9
Female,1989,15.0 [10.7-19.6],South America,15.0
Both sexes,1990,11.5 [8.9-14.4],South America,11.5
Male,1990,7.2 [4.3-10.8],South America,7.2
Female,1990,15.4 [11.1-20.0],South America,15.4
Both sexes,1991,11.9 [9.2-14.8],South America,11.9
Male,1991,7.5 [4.6-11.2],South America,7.5
Female,1991,15.8 [11.6-20.4],South America,15.8
Both sexes,1992,12.3 [9.5-15.1],South America,12.3
Male,1992,7.8 [4.9-11.6],South America,7.8
Female,1992,16.2 [12.0-20.8],South America,16.2
Both sexes,1993,12.6 [9.9-15.5],South America,12.6
Male,1993,8.2 [5.1-11.9],South America,8.2
Female,1993,16.6 [12.4-21.2],South America,16.6
Both sexes,1994,13.0 [10.3-15.9],South America,13.0
Male,1994,8.5 [5.4-12.3],South America,8.5
Female,1994,17.0 [12.8-21.6],South America,17.0
Both sexes,1995,13.4 [10.7-16.3],South America,13.4
Male,1995,8.9 [5.7-12.7],South America,8.9
Female,1995,17.4 [13.2-22.0],South America,17.4
Both sexes,1996,13.8 [11.0-16.7],South America,13.8
Male,1996,9.2 [6.0-13.1],South America,9.2
Female,1996,17.9 [13.7-22.3],South America,17.9
Both sexes,1997,14.2 [11.4-17.1],South America,14.2
Male,1997,9.6 [6.4-13.4],South America,9.6
Female,1997,18.3 [14.1-22.7],South America,18.3
Both sexes,1998,14.6 [11.8-17.5],South America,14.6
Male,1998,9.9 [6.7-13.8],South America,9.9
Female,1998,18.7 [14.6-23.1],South America,18.7
Both sexes,1999,15.0 [12.2-17.9],South America,15.0
Male,1999,10.3 [7.0-14.2],South America,10.3
Female,1999,19.1 [15.0-23.4],South America,19.1
Both sexes,2000,15.4 [12.6-18.3],South America,15.4
Male,2000,10.7 [7.4-14.6],South America,10.7
Female,2000,19.5 [15.4-23.8],South America,19.5
Both sexes,2001,15.7 [13.0-18.7],South America,15.7
Male,2001,11.1 [7.7-15.0],South America,11.1
Female,2001,19.9 [15.9-24.2],South America,19.9
Both sexes,2002,16.2 [13.4-19.1],South America,16.2
Male,2002,11.4 [8.0-15.4],South America,11.4
Female,2002,20.4 [16.4-24.6],South America,20.4
Both sexes,2003,16.6 [13.8-19.5],South America,16.6
Male,2003,11.8 [8.4-15.8],South America,11.8
Female,2003,20.8 [16.8-25.0],South America,20.8
Both sexes,2004,17.0 [14.3-19.9],South America,17.0
Male,2004,12.2 [8.8-16.3],South America,12.2
Female,2004,21.2 [17.2-25.4],South America,21.2
Both sexes,2005,17.4 [14.7-20.3],South America,17.4
Male,2005,12.6 [9.1-16.6],South America,12.6
Female,2005,21.6 [17.6-25.8],South America,21.6
Both sexes,2006,17.8 [15.1-20.7],South America,17.8
Male,2006,13.0 [9.5-17.0],South America,13.0
Female,2006,22.1 [18.0-26.3],South America,22.1
Both sexes,2007,18.2 [15.4-21.2],South America,18.2
Male,2007,13.5 [9.8-17.4],South America,13.5
Female,2007,22.5 [18.4-26.7],South America,22.5
Both sexes,2008,18.7 [15.8-21.7],South America,18.7
Male,2008,13.9 [10.2-18.0],South America,13.9
Female,2008,22.9 [18.7-27.3],South America,22.9
Both sexes,2009,19.1 [16.2-22.2],South America,19.1
Male,2009,14.3 [10.5-18.6],South America,14.3
Female,2009,23.4 [19.1-27.8],South America,23.4
Both sexes,2010,19.5 [16.6-22.7],South America,19.5
Male,2010,14.7 [10.8-19.1],South America,14.7
Female,2010,23.8 [19.4-28.3],South America,23.8
Both sexes,2011,20.0 [16.9-23.3],South America,20.0
Male,2011,15.2 [11.1-19.7],South America,15.2
Female,2011,24.3 [19.7-29.0],South America,24.3
Both sexes,2012,20.4 [17.2-23.8],South America,20.4
Male,2012,15.6 [11.4-20.4],South America,15.6
Female,2012,24.7 [20.0-29.6],South America,24.7
Both sexes,2013,20.9 [17.5-24.4],South America,20.9
Male,2013,16.1 [11.6-21.0],South America,16.1
Female,2013,25.2 [20.3-30.2],South America,25.2
Both sexes,2014,21.4 [17.9-25.1],South America,21.4
Male,2014,16.6 [11.9-21.8],South America,16.6
Female,2014,25.7 [20.6-30.9],South America,25.7
Both sexes,2015,21.9 [18.2-25.8],South America,21.9
Male,2015,17.1 [12.1-22.5],South America,17.1
Female,2015,26.1 [20.8-31.6],South America,26.1
Both sexes,2016,22.3 [18.5-26.5],South America,22.3
Male,2016,17.6 [12.4-23.3],South America,17.6
Female,2016,26.6 [21.0-32.5],South America,26.6
