Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.5 [0.7-2.9],Central Africa,1.5
Male,1975,0.5 [0.1-1.3],Central Africa,0.5
Female,1975,2.5 [1.0-5.0],Central Africa,2.5
Both sexes,1976,1.6 [0.8-3.0],Central Africa,1.6
Male,1976,0.5 [0.1-1.3],Central Africa,0.5
Female,1976,2.6 [1.1-5.1],Central Africa,2.6
Both sexes,1977,1.7 [0.8-3.1],Central Africa,1.7
Male,1977,0.5 [0.1-1.4],Central Africa,0.5
Female,1977,2.8 [1.2-5.3],Central Africa,2.8
Both sexes,1978,1.8 [0.9-3.1],Central Africa,1.8
Male,1978,0.6 [0.2-1.4],Central Africa,0.6
Female,1978,2.9 [1.3-5.5],Central Africa,2.9
Both sexes,1979,1.9 [1.0-3.3],Central Africa,1.9
Male,1979,0.6 [0.2-1.5],Central Africa,0.6
Female,1979,3.1 [1.5-5.6],Central Africa,3.1
Both sexes,1980,2.0 [1.1-3.4],Central Africa,2.0
Male,1980,0.7 [0.2-1.6],Central Africa,0.7
Female,1980,3.3 [1.6-5.8],Central Africa,3.3
Both sexes,1981,2.1 [1.2-3.5],Central Africa,2.1
Male,1981,0.7 [0.2-1.6],Central Africa,0.7
Female,1981,3.5 [1.8-6.0],Central Africa,3.5
Both sexes,1982,2.3 [1.3-3.7],Central Africa,2.3
Male,1982,0.8 [0.3-1.7],Central Africa,0.8
Female,1982,3.7 [1.9-6.2],Central Africa,3.7
Both sexes,1983,2.4 [1.4-3.8],Central Africa,2.4
Male,1983,0.8 [0.3-1.8],Central Africa,0.8
Female,1983,3.9 [2.1-6.4],Central Africa,3.9
Both sexes,1984,2.5 [1.5-4.0],Central Africa,2.5
Male,1984,0.9 [0.3-1.9],Central Africa,0.9
Female,1984,4.1 [2.2-6.6],Central Africa,4.1
Both sexes,1985,2.7 [1.6-4.1],Central Africa,2.7
Male,1985,1.0 [0.4-2.0],Central Africa,1.0
Female,1985,4.3 [2.4-6.9],Central Africa,4.3
Both sexes,1986,2.8 [1.7-4.3],Central Africa,2.8
Male,1986,1.0 [0.4-2.1],Central Africa,1.0
Female,1986,4.5 [2.6-7.1],Central Africa,4.5
Both sexes,1987,3.0 [1.8-4.5],Central Africa,3.0
Male,1987,1.1 [0.4-2.2],Central Africa,1.1
Female,1987,4.7 [2.7-7.3],Central Africa,4.7
Both sexes,1988,3.1 [2.0-4.6],Central Africa,3.1
Male,1988,1.2 [0.5-2.4],Central Africa,1.2
Female,1988,4.9 [2.9-7.6],Central Africa,4.9
Both sexes,1989,3.3 [2.1-4.8],Central Africa,3.3
Male,1989,1.3 [0.5-2.5],Central Africa,1.3
Female,1989,5.1 [3.1-7.9],Central Africa,5.1
Both sexes,1990,3.4 [2.2-5.0],Central Africa,3.4
Male,1990,1.4 [0.6-2.6],Central Africa,1.4
