Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,28.0 [21.3-35.5],Oceania,28.0
Male,1975,21.6 [12.7-32.0],Oceania,21.6
Female,1975,34.5 [24.5-45.3],Oceania,34.5
Both sexes,1976,28.6 [22.0-35.9],Oceania,28.6
Male,1976,22.2 [13.4-32.2],Oceania,22.2
Female,1976,35.1 [25.3-45.7],Oceania,35.1
Both sexes,1977,29.2 [22.6-36.2],Oceania,29.2
Male,1977,22.7 [14.1-32.4],Oceania,22.7
Female,1977,35.7 [26.0-46.0],Oceania,35.7
Both sexes,1978,29.7 [23.3-36.6],Oceania,29.7
Male,1978,23.3 [14.7-32.8],Oceania,23.3
Female,1978,36.3 [26.8-46.3],Oceania,36.3
Both sexes,1979,30.3 [23.9-37.0],Oceania,30.3
Male,1979,23.8 [15.4-33.3],Oceania,23.8
Female,1979,36.9 [27.6-46.6],Oceania,36.9
Both sexes,1980,30.8 [24.5-37.5],Oceania,30.8
Male,1980,24.4 [16.1-33.8],Oceania,24.4
Female,1980,37.4 [28.3-46.9],Oceania,37.4
Both sexes,1981,31.4 [25.2-38.0],Oceania,31.4
Male,1981,25.0 [16.7-34.1],Oceania,25.0
Female,1981,38.0 [29.0-47.3],Oceania,38.0
Both sexes,1982,32.0 [25.9-38.5],Oceania,32.0
Male,1982,25.6 [17.4-34.6],Oceania,25.6
Female,1982,38.6 [29.8-47.6],Oceania,38.6
Both sexes,1983,32.6 [26.5-39.0],Oceania,32.6
Male,1983,26.2 [18.1-35.2],Oceania,26.2
Female,1983,39.2 [30.5-48.2],Oceania,39.2
Both sexes,1984,33.3 [27.2-39.5],Oceania,33.3
Male,1984,26.9 [18.8-35.7],Oceania,26.9
Female,1984,39.8 [31.2-48.7],Oceania,39.8
Both sexes,1985,33.9 [28.0-40.1],Oceania,33.9
Male,1985,27.6 [19.5-36.3],Oceania,27.6
Female,1985,40.5 [31.9-49.2],Oceania,40.5
Both sexes,1986,34.6 [28.7-40.8],Oceania,34.6
