Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.2 [2.9-8.3],Central America,5.2
Male,1975,2.8 [1.0-6.0],Central America,2.8
Female,1975,7.7 [3.6-13.5],Central America,7.7
Both sexes,1976,5.4 [3.1-8.5],Central America,5.4
Male,1976,3.0 [1.1-6.2],Central America,3.0
Female,1976,8.0 [3.9-13.8],Central America,8.0
Both sexes,1977,5.7 [3.3-8.7],Central America,5.7
Male,1977,3.1 [1.2-6.3],Central America,3.1
Female,1977,8.3 [4.2-13.9],Central America,8.3
Both sexes,1978,5.9 [3.6-8.9],Central America,5.9
Male,1978,3.3 [1.3-6.4],Central America,3.3
Female,1978,8.6 [4.5-14.1],Central America,8.6
Both sexes,1979,6.2 [3.8-9.1],Central America,6.2
Male,1979,3.5 [1.5-6.6],Central America,3.5
Female,1979,8.9 [4.8-14.4],Central America,8.9
Both sexes,1980,6.4 [4.0-9.4],Central America,6.4
Male,1980,3.6 [1.6-6.8],Central America,3.6
Female,1980,9.2 [5.1-14.7],Central America,9.2
Both sexes,1981,6.7 [4.2-9.6],Central America,6.7
Male,1981,3.8 [1.7-7.0],Central America,3.8
Female,1981,9.6 [5.4-14.9],Central America,9.6
Both sexes,1982,7.0 [4.5-9.9],Central America,7.0
Male,1982,4.0 [1.9-7.3],Central America,4.0
Female,1982,9.9 [5.8-15.2],Central America,9.9
Both sexes,1983,7.3 [4.8-10.2],Central America,7.3
Male,1983,4.3 [2.1-7.5],Central America,4.3
Female,1983,10.3 [6.1-15.5],Central America,10.3
Both sexes,1984,7.6 [5.0-10.5],Central America,7.6
Male,1984,4.5 [2.2-7.8],Central America,4.5
Female,1984,10.7 [6.4-15.9],Central America,10.7
Both sexes,1985,7.9 [5.3-10.9],Central America,7.9
Male,1985,4.7 [2.4-8.0],Central America,4.7
Female,1985,11.0 [6.8-16.2],Central America,11.0
Both sexes,1986,8.2 [5.6-11.2],Central America,8.2
Male,1986,5.0 [2.5-8.4],Central America,5.0
Female,1986,11.4 [7.2-16.7],Central America,11.4
Both sexes,1987,8.6 [6.0-11.5],Central America,8.6
Male,1987,5.3 [2.7-8.7],Central America,5.3
Female,1987,11.9 [7.6-17.2],Central America,11.9
Both sexes,1988,9.0 [6.3-12.0],Central America,9.0
Male,1988,5.6 [2.9-9.1],Central America,5.6
Female,1988,12.3 [8.0-17.6],Central America,12.3
Both sexes,1989,9.4 [6.7-12.4],Central America,9.4
Male,1989,5.9 [3.2-9.5],Central America,5.9
Female,1989,12.8 [8.4-18.1],Central America,12.8
Both sexes,1990,9.8 [7.1-12.9],Central America,9.8
Male,1990,6.2 [3.4-10.0],Central America,6.2
Female,1990,13.3 [8.9-18.6],Central America,13.3
Both sexes,1991,10.2 [7.5-13.3],Central America,10.2
Male,1991,6.6 [3.7-10.4],Central America,6.6
Female,1991,13.9 [9.4-19.2],Central America,13.9
Both sexes,1992,10.7 [7.9-13.8],Central America,10.7
Male,1992,7.0 [4.0-10.8],Central America,7.0
Female,1992,14.4 [9.9-19.8],Central America,14.4
Both sexes,1993,11.2 [8.3-14.4],Central America,11.2
Male,1993,7.4 [4.3-11.3],Central America,7.4
Female,1993,15.0 [10.5-20.3],Central America,15.0
Both sexes,1994,11.7 [8.8-14.9],Central America,11.7
Male,1994,7.8 [4.6-11.8],Central America,7.8
Female,1994,15.5 [11.0-20.9],Central America,15.5
Both sexes,1995,12.2 [9.2-15.4],Central America,12.2
Male,1995,8.2 [4.9-12.4],Central America,8.2
Female,1995,16.1 [11.5-21.5],Central America,16.1
Both sexes,1996,12.7 [9.7-16.0],Central America,12.7
Male,1996,8.6 [5.3-12.9],Central America,8.6
Female,1996,16.7 [12.1-22.1],Central America,16.7
Both sexes,1997,13.2 [10.2-16.6],Central America,13.2
Male,1997,9.1 [5.6-13.4],Central America,9.1
Female,1997,17.3 [12.6-22.7],Central America,17.3
Both sexes,1998,13.7 [10.7-17.1],Central America,13.7
Male,1998,9.6 [6.0-13.9],Central America,9.6
Female,1998,17.9 [13.2-23.3],Central America,17.9
Both sexes,1999,14.3 [11.2-17.7],Central America,14.3
Male,1999,10.0 [6.4-14.4],Central America,10.0
Female,1999,18.5 [13.8-23.9],Central America,18.5
Both sexes,2000,14.8 [11.7-18.3],Central America,14.8
Male,2000,10.5 [6.8-15.0],Central America,10.5
Female,2000,19.1 [14.4-24.6],Central America,19.1
Both sexes,2001,15.4 [12.2-18.9],Central America,15.4
Male,2001,11.1 [7.2-15.5],Central America,11.1
Female,2001,19.8 [15.0-25.3],Central America,19.8
Both sexes,2002,16.0 [12.8-19.5],Central America,16.0
Male,2002,11.6 [7.7-16.2],Central America,11.6
Female,2002,20.4 [15.6-25.9],Central America,20.4
Both sexes,2003,16.7 [13.4-20.2],Central America,16.7
Male,2003,12.2 [8.1-16.8],Central America,12.2
Female,2003,21.1 [16.2-26.6],Central America,21.1
Both sexes,2004,17.3 [14.0-20.9],Central America,17.3
Male,2004,12.8 [8.6-17.5],Central America,12.8
Female,2004,21.8 [16.9-27.3],Central America,21.8
Both sexes,2005,18.0 [14.7-21.6],Central America,18.0
Male,2005,13.4 [9.2-18.2],Central America,13.4
Female,2005,22.5 [17.5-28.1],Central America,22.5
Both sexes,2006,18.6 [15.3-22.3],Central America,18.6
Male,2006,14.0 [9.7-18.9],Central America,14.0
Female,2006,23.3 [18.3-28.8],Central America,23.3
Both sexes,2007,19.3 [15.9-23.1],Central America,19.3
Male,2007,14.7 [10.3-19.7],Central America,14.7
Female,2007,24.0 [18.9-29.6],Central America,24.0
Both sexes,2008,20.0 [16.6-23.8],Central America,20.0
Male,2008,15.4 [10.9-20.4],Central America,15.4
Female,2008,24.7 [19.5-30.3],Central America,24.7
Both sexes,2009,20.7 [17.2-24.5],Central America,20.7
Male,2009,16.0 [11.5-21.2],Central America,16.0
Female,2009,25.4 [20.2-31.1],Central America,25.4
Both sexes,2010,21.4 [17.9-25.3],Central America,21.4
Male,2010,16.7 [12.0-22.1],Central America,16.7
Female,2010,26.2 [20.8-31.9],Central America,26.2
Both sexes,2011,22.2 [18.4-26.1],Central America,22.2
Male,2011,17.4 [12.5-22.9],Central America,17.4
Female,2011,26.9 [21.4-32.7],Central America,26.9
Both sexes,2012,22.9 [19.0-27.0],Central America,22.9
Male,2012,18.1 [13.0-23.8],Central America,18.1
Female,2012,27.6 [22.0-33.7],Central America,27.6
Both sexes,2013,23.6 [19.6-27.8],Central America,23.6
