Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.2 [5.7-13.8],Balkans,9.2
Male,1975,6.2 [2.8-11.5],Balkans,6.2
Female,1975,11.5 [6.1-19.1],Balkans,11.5
Both sexes,1976,9.5 [6.0-14.1],Balkans,9.5
Male,1976,6.5 [3.1-11.9],Balkans,6.5
Female,1976,11.9 [6.5-19.2],Balkans,11.9
Both sexes,1977,9.9 [6.4-14.4],Balkans,9.9
Male,1977,6.9 [3.4-12.2],Balkans,6.9
Female,1977,12.2 [6.9-19.3],Balkans,12.2
Both sexes,1978,10.3 [6.8-14.7],Balkans,10.3
Male,1978,7.2 [3.7-12.3],Balkans,7.2
Female,1978,12.6 [7.3-19.5],Balkans,12.6
Both sexes,1979,10.6 [7.2-15.0],Balkans,10.6
Male,1979,7.6 [4.1-12.6],Balkans,7.6
Female,1979,13.0 [7.8-19.7],Balkans,13.0
Both sexes,1980,11.0 [7.6-15.3],Balkans,11.0
Male,1980,8.0 [4.4-13.0],Balkans,8.0
Female,1980,13.4 [8.2-19.9],Balkans,13.4
Both sexes,1981,11.4 [8.0-15.6],Balkans,11.4
Male,1981,8.3 [4.8-13.3],Balkans,8.3
Female,1981,13.8 [8.6-20.1],Balkans,13.8
Both sexes,1982,11.8 [8.4-15.8],Balkans,11.8
Male,1982,8.7 [5.1-13.6],Balkans,8.7
Female,1982,14.1 [9.0-20.3],Balkans,14.1
Both sexes,1983,12.1 [8.8-16.1],Balkans,12.1
Male,1983,9.1 [5.5-13.9],Balkans,9.1
Female,1983,14.5 [9.4-20.5],Balkans,14.5
Both sexes,1984,12.5 [9.1-16.4],Balkans,12.5
Male,1984,9.4 [5.8-14.3],Balkans,9.4
Female,1984,14.8 [9.8-20.7],Balkans,14.8
Both sexes,1985,12.8 [9.5-16.7],Balkans,12.8
Male,1985,9.8 [6.1-14.7],Balkans,9.8
Female,1985,15.1 [10.1-20.9],Balkans,15.1
Both sexes,1986,13.1 [9.8-17.0],Balkans,13.1
Male,1986,10.2 [6.4-15.1],Balkans,10.2
Female,1986,15.4 [10.4-21.2],Balkans,15.4
Both sexes,1987,13.4 [10.1-17.2],Balkans,13.4
Male,1987,10.5 [6.7-15.4],Balkans,10.5
Female,1987,15.7 [10.8-21.3],Balkans,15.7
Both sexes,1988,13.7 [10.4-17.4],Balkans,13.7
Male,1988,10.9 [7.0-15.7],Balkans,10.9
Female,1988,16.0 [11.1-21.6],Balkans,16.0
Both sexes,1989,14.0 [10.7-17.7],Balkans,14.0
Male,1989,11.3 [7.4-16.0],Balkans,11.3
Female,1989,16.2 [11.4-21.8],Balkans,16.2
Both sexes,1990,14.3 [11.1-18.1],Balkans,14.3
Male,1990,11.7 [7.7-16.4],Balkans,11.7
Female,1990,16.5 [11.7-22.0],Balkans,16.5
Both sexes,1991,14.6 [11.4-18.4],Balkans,14.6
Male,1991,12.0 [8.0-16.8],Balkans,12.0
Female,1991,16.7 [12.0-22.2],Balkans,16.7
Both sexes,1992,14.9 [11.7-18.7],Balkans,14.9
Male,1992,12.4 [8.4-17.3],Balkans,12.4
Female,1992,17.0 [12.3-22.4],Balkans,17.0
Both sexes,1993,15.2 [12.0-19.0],Balkans,15.2
Male,1993,12.8 [8.7-17.8],Balkans,12.8
Female,1993,17.2 [12.6-22.6],Balkans,17.2
Both sexes,1994,15.6 [12.3-19.3],Balkans,15.6
Male,1994,13.2 [9.0-18.2],Balkans,13.2
Female,1994,17.5 [12.9-22.8],Balkans,17.5
Both sexes,1995,15.9 [12.6-19.6],Balkans,15.9
Male,1995,13.6 [9.4-18.7],Balkans,13.6
Female,1995,17.7 [13.1-23.0],Balkans,17.7
Both sexes,1996,16.2 [13.0-19.9],Balkans,16.2
Male,1996,14.0 [9.8-19.1],Balkans,14.0
Female,1996,18.0 [13.4-23.3],Balkans,18.0
Both sexes,1997,16.5 [13.3-20.2],Balkans,16.5
Male,1997,14.4 [10.1-19.5],Balkans,14.4
Female,1997,18.2 [13.6-23.5],Balkans,18.2
Both sexes,1998,16.9 [13.6-20.5],Balkans,16.9
Male,1998,14.8 [10.5-20.0],Balkans,14.8
Female,1998,18.5 [14.0-23.7],Balkans,18.5
Both sexes,1999,17.2 [13.9-20.8],Balkans,17.2
Male,1999,15.2 [10.9-20.4],Balkans,15.2
Female,1999,18.7 [14.2-23.9],Balkans,18.7
Both sexes,2000,17.5 [14.3-21.2],Balkans,17.5
Male,2000,15.7 [11.3-20.8],Balkans,15.7
Female,2000,19.0 [14.4-24.2],Balkans,19.0
Both sexes,2001,17.9 [14.6-21.5],Balkans,17.9
Male,2001,16.1 [11.7-21.3],Balkans,16.1
Female,2001,19.3 [14.8-24.4],Balkans,19.3
Both sexes,2002,18.3 [15.0-21.9],Balkans,18.3
Male,2002,16.6 [12.1-21.7],Balkans,16.6
Female,2002,19.6 [15.0-24.6],Balkans,19.6
Both sexes,2003,18.6 [15.4-22.2],Balkans,18.6
Male,2003,17.1 [12.6-22.2],Balkans,17.1
Female,2003,19.9 [15.3-24.9],Balkans,19.9
Both sexes,2004,19.0 [15.8-22.6],Balkans,19.0
Male,2004,17.5 [13.0-22.7],Balkans,17.5
Female,2004,20.2 [15.6-25.2],Balkans,20.2
Both sexes,2005,19.4 [16.1-23.0],Balkans,19.4
Male,2005,18.0 [13.5-23.2],Balkans,18.0
Female,2005,20.5 [15.9-25.5],Balkans,20.5
Both sexes,2006,19.8 [16.5-23.5],Balkans,19.8
Male,2006,18.5 [13.9-23.8],Balkans,18.5
Female,2006,20.8 [16.2-25.8],Balkans,20.8
Both sexes,2007,20.2 [16.9-23.9],Balkans,20.2
Male,2007,19.0 [14.3-24.4],Balkans,19.0
Female,2007,21.1 [16.5-26.2],Balkans,21.1
Both sexes,2008,20.7 [17.2-24.3],Balkans,20.7
Male,2008,19.6 [14.8-25.0],Balkans,19.6
Female,2008,21.5 [16.7-26.6],Balkans,21.5
Both sexes,2009,21.1 [17.7-24.9],Balkans,21.1
Male,2009,20.1 [15.2-25.6],Balkans,20.1
Female,2009,21.8 [17.0-27.0],Balkans,21.8
Both sexes,2010,21.6 [18.0-25.4],Balkans,21.6
Male,2010,20.6 [15.6-26.3],Balkans,20.6
Female,2010,22.2 [17.3-27.4],Balkans,22.2
Both sexes,2011,22.0 [18.4-25.9],Balkans,22.0
Male,2011,21.2 [16.0-26.9],Balkans,21.2
Female,2011,22.6 [17.5-27.9],Balkans,22.6
Both sexes,2012,22.5 [18.8-26.5],Balkans,22.5
Male,2012,21.8 [16.4-27.7],Balkans,21.8
Female,2012,22.9 [17.8-28.5],Balkans,22.9
Both sexes,2013,22.9 [19.1-27.1],Balkans,22.9
Male,2013,22.3 [16.8-28.4],Balkans,22.3
Female,2013,23.3 [18.0-29.1],Balkans,23.3
Both sexes,2014,23.4 [19.5-27.7],Balkans,23.4
Male,2014,22.9 [17.2-29.2],Balkans,22.9
Female,2014,23.7 [18.1-29.7],Balkans,23.7
Both sexes,2015,23.9 [19.8-28.3],Balkans,23.9
Male,2015,23.5 [17.6-30.0],Balkans,23.5
Female,2015,24.1 [18.3-30.4],Balkans,24.1
