Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.8 [4.8-11.5],Caribbean,7.8
Male,1975,3.5 [1.4-6.6],Caribbean,3.5
Female,1975,12.1 [6.8-18.9],Caribbean,12.1
Both sexes,1976,8.1 [5.1-11.7],Caribbean,8.1
Male,1976,3.7 [1.6-6.8],Caribbean,3.7
Female,1976,12.5 [7.2-19.1],Caribbean,12.5
Both sexes,1977,8.4 [5.4-12.0],Caribbean,8.4
Male,1977,3.9 [1.7-7.0],Caribbean,3.9
Female,1977,12.9 [7.6-19.5],Caribbean,12.9
Both sexes,1978,8.7 [5.8-12.2],Caribbean,8.7
Male,1978,4.1 [1.9-7.3],Caribbean,4.1
Female,1978,13.4 [8.1-19.9],Caribbean,13.4
Both sexes,1979,9.1 [6.1-12.5],Caribbean,9.1
Male,1979,4.4 [2.1-7.5],Caribbean,4.4
Female,1979,13.8 [8.6-20.2],Caribbean,13.8
Both sexes,1980,9.5 [6.5-12.9],Caribbean,9.5
Male,1980,4.6 [2.3-7.8],Caribbean,4.6
Female,1980,14.3 [9.1-20.6],Caribbean,14.3
Both sexes,1981,9.9 [6.9-13.2],Caribbean,9.9
Male,1981,4.9 [2.5-8.1],Caribbean,4.9
Female,1981,14.8 [9.6-21.0],Caribbean,14.8
Both sexes,1982,10.2 [7.3-13.6],Caribbean,10.2
Male,1982,5.2 [2.7-8.4],Caribbean,5.2
Female,1982,15.3 [10.1-21.4],Caribbean,15.3
Both sexes,1983,10.6 [7.6-14.0],Caribbean,10.6
Male,1983,5.5 [2.9-8.7],Caribbean,5.5
Female,1983,15.8 [10.6-21.7],Caribbean,15.8
Both sexes,1984,11.0 [8.0-14.4],Caribbean,11.0
Male,1984,5.7 [3.1-9.0],Caribbean,5.7
Female,1984,16.2 [11.1-22.2],Caribbean,16.2
Both sexes,1985,11.4 [8.4-14.8],Caribbean,11.4
Male,1985,6.0 [3.3-9.4],Caribbean,6.0
Female,1985,16.7 [11.6-22.7],Caribbean,16.7
Both sexes,1986,11.8 [8.7-15.2],Caribbean,11.8
Male,1986,6.3 [3.6-9.8],Caribbean,6.3
Female,1986,17.2 [12.0-23.1],Caribbean,17.2
Both sexes,1987,12.2 [9.1-15.6],Caribbean,12.2
Male,1987,6.7 [3.8-10.2],Caribbean,6.7
Female,1987,17.6 [12.4-23.5],Caribbean,17.6
Both sexes,1988,12.6 [9.5-16.0],Caribbean,12.6
Male,1988,7.0 [4.0-10.6],Caribbean,7.0
Female,1988,18.1 [12.9-23.9],Caribbean,18.1
Both sexes,1989,13.0 [9.9-16.4],Caribbean,13.0
Male,1989,7.3 [4.3-11.0],Caribbean,7.3
Female,1989,18.6 [13.3-24.3],Caribbean,18.6
Both sexes,1990,13.4 [10.3-16.8],Caribbean,13.4
Male,1990,7.7 [4.6-11.4],Caribbean,7.7
Female,1990,19.0 [13.8-24.8],Caribbean,19.0
Both sexes,1991,13.8 [10.6-17.2],Caribbean,13.8
Male,1991,8.0 [4.8-11.9],Caribbean,8.0
Female,1991,19.5 [14.3-25.3],Caribbean,19.5
Both sexes,1992,14.2 [11.0-17.6],Caribbean,14.2
Male,1992,8.3 [5.1-12.3],Caribbean,8.3
Female,1992,20.0 [14.8-25.7],Caribbean,20.0
Both sexes,1993,14.6 [11.4-18.0],Caribbean,14.6
Male,1993,8.7 [5.3-12.7],Caribbean,8.7
Female,1993,20.4 [15.2-26.1],Caribbean,20.4
Both sexes,1994,15.0 [11.8-18.4],Caribbean,15.0
Male,1994,9.0 [5.6-13.2],Caribbean,9.0
Female,1994,20.8 [15.6-26.5],Caribbean,20.8
Both sexes,1995,15.3 [12.1-18.8],Caribbean,15.3
Male,1995,9.4 [5.9-13.5],Caribbean,9.4
Female,1995,21.2 [16.0-27.0],Caribbean,21.2
Both sexes,1996,15.7 [12.4-19.2],Caribbean,15.7
Male,1996,9.7 [6.2-14.0],Caribbean,9.7
Female,1996,21.7 [16.5-27.4],Caribbean,21.7
Both sexes,1997,16.1 [12.8-19.6],Caribbean,16.1
Male,1997,10.1 [6.5-14.3],Caribbean,10.1
Female,1997,22.1 [16.9-27.8],Caribbean,22.1
Both sexes,1998,16.5 [13.2-20.0],Caribbean,16.5
Male,1998,10.5 [6.8-14.8],Caribbean,10.5
Female,1998,22.5 [17.3-28.1],Caribbean,22.5
Both sexes,1999,16.9 [13.6-20.4],Caribbean,16.9
Male,1999,10.9 [7.1-15.2],Caribbean,10.9
Female,1999,22.9 [17.7-28.6],Caribbean,22.9
Both sexes,2000,17.3 [14.0-20.8],Caribbean,17.3
Male,2000,11.3 [7.4-15.6],Caribbean,11.3
Female,2000,23.3 [18.1-29.0],Caribbean,23.3
Both sexes,2001,17.7 [14.4-21.2],Caribbean,17.7
Male,2001,11.7 [7.8-16.0],Caribbean,11.7
Female,2001,23.8 [18.6-29.4],Caribbean,23.8
Both sexes,2002,18.2 [14.8-21.6],Caribbean,18.2
Male,2002,12.1 [8.1-16.5],Caribbean,12.1
Female,2002,24.2 [19.0-29.9],Caribbean,24.2
Both sexes,2003,18.6 [15.2-22.1],Caribbean,18.6
Male,2003,12.5 [8.5-16.9],Caribbean,12.5
Female,2003,24.6 [19.4-30.3],Caribbean,24.6
Both sexes,2004,19.0 [15.7-22.5],Caribbean,19.0
Male,2004,12.9 [8.8-17.4],Caribbean,12.9
Female,2004,25.1 [19.9-30.7],Caribbean,25.1
Both sexes,2005,19.4 [16.1-22.9],Caribbean,19.4
Male,2005,13.4 [9.2-17.9],Caribbean,13.4
Female,2005,25.5 [20.2-31.1],Caribbean,25.5
