Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.5 [3.1-8.9],Balkans,5.5
Male,1975,4.1 [1.6-8.2],Balkans,4.1
Female,1975,6.9 [3.1-12.1],Balkans,6.9
Both sexes,1976,5.9 [3.4-9.2],Balkans,5.9
Male,1976,4.4 [1.8-8.5],Balkans,4.4
Female,1976,7.3 [3.5-12.4],Balkans,7.3
Both sexes,1977,6.3 [3.7-9.6],Balkans,6.3
Male,1977,4.7 [2.0-8.9],Balkans,4.7
Female,1977,7.7 [3.8-12.9],Balkans,7.7
Both sexes,1978,6.7 [4.1-10.0],Balkans,6.7
Male,1978,5.1 [2.3-9.3],Balkans,5.1
Female,1978,8.2 [4.2-13.4],Balkans,8.2
Both sexes,1979,7.2 [4.5-10.6],Balkans,7.2
Male,1979,5.5 [2.6-9.8],Balkans,5.5
Female,1979,8.8 [4.7-14.0],Balkans,8.8
Both sexes,1980,7.7 [5.0-11.1],Balkans,7.7
Male,1980,6.0 [2.9-10.3],Balkans,6.0
Female,1980,9.3 [5.1-14.6],Balkans,9.3
Both sexes,1981,8.2 [5.4-11.7],Balkans,8.2
Male,1981,6.4 [3.2-10.8],Balkans,6.4
Female,1981,9.9 [5.6-15.2],Balkans,9.9
Both sexes,1982,8.8 [5.9-12.3],Balkans,8.8
Male,1982,6.9 [3.6-11.4],Balkans,6.9
Female,1982,10.5 [6.1-15.8],Balkans,10.5
Both sexes,1983,9.3 [6.4-12.8],Balkans,9.3
Male,1983,7.4 [3.9-12.0],Balkans,7.4
Female,1983,11.1 [6.6-16.4],Balkans,11.1
Both sexes,1984,9.8 [6.8-13.4],Balkans,9.8
Male,1984,7.9 [4.3-12.6],Balkans,7.9
Female,1984,11.6 [7.1-17.0],Balkans,11.6
Both sexes,1985,10.4 [7.3-14.0],Balkans,10.4
Male,1985,8.4 [4.7-13.3],Balkans,8.4
Female,1985,12.2 [7.6-17.6],Balkans,12.2
Both sexes,1986,10.9 [7.7-14.5],Balkans,10.9
Male,1986,8.9 [5.1-13.9],Balkans,8.9
Female,1986,12.7 [8.0-18.1],Balkans,12.7
Both sexes,1987,11.3 [8.2-15.1],Balkans,11.3
Male,1987,9.4 [5.4-14.5],Balkans,9.4
Female,1987,13.2 [8.5-18.6],Balkans,13.2
Both sexes,1988,11.8 [8.5-15.5],Balkans,11.8
Male,1988,9.9 [5.8-15.0],Balkans,9.9
Female,1988,13.6 [8.8-19.1],Balkans,13.6
Both sexes,1989,12.2 [8.9-16.0],Balkans,12.2
