Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.4 [0.6-2.7],West Africa,1.4
Male,1975,0.5 [0.1-1.4],West Africa,0.5
Female,1975,2.5 [1.0-5.0],West Africa,2.5
Both sexes,1976,1.5 [0.7-2.8],West Africa,1.5
Male,1976,0.5 [0.1-1.4],West Africa,0.5
Female,1976,2.6 [1.1-5.2],West Africa,2.6
Both sexes,1977,1.6 [0.8-2.9],West Africa,1.6
Male,1977,0.6 [0.2-1.5],West Africa,0.6
Female,1977,2.8 [1.2-5.3],West Africa,2.8
Both sexes,1978,1.7 [0.9-3.0],West Africa,1.7
Male,1978,0.6 [0.2-1.6],West Africa,0.6
Female,1978,3.0 [1.3-5.5],West Africa,3.0
Both sexes,1979,1.8 [1.0-3.1],West Africa,1.8
Male,1979,0.7 [0.2-1.6],West Africa,0.7
Female,1979,3.2 [1.5-5.7],West Africa,3.2
Both sexes,1980,1.9 [1.0-3.2],West Africa,1.9
Male,1980,0.7 [0.2-1.7],West Africa,0.7
Female,1980,3.4 [1.6-5.9],West Africa,3.4
Both sexes,1981,2.0 [1.1-3.3],West Africa,2.0
Male,1981,0.8 [0.3-1.8],West Africa,0.8
Female,1981,3.5 [1.8-6.2],West Africa,3.5
Both sexes,1982,2.2 [1.2-3.4],West Africa,2.2
Male,1982,0.8 [0.3-1.9],West Africa,0.8
Female,1982,3.7 [1.9-6.4],West Africa,3.7
Both sexes,1983,2.3 [1.3-3.6],West Africa,2.3
Male,1983,0.9 [0.3-2.0],West Africa,0.9
Female,1983,3.9 [2.1-6.6],West Africa,3.9
Both sexes,1984,2.4 [1.4-3.7],West Africa,2.4
Male,1984,1.0 [0.4-2.0],West Africa,1.0
Female,1984,4.1 [2.2-6.8],West Africa,4.1
Both sexes,1985,2.5 [1.5-3.8],West Africa,2.5
Male,1985,1.0 [0.4-2.1],West Africa,1.0
Female,1985,4.3 [2.4-6.9],West Africa,4.3
Both sexes,1986,2.6 [1.6-3.9],West Africa,2.6
Male,1986,1.1 [0.4-2.2],West Africa,1.1
Female,1986,4.5 [2.6-7.1],West Africa,4.5
Both sexes,1987,2.8 [1.7-4.1],West Africa,2.8
Male,1987,1.1 [0.5-2.3],West Africa,1.1
Female,1987,4.7 [2.7-7.3],West Africa,4.7
Both sexes,1988,2.9 [1.8-4.2],West Africa,2.9
Male,1988,1.2 [0.5-2.4],West Africa,1.2
Female,1988,4.9 [2.9-7.6],West Africa,4.9
Both sexes,1989,3.0 [2.0-4.4],West Africa,3.0
Male,1989,1.3 [0.5-2.5],West Africa,1.3
Female,1989,5.1 [3.1-7.8],West Africa,5.1
Both sexes,1990,3.1 [2.1-4.5],West Africa,3.1
Male,1990,1.4 [0.6-2.6],West Africa,1.4
Female,1990,5.3 [3.3-8.1],West Africa,5.3
Both sexes,1991,3.3 [2.2-4.7],West Africa,3.3
Male,1991,1.4 [0.6-2.7],West Africa,1.4
Female,1991,5.6 [3.4-8.3],West Africa,5.6
Both sexes,1992,3.4 [2.3-4.8],West Africa,3.4
Male,1992,1.5 [0.7-2.9],West Africa,1.5
Female,1992,5.8 [3.6-8.6],West Africa,5.8
Both sexes,1993,3.6 [2.5-5.0],West Africa,3.6
Male,1993,1.6 [0.7-3.0],West Africa,1.6
Female,1993,6.0 [3.8-8.9],West Africa,6.0
Both sexes,1994,3.8 [2.6-5.2],West Africa,3.8
Male,1994,1.7 [0.8-3.1],West Africa,1.7
Female,1994,6.3 [4.1-9.2],West Africa,6.3
Both sexes,1995,3.9 [2.8-5.4],West Africa,3.9
Male,1995,1.8 [0.8-3.3],West Africa,1.8
Female,1995,6.6 [4.3-9.5],West Africa,6.6
Both sexes,1996,4.1 [2.9-5.6],West Africa,4.1
Male,1996,1.9 [0.9-3.4],West Africa,1.9
Female,1996,6.9 [4.5-9.8],West Africa,6.9
Both sexes,1997,4.3 [3.1-5.9],West Africa,4.3
Male,1997,2.0 [1.0-3.6],West Africa,2.0
Female,1997,7.1 [4.8-10.2],West Africa,7.1
Both sexes,1998,4.5 [3.2-6.1],West Africa,4.5
Male,1998,2.1 [1.0-3.7],West Africa,2.1
Female,1998,7.5 [5.0-10.5],West Africa,7.5
Both sexes,1999,4.7 [3.4-6.4],West Africa,4.7
Male,1999,2.2 [1.1-3.9],West Africa,2.2
Female,1999,7.8 [5.3-10.9],West Africa,7.8
Both sexes,2000,5.0 [3.6-6.6],West Africa,5.0
Male,2000,2.4 [1.2-4.1],West Africa,2.4
Female,2000,8.1 [5.5-11.3],West Africa,8.1
Both sexes,2001,5.2 [3.8-6.9],West Africa,5.2
Male,2001,2.5 [1.3-4.3],West Africa,2.5
Female,2001,8.5 [5.8-11.7],West Africa,8.5
Both sexes,2002,5.5 [4.0-7.2],West Africa,5.5
Male,2002,2.7 [1.4-4.5],West Africa,2.7
Female,2002,8.8 [6.1-12.1],West Africa,8.8
Both sexes,2003,5.7 [4.3-7.5],West Africa,5.7
Male,2003,2.8 [1.5-4.7],West Africa,2.8
Female,2003,9.2 [6.4-12.5],West Africa,9.2
Both sexes,2004,6.0 [4.5-7.8],West Africa,6.0
Male,2004,3.0 [1.6-4.9],West Africa,3.0
Female,2004,9.6 [6.7-13.1],West Africa,9.6
Both sexes,2005,6.3 [4.7-8.2],West Africa,6.3
Male,2005,3.2 [1.7-5.2],West Africa,3.2
Female,2005,10.0 [7.1-13.5],West Africa,10.0
Both sexes,2006,6.6 [5.0-8.5],West Africa,6.6
Male,2006,3.3 [1.9-5.5],West Africa,3.3
Female,2006,10.4 [7.4-14.0],West Africa,10.4
Both sexes,2007,6.9 [5.2-8.9],West Africa,6.9
Male,2007,3.5 [2.0-5.8],West Africa,3.5
Female,2007,10.8 [7.7-14.6],West Africa,10.8
Both sexes,2008,7.2 [5.5-9.3],West Africa,7.2
Male,2008,3.7 [2.1-6.1],West Africa,3.7
Female,2008,11.3 [8.1-15.1],West Africa,11.3
Both sexes,2009,7.6 [5.7-9.7],West Africa,7.6
Male,2009,4.0 [2.3-6.4],West Africa,4.0
Female,2009,11.7 [8.4-15.7],West Africa,11.7
Both sexes,2010,7.9 [6.0-10.1],West Africa,7.9
Male,2010,4.2 [2.4-6.8],West Africa,4.2
Female,2010,12.2 [8.7-16.3],West Africa,12.2
Both sexes,2011,8.3 [6.3-10.6],West Africa,8.3
Male,2011,4.4 [2.5-7.1],West Africa,4.4
Female,2011,12.7 [9.0-16.9],West Africa,12.7
Both sexes,2012,8.7 [6.5-11.1],West Africa,8.7
Male,2012,4.7 [2.7-7.5],West Africa,4.7
Female,2012,13.2 [9.4-17.6],West Africa,13.2
Both sexes,2013,9.0 [6.8-11.7],West Africa,9.0
Male,2013,4.9 [2.8-8.0],West Africa,4.9
Female,2013,13.7 [9.7-18.3],West Africa,13.7
Both sexes,2014,9.4 [7.0-12.2],West Africa,9.4
Male,2014,5.2 [2.9-8.5],West Africa,5.2
Female,2014,14.2 [9.9-19.0],West Africa,14.2
Both sexes,2015,9.8 [7.3-12.8],West Africa,9.8
Male,2015,5.5 [3.0-9.1],West Africa,5.5
Female,2015,14.7 [10.2-19.7],West Africa,14.7
Both sexes,2016,10.3 [7.6-13.4],West Africa,10.3
Male,2016,5.8 [3.1-9.7],West Africa,5.8
Female,2016,15.2 [10.5-20.6],West Africa,15.2
