Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.8 [0.8-3.5],East Asia,1.8
Male,1975,0.8 [0.2-2.1],East Asia,0.8
Female,1975,2.4 [0.8-5.3],East Asia,2.4
Both sexes,1976,1.8 [0.8-3.6],East Asia,1.8
Male,1976,0.9 [0.2-2.2],East Asia,0.9
Female,1976,2.5 [0.9-5.4],East Asia,2.5
Both sexes,1977,1.9 [0.9-3.7],East Asia,1.9
Male,1977,0.9 [0.3-2.3],East Asia,0.9
Female,1977,2.6 [1.0-5.5],East Asia,2.6
Both sexes,1978,2.0 [0.9-3.7],East Asia,2.0
Male,1978,1.0 [0.3-2.3],East Asia,1.0
Female,1978,2.7 [1.0-5.5],East Asia,2.7
Both sexes,1979,2.1 [1.0-3.8],East Asia,2.1
Male,1979,1.0 [0.3-2.4],East Asia,1.0
Female,1979,2.8 [1.1-5.6],East Asia,2.8
Both sexes,1980,2.1 [1.0-3.9],East Asia,2.1
Male,1980,1.1 [0.3-2.5],East Asia,1.1
Female,1980,2.8 [1.1-5.7],East Asia,2.8
Both sexes,1981,2.2 [1.1-3.9],East Asia,2.2
Male,1981,1.1 [0.4-2.6],East Asia,1.1
Female,1981,2.9 [1.2-5.8],East Asia,2.9
Both sexes,1982,2.3 [1.1-4.0],East Asia,2.3
Male,1982,1.2 [0.4-2.6],East Asia,1.2
Female,1982,3.0 [1.2-5.8],East Asia,3.0
Both sexes,1983,2.3 [1.2-4.1],East Asia,2.3
Male,1983,1.3 [0.4-2.7],East Asia,1.3
Female,1983,3.1 [1.3-5.9],East Asia,3.1
Both sexes,1984,2.4 [1.3-4.2],East Asia,2.4
Male,1984,1.3 [0.5-2.9],East Asia,1.3
Female,1984,3.2 [1.4-6.0],East Asia,3.2
Both sexes,1985,2.5 [1.3-4.2],East Asia,2.5
Male,1985,1.4 [0.5-3.0],East Asia,1.4
Female,1985,3.3 [1.4-6.1],East Asia,3.3
Both sexes,1986,2.6 [1.4-4.3],East Asia,2.6
Male,1986,1.5 [0.5-3.1],East Asia,1.5
Female,1986,3.3 [1.5-6.2],East Asia,3.3
Both sexes,1987,2.7 [1.4-4.4],East Asia,2.7
Male,1987,1.6 [0.6-3.2],East Asia,1.6
Female,1987,3.4 [1.6-6.3],East Asia,3.4
Both sexes,1988,2.7 [1.5-4.5],East Asia,2.7
Male,1988,1.6 [0.6-3.3],East Asia,1.6
Female,1988,3.5 [1.6-6.4],East Asia,3.5
