Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.9 [0.3-1.9],Central Africa,0.9
Male,1975,0.3 [0.1-0.9],Central Africa,0.3
Female,1975,1.4 [0.4-3.2],Central Africa,1.4
Both sexes,1976,0.9 [0.3-2.0],Central Africa,0.9
Male,1976,0.3 [0.1-0.9],Central Africa,0.3
Female,1976,1.4 [0.5-3.2],Central Africa,1.4
Both sexes,1977,1.0 [0.4-2.0],Central Africa,1.0
Male,1977,0.3 [0.1-1.0],Central Africa,0.3
Female,1977,1.5 [0.5-3.3],Central Africa,1.5
Both sexes,1978,1.0 [0.4-2.0],Central Africa,1.0
Male,1978,0.4 [0.1-1.0],Central Africa,0.4
Female,1978,1.6 [0.5-3.3],Central Africa,1.6
Both sexes,1979,1.1 [0.5-2.1],Central Africa,1.1
Male,1979,0.4 [0.1-1.0],Central Africa,0.4
Female,1979,1.6 [0.6-3.4],Central Africa,1.6
Both sexes,1980,1.1 [0.5-2.1],Central Africa,1.1
Male,1980,0.4 [0.1-1.1],Central Africa,0.4
Female,1980,1.7 [0.7-3.5],Central Africa,1.7
Both sexes,1981,1.2 [0.5-2.2],Central Africa,1.2
Male,1981,0.4 [0.1-1.1],Central Africa,0.4
Female,1981,1.8 [0.7-3.6],Central Africa,1.8
Both sexes,1982,1.2 [0.6-2.3],Central Africa,1.2
Male,1982,0.4 [0.1-1.2],Central Africa,0.4
Female,1982,1.9 [0.8-3.7],Central Africa,1.9
Both sexes,1983,1.3 [0.6-2.3],Central Africa,1.3
Male,1983,0.5 [0.1-1.2],Central Africa,0.5
Female,1983,2.0 [0.8-3.8],Central Africa,2.0
Both sexes,1984,1.4 [0.7-2.4],Central Africa,1.4
Male,1984,0.5 [0.1-1.3],Central Africa,0.5
Female,1984,2.1 [0.9-4.0],Central Africa,2.1
Both sexes,1985,1.4 [0.7-2.5],Central Africa,1.4
Male,1985,0.5 [0.2-1.3],Central Africa,0.5
Female,1985,2.2 [1.0-4.1],Central Africa,2.2
Both sexes,1986,1.5 [0.8-2.6],Central Africa,1.5
Male,1986,0.6 [0.2-1.4],Central Africa,0.6
Female,1986,2.3 [1.0-4.3],Central Africa,2.3
Both sexes,1987,1.6 [0.8-2.7],Central Africa,1.6
Male,1987,0.6 [0.2-1.4],Central Africa,0.6
Female,1987,2.4 [1.1-4.4],Central Africa,2.4
Both sexes,1988,1.7 [0.9-2.8],Central Africa,1.7
Male,1988,0.6 [0.2-1.5],Central Africa,0.6
Female,1988,2.5 [1.2-4.6],Central Africa,2.5
Both sexes,1989,1.8 [0.9-2.9],Central Africa,1.8
Male,1989,0.7 [0.2-1.6],Central Africa,0.7
Female,1989,2.7 [1.3-4.8],Central Africa,2.7
Both sexes,1990,1.8 [1.0-3.0],Central Africa,1.8
Male,1990,0.7 [0.2-1.7],Central Africa,0.7
Female,1990,2.8 [1.4-5.0],Central Africa,2.8
Both sexes,1991,1.9 [1.1-3.2],Central Africa,1.9
Male,1991,0.8 [0.3-1.8],Central Africa,0.8
Female,1991,3.0 [1.5-5.1],Central Africa,3.0
Both sexes,1992,2.0 [1.1-3.3],Central Africa,2.0
Male,1992,0.8 [0.3-1.9],Central Africa,0.8
Female,1992,3.1 [1.6-5.4],Central Africa,3.1
Both sexes,1993,2.2 [1.2-3.4],Central Africa,2.2
Male,1993,0.9 [0.3-2.0],Central Africa,0.9
Female,1993,3.3 [1.7-5.6],Central Africa,3.3
Both sexes,1994,2.3 [1.3-3.6],Central Africa,2.3
Male,1994,0.9 [0.3-2.1],Central Africa,0.9
Female,1994,3.4 [1.8-5.8],Central Africa,3.4
Both sexes,1995,2.4 [1.4-3.8],Central Africa,2.4
Male,1995,1.0 [0.4-2.2],Central Africa,1.0
Female,1995,3.6 [1.9-6.0],Central Africa,3.6
Both sexes,1996,2.5 [1.5-3.9],Central Africa,2.5
Male,1996,1.1 [0.4-2.3],Central Africa,1.1
Female,1996,3.8 [2.0-6.2],Central Africa,3.8
Both sexes,1997,2.7 [1.6-4.1],Central Africa,2.7
Male,1997,1.1 [0.4-2.4],Central Africa,1.1
Female,1997,4.0 [2.2-6.5],Central Africa,4.0
Both sexes,1998,2.8 [1.7-4.3],Central Africa,2.8
Male,1998,1.2 [0.5-2.5],Central Africa,1.2
Female,1998,4.2 [2.3-6.8],Central Africa,4.2
Both sexes,1999,2.9 [1.8-4.4],Central Africa,2.9
Male,1999,1.3 [0.5-2.7],Central Africa,1.3
Female,1999,4.4 [2.5-7.0],Central Africa,4.4
Both sexes,2000,3.1 [1.9-4.6],Central Africa,3.1
Male,2000,1.4 [0.5-2.8],Central Africa,1.4
Female,2000,4.6 [2.6-7.4],Central Africa,4.6
Both sexes,2001,3.3 [2.0-4.9],Central Africa,3.3
Male,2001,1.5 [0.6-2.9],Central Africa,1.5
Female,2001,4.9 [2.8-7.7],Central Africa,4.9
Both sexes,2002,3.4 [2.2-5.1],Central Africa,3.4
Male,2002,1.5 [0.6-3.1],Central Africa,1.5
Female,2002,5.1 [3.0-8.0],Central Africa,5.1
Both sexes,2003,3.6 [2.3-5.3],Central Africa,3.6
Male,2003,1.6 [0.7-3.3],Central Africa,1.6
Female,2003,5.4 [3.2-8.3],Central Africa,5.4
Both sexes,2004,3.8 [2.4-5.5],Central Africa,3.8
Male,2004,1.7 [0.7-3.4],Central Africa,1.7
Female,2004,5.6 [3.3-8.6],Central Africa,5.6
Both sexes,2005,4.0 [2.6-5.8],Central Africa,4.0
Male,2005,1.9 [0.8-3.6],Central Africa,1.9
Female,2005,5.9 [3.5-9.0],Central Africa,5.9
Both sexes,2006,4.2 [2.7-6.0],Central Africa,4.2
Male,2006,2.0 [0.8-3.8],Central Africa,2.0
Female,2006,6.2 [3.7-9.3],Central Africa,6.2
Both sexes,2007,4.4 [2.9-6.3],Central Africa,4.4
Male,2007,2.1 [0.9-4.0],Central Africa,2.1
Female,2007,6.5 [4.0-9.8],Central Africa,6.5
Both sexes,2008,4.6 [3.0-6.6],Central Africa,4.6
Male,2008,2.2 [1.0-4.2],Central Africa,2.2
Female,2008,6.8 [4.2-10.2],Central Africa,6.8
Both sexes,2009,4.8 [3.2-6.9],Central Africa,4.8
Male,2009,2.4 [1.0-4.4],Central Africa,2.4
Female,2009,7.1 [4.4-10.7],Central Africa,7.1
Both sexes,2010,5.1 [3.4-7.2],Central Africa,5.1
Male,2010,2.5 [1.1-4.7],Central Africa,2.5
Female,2010,7.4 [4.6-11.1],Central Africa,7.4
Both sexes,2011,5.3 [3.5-7.6],Central Africa,5.3
Male,2011,2.7 [1.2-5.0],Central Africa,2.7
Female,2011,7.8 [4.8-11.6],Central Africa,7.8
Both sexes,2012,5.6 [3.7-8.0],Central Africa,5.6
Male,2012,2.8 [1.2-5.3],Central Africa,2.8
Female,2012,8.1 [5.1-12.2],Central Africa,8.1
Both sexes,2013,5.9 [3.9-8.4],Central Africa,5.9
Male,2013,3.0 [1.3-5.6],Central Africa,3.0
Female,2013,8.5 [5.2-12.7],Central Africa,8.5
Both sexes,2014,6.1 [4.1-8.8],Central Africa,6.1
Male,2014,3.2 [1.3-6.0],Central Africa,3.2
Female,2014,8.9 [5.5-13.3],Central Africa,8.9
Both sexes,2015,6.4 [4.2-9.2],Central Africa,6.4
Male,2015,3.4 [1.4-6.4],Central Africa,3.4
Female,2015,9.3 [5.7-13.9],Central Africa,9.3
Both sexes,2016,6.7 [4.4-9.7],Central Africa,6.7
Male,2016,3.6 [1.5-6.8],Central Africa,3.6
Female,2016,9.7 [5.9-14.5],Central Africa,9.7
