Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.2 [5.1-9.7],Northern Europe,7.2
Male,1975,6.3 [3.9-9.3],Northern Europe,6.3
Female,1975,7.9 [4.8-12.1],Northern Europe,7.9
Both sexes,1976,7.4 [5.4-9.9],Northern Europe,7.4
Male,1976,6.5 [4.1-9.6],Northern Europe,6.5
Female,1976,8.1 [5.0-12.2],Northern Europe,8.1
Both sexes,1977,7.6 [5.6-10.0],Northern Europe,7.6
Male,1977,6.8 [4.4-9.8],Northern Europe,6.8
Female,1977,8.3 [5.2-12.3],Northern Europe,8.3
Both sexes,1978,7.9 [5.9-10.2],Northern Europe,7.9
Male,1978,7.1 [4.7-10.0],Northern Europe,7.1
Female,1978,8.5 [5.4-12.4],Northern Europe,8.5
Both sexes,1979,8.1 [6.1-10.4],Northern Europe,8.1
Male,1979,7.4 [5.0-10.3],Northern Europe,7.4
Female,1979,8.7 [5.7-12.6],Northern Europe,8.7
Both sexes,1980,8.4 [6.4-10.7],Northern Europe,8.4
Male,1980,7.7 [5.3-10.6],Northern Europe,7.7
Female,1980,9.0 [5.9-12.7],Northern Europe,9.0
Both sexes,1981,8.6 [6.6-10.9],Northern Europe,8.6
Male,1981,8.0 [5.5-10.9],Northern Europe,8.0
Female,1981,9.2 [6.1-12.9],Northern Europe,9.2
Both sexes,1982,8.9 [6.9-11.1],Northern Europe,8.9
Male,1982,8.3 [5.8-11.2],Northern Europe,8.3
Female,1982,9.3 [6.3-13.0],Northern Europe,9.3
Both sexes,1983,9.1 [7.1-11.4],Northern Europe,9.1
Male,1983,8.6 [6.1-11.5],Northern Europe,8.6
Female,1983,9.5 [6.5-13.1],Northern Europe,9.5
Both sexes,1984,9.4 [7.3-11.6],Northern Europe,9.4
Male,1984,8.9 [6.4-11.8],Northern Europe,8.9
Female,1984,9.7 [6.7-13.3],Northern Europe,9.7
Both sexes,1985,9.6 [7.6-11.9],Northern Europe,9.6
Male,1985,9.2 [6.7-12.2],Northern Europe,9.2
Female,1985,9.9 [6.9-13.5],Northern Europe,9.9
Both sexes,1986,9.9 [7.8-12.2],Northern Europe,9.9
Male,1986,9.6 [7.0-12.6],Northern Europe,9.6
Female,1986,10.1 [7.1-13.7],Northern Europe,10.1
Both sexes,1987,10.2 [8.1-12.5],Northern Europe,10.2
Male,1987,9.9 [7.2-12.9],Northern Europe,9.9
Female,1987,10.3 [7.3-13.8],Northern Europe,10.3
Both sexes,1988,10.4 [8.3-12.8],Northern Europe,10.4
Male,1988,10.2 [7.5-13.3],Northern Europe,10.2
Female,1988,10.6 [7.6-14.0],Northern Europe,10.6
Both sexes,1989,10.7 [8.6-13.1],Northern Europe,10.7
Male,1989,10.6 [7.8-13.7],Northern Europe,10.6
Female,1989,10.8 [7.7-14.3],Northern Europe,10.8
Both sexes,1990,11.0 [8.9-13.4],Northern Europe,11.0
Male,1990,10.9 [8.1-14.1],Northern Europe,10.9
Female,1990,11.0 [7.9-14.5],Northern Europe,11.0
Both sexes,1991,11.3 [9.1-13.7],Northern Europe,11.3
Male,1991,11.3 [8.4-14.5],Northern Europe,11.3
Female,1991,11.2 [8.1-14.8],Northern Europe,11.2
Both sexes,1992,11.6 [9.4-14.0],Northern Europe,11.6
Male,1992,11.6 [8.7-14.9],Northern Europe,11.6
Female,1992,11.4 [8.3-15.0],Northern Europe,11.4
Both sexes,1993,11.9 [9.7-14.3],Northern Europe,11.9
Male,1993,12.0 [9.0-15.3],Northern Europe,12.0
Female,1993,11.6 [8.5-15.3],Northern Europe,11.6
Both sexes,1994,12.2 [9.9-14.6],Northern Europe,12.2
Male,1994,12.4 [9.3-15.7],Northern Europe,12.4
Female,1994,11.9 [8.7-15.5],Northern Europe,11.9
Both sexes,1995,12.5 [10.2-14.9],Northern Europe,12.5
Male,1995,12.8 [9.7-16.1],Northern Europe,12.8
Female,1995,12.1 [8.9-15.7],Northern Europe,12.1
Both sexes,1996,12.8 [10.5-15.3],Northern Europe,12.8
Male,1996,13.2 [10.0-16.6],Northern Europe,13.2
Female,1996,12.3 [9.1-16.0],Northern Europe,12.3
Both sexes,1997,13.1 [10.8-15.6],Northern Europe,13.1
Male,1997,13.6 [10.4-17.0],Northern Europe,13.6
Female,1997,12.5 [9.3-16.2],Northern Europe,12.5
Both sexes,1998,13.4 [11.1-15.9],Northern Europe,13.4
Male,1998,14.0 [10.7-17.5],Northern Europe,14.0
Female,1998,12.8 [9.5-16.4],Northern Europe,12.8
Both sexes,1999,13.7 [11.4-16.2],Northern Europe,13.7
Male,1999,14.4 [11.1-17.9],Northern Europe,14.4
Female,1999,13.0 [9.7-16.6],Northern Europe,13.0
Both sexes,2000,14.0 [11.8-16.5],Northern Europe,14.0
Male,2000,14.8 [11.5-18.3],Northern Europe,14.8
Female,2000,13.2 [9.9-16.8],Northern Europe,13.2
Both sexes,2001,14.4 [12.1-16.8],Northern Europe,14.4
Male,2001,15.2 [11.9-18.7],Northern Europe,15.2
Female,2001,13.4 [10.1-17.1],Northern Europe,13.4
Both sexes,2002,14.7 [12.4-17.2],Northern Europe,14.7
Male,2002,15.6 [12.3-19.2],Northern Europe,15.6
Female,2002,13.7 [10.3-17.4],Northern Europe,13.7
Both sexes,2003,15.0 [12.7-17.5],Northern Europe,15.0
Male,2003,16.1 [12.7-19.6],Northern Europe,16.1
Female,2003,13.9 [10.5-17.6],Northern Europe,13.9
Both sexes,2004,15.3 [13.0-17.9],Northern Europe,15.3
Male,2004,16.5 [13.2-20.0],Northern Europe,16.5
Female,2004,14.1 [10.7-17.8],Northern Europe,14.1
Both sexes,2005,15.7 [13.3-18.2],Northern Europe,15.7
Male,2005,16.9 [13.6-20.5],Northern Europe,16.9
Female,2005,14.3 [10.9-18.0],Northern Europe,14.3
Both sexes,2006,16.0 [13.7-18.6],Northern Europe,16.0
Male,2006,17.4 [14.0-21.0],Northern Europe,17.4
Female,2006,14.6 [11.1-18.2],Northern Europe,14.6
Both sexes,2007,16.4 [14.0-18.9],Northern Europe,16.4
Male,2007,17.9 [14.5-21.5],Northern Europe,17.9
Female,2007,14.8 [11.3-18.5],Northern Europe,14.8
Both sexes,2008,16.7 [14.3-19.3],Northern Europe,16.7
Male,2008,18.3 [14.9-21.9],Northern Europe,18.3
Female,2008,15.0 [11.4-18.8],Northern Europe,15.0
Both sexes,2009,17.1 [14.5-19.7],Northern Europe,17.1
Male,2009,18.8 [15.3-22.5],Northern Europe,18.8
Female,2009,15.3 [11.6-19.2],Northern Europe,15.3
Both sexes,2010,17.4 [14.8-20.2],Northern Europe,17.4
Male,2010,19.3 [15.7-23.1],Northern Europe,19.3
Female,2010,15.5 [11.7-19.5],Northern Europe,15.5
Both sexes,2011,17.8 [15.1-20.6],Northern Europe,17.8
Male,2011,19.8 [16.1-23.7],Northern Europe,19.8
Female,2011,15.7 [11.9-19.9],Northern Europe,15.7
Both sexes,2012,18.1 [15.3-21.0],Northern Europe,18.1
Male,2012,20.2 [16.4-24.3],Northern Europe,20.2
Female,2012,16.0 [12.0-20.3],Northern Europe,16.0
Both sexes,2013,18.5 [15.6-21.6],Northern Europe,18.5
Male,2013,20.8 [16.7-25.0],Northern Europe,20.8
Female,2013,16.2 [12.1-20.7],Northern Europe,16.2
Both sexes,2014,18.9 [15.8-22.1],Northern Europe,18.9
Male,2014,21.3 [16.9-25.8],Northern Europe,21.3
Female,2014,16.5 [12.2-21.2],Northern Europe,16.5
Both sexes,2015,19.3 [16.1-22.7],Northern Europe,19.3
Male,2015,21.8 [17.3-26.6],Northern Europe,21.8
Female,2015,16.7 [12.3-21.6],Northern Europe,16.7
Both sexes,2016,19.7 [16.2-23.3],Northern Europe,19.7
Male,2016,22.3 [17.5-27.5],Northern Europe,22.3
Female,2016,17.0 [12.2-22.1],Northern Europe,17.0
