Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.6 [3.7-10.4],Caribbean,6.6
Male,1975,2.6 [0.9-5.7],Caribbean,2.6
Female,1975,10.3 [5.3-17.3],Caribbean,10.3
Both sexes,1976,6.9 [4.0-10.7],Caribbean,6.9
Male,1976,2.8 [1.0-5.9],Caribbean,2.8
Female,1976,10.8 [5.7-17.6],Caribbean,10.8
Both sexes,1977,7.2 [4.3-11.0],Caribbean,7.2
Male,1977,3.0 [1.1-6.1],Caribbean,3.0
Female,1977,11.3 [6.1-18.0],Caribbean,11.3
Both sexes,1978,7.5 [4.6-11.4],Caribbean,7.5
Male,1978,3.2 [1.2-6.4],Caribbean,3.2
Female,1978,11.8 [6.6-18.5],Caribbean,11.8
Both sexes,1979,7.9 [4.9-11.6],Caribbean,7.9
Male,1979,3.4 [1.4-6.6],Caribbean,3.4
Female,1979,12.3 [7.1-19.0],Caribbean,12.3
Both sexes,1980,8.3 [5.3-12.0],Caribbean,8.3
Male,1980,3.6 [1.5-6.9],Caribbean,3.6
Female,1980,12.8 [7.6-19.5],Caribbean,12.8
Both sexes,1981,8.7 [5.6-12.4],Caribbean,8.7
Male,1981,3.8 [1.7-7.2],Caribbean,3.8
Female,1981,13.4 [8.1-20.1],Caribbean,13.4
Both sexes,1982,9.2 [6.1-12.9],Caribbean,9.2
Male,1982,4.1 [1.8-7.6],Caribbean,4.1
Female,1982,14.0 [8.7-20.8],Caribbean,14.0
Both sexes,1983,9.6 [6.5-13.4],Caribbean,9.6
Male,1983,4.4 [2.0-7.9],Caribbean,4.4
Female,1983,14.7 [9.3-21.4],Caribbean,14.7
Both sexes,1984,10.2 [6.9-13.9],Caribbean,10.2
Male,1984,4.7 [2.2-8.4],Caribbean,4.7
Female,1984,15.4 [10.0-22.1],Caribbean,15.4
Both sexes,1985,10.7 [7.4-14.5],Caribbean,10.7
Male,1985,5.1 [2.5-8.8],Caribbean,5.1
Female,1985,16.2 [10.6-22.9],Caribbean,16.2
Both sexes,1986,11.3 [8.0-15.1],Caribbean,11.3
Male,1986,5.5 [2.7-9.3],Caribbean,5.5
Female,1986,16.9 [11.3-23.7],Caribbean,16.9
Both sexes,1987,11.9 [8.6-15.8],Caribbean,11.9
Male,1987,5.9 [3.0-9.9],Caribbean,5.9
Female,1987,17.8 [12.0-24.6],Caribbean,17.8
Both sexes,1988,12.6 [9.1-16.6],Caribbean,12.6
Male,1988,6.3 [3.3-10.5],Caribbean,6.3
Female,1988,18.6 [12.8-25.5],Caribbean,18.6
Both sexes,1989,13.3 [9.7-17.3],Caribbean,13.3
Male,1989,6.8 [3.6-11.1],Caribbean,6.8
Female,1989,19.5 [13.5-26.5],Caribbean,19.5
Both sexes,1990,14.0 [10.4-18.1],Caribbean,14.0
Male,1990,7.3 [4.0-11.7],Caribbean,7.3
Female,1990,20.4 [14.3-27.4],Caribbean,20.4
Both sexes,1991,14.6 [11.0-18.8],Caribbean,14.6
Male,1991,7.8 [4.3-12.4],Caribbean,7.8
Female,1991,21.2 [15.1-28.3],Caribbean,21.2
Both sexes,1992,15.3 [11.5-19.4],Caribbean,15.3
Male,1992,8.3 [4.6-13.0],Caribbean,8.3
Female,1992,22.0 [15.8-29.1],Caribbean,22.0
Both sexes,1993,15.9 [12.1-20.1],Caribbean,15.9
Male,1993,8.7 [5.0-13.6],Caribbean,8.7
Female,1993,22.7 [16.4-29.8],Caribbean,22.7
Both sexes,1994,16.4 [12.6-20.7],Caribbean,16.4
Male,1994,9.2 [5.3-14.2],Caribbean,9.2
Female,1994,23.4 [17.0-30.6],Caribbean,23.4
Both sexes,1995,17.0 [13.1-21.3],Caribbean,17.0
Male,1995,9.6 [5.6-14.7],Caribbean,9.6
Female,1995,24.0 [17.6-31.1],Caribbean,24.0
Both sexes,1996,17.5 [13.6-21.9],Caribbean,17.5
