Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.8 [3.4-8.9],Caribbean,5.8
Male,1975,2.5 [0.9-5.3],Caribbean,2.5
Female,1975,9.3 [5.0-15.2],Caribbean,9.3
Both sexes,1976,6.1 [3.7-9.1],Caribbean,6.1
Male,1976,2.7 [1.1-5.4],Caribbean,2.7
Female,1976,9.8 [5.4-15.7],Caribbean,9.8
Both sexes,1977,6.4 [4.0-9.5],Caribbean,6.4
Male,1977,2.9 [1.2-5.6],Caribbean,2.9
Female,1977,10.3 [5.9-16.0],Caribbean,10.3
Both sexes,1978,6.8 [4.3-9.8],Caribbean,6.8
Male,1978,3.1 [1.4-5.8],Caribbean,3.1
Female,1978,10.8 [6.3-16.5],Caribbean,10.8
Both sexes,1979,7.2 [4.7-10.2],Caribbean,7.2
Male,1979,3.3 [1.5-6.1],Caribbean,3.3
Female,1979,11.3 [6.8-16.9],Caribbean,11.3
Both sexes,1980,7.6 [5.1-10.5],Caribbean,7.6
Male,1980,3.6 [1.7-6.4],Caribbean,3.6
Female,1980,11.8 [7.4-17.4],Caribbean,11.8
Both sexes,1981,8.0 [5.4-10.9],Caribbean,8.0
Male,1981,3.8 [1.9-6.7],Caribbean,3.8
Female,1981,12.4 [7.9-17.8],Caribbean,12.4
Both sexes,1982,8.3 [5.8-11.3],Caribbean,8.3
Male,1982,4.1 [2.1-7.0],Caribbean,4.1
Female,1982,12.9 [8.4-18.3],Caribbean,12.9
Both sexes,1983,8.7 [6.2-11.6],Caribbean,8.7
Male,1983,4.3 [2.2-7.3],Caribbean,4.3
Female,1983,13.4 [8.9-18.8],Caribbean,13.4
Both sexes,1984,9.1 [6.5-12.0],Caribbean,9.1
Male,1984,4.6 [2.4-7.6],Caribbean,4.6
Female,1984,13.9 [9.4-19.2],Caribbean,13.9
Both sexes,1985,9.5 [6.9-12.4],Caribbean,9.5
Male,1985,4.9 [2.6-7.9],Caribbean,4.9
Female,1985,14.4 [9.9-19.7],Caribbean,14.4
Both sexes,1986,9.9 [7.2-12.8],Caribbean,9.9
Male,1986,5.1 [2.8-8.2],Caribbean,5.1
Female,1986,14.9 [10.4-20.1],Caribbean,14.9
Both sexes,1987,10.2 [7.6-13.2],Caribbean,10.2
Male,1987,5.4 [3.0-8.5],Caribbean,5.4
Female,1987,15.4 [10.9-20.5],Caribbean,15.4
Both sexes,1988,10.6 [7.9-13.5],Caribbean,10.6
Male,1988,5.6 [3.2-8.8],Caribbean,5.6
Female,1988,15.8 [11.3-20.9],Caribbean,15.8
Both sexes,1989,11.0 [8.3-13.9],Caribbean,11.0
Male,1989,5.9 [3.4-9.2],Caribbean,5.9
Female,1989,16.3 [11.7-21.3],Caribbean,16.3
Both sexes,1990,11.3 [8.6-14.3],Caribbean,11.3
Male,1990,6.2 [3.6-9.5],Caribbean,6.2
Female,1990,16.7 [12.1-21.8],Caribbean,16.7
Both sexes,1991,11.7 [9.0-14.7],Caribbean,11.7
Male,1991,6.5 [3.8-9.9],Caribbean,6.5
Female,1991,17.2 [12.6-22.3],Caribbean,17.2
Both sexes,1992,12.1 [9.4-15.2],Caribbean,12.1
Male,1992,6.8 [4.0-10.2],Caribbean,6.8
Female,1992,17.7 [13.0-22.7],Caribbean,17.7
Both sexes,1993,12.5 [9.8-15.6],Caribbean,12.5
Male,1993,7.1 [4.2-10.6],Caribbean,7.1
Female,1993,18.2 [13.5-23.2],Caribbean,18.2
Both sexes,1994,13.0 [10.2-16.0],Caribbean,13.0
Male,1994,7.4 [4.5-11.0],Caribbean,7.4
Female,1994,18.7 [14.0-23.7],Caribbean,18.7
Both sexes,1995,13.4 [10.6-16.5],Caribbean,13.4
Male,1995,7.8 [4.7-11.4],Caribbean,7.8
Female,1995,19.2 [14.5-24.3],Caribbean,19.2
Both sexes,1996,13.9 [11.0-17.0],Caribbean,13.9
Male,1996,8.1 [5.0-11.9],Caribbean,8.1
Female,1996,19.8 [15.0-24.8],Caribbean,19.8
Both sexes,1997,14.4 [11.5-17.6],Caribbean,14.4
Male,1997,8.5 [5.4-12.4],Caribbean,8.5
Female,1997,20.3 [15.6-25.5],Caribbean,20.3
Both sexes,1998,14.9 [12.0-18.1],Caribbean,14.9
