Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.0 [2.5-8.6],South America,5.0
Male,1975,2.4 [0.7-5.5],South America,2.4
Female,1975,7.5 [3.1-14.1],South America,7.5
Both sexes,1976,5.2 [2.7-8.8],South America,5.2
Male,1976,2.5 [0.8-5.6],South America,2.5
Female,1976,7.8 [3.4-14.3],South America,7.8
Both sexes,1977,5.4 [2.9-8.9],South America,5.4
Male,1977,2.7 [0.9-5.8],South America,2.7
Female,1977,8.1 [3.6-14.4],South America,8.1
Both sexes,1978,5.7 [3.1-9.1],South America,5.7
Male,1978,2.8 [1.0-6.0],South America,2.8
Female,1978,8.4 [3.9-14.7],South America,8.4
Both sexes,1979,5.9 [3.4-9.3],South America,5.9
Male,1979,3.0 [1.1-6.2],South America,3.0
Female,1979,8.8 [4.2-15.1],South America,8.8
Both sexes,1980,6.2 [3.6-9.6],South America,6.2
Male,1980,3.2 [1.2-6.5],South America,3.2
Female,1980,9.1 [4.5-15.4],South America,9.1
Both sexes,1981,6.5 [3.8-9.9],South America,6.5
Male,1981,3.4 [1.4-6.7],South America,3.4
Female,1981,9.5 [4.9-15.7],South America,9.5
Both sexes,1982,6.8 [4.1-10.2],South America,6.8
Male,1982,3.6 [1.5-7.0],South America,3.6
Female,1982,9.9 [5.2-16.1],South America,9.9
Both sexes,1983,7.1 [4.4-10.5],South America,7.1
Male,1983,3.8 [1.6-7.3],South America,3.8
Female,1983,10.2 [5.6-16.4],South America,10.2
Both sexes,1984,7.4 [4.7-10.8],South America,7.4
Male,1984,4.0 [1.8-7.6],South America,4.0
Female,1984,10.6 [5.9-16.7],South America,10.6
Both sexes,1985,7.7 [5.0-11.2],South America,7.7
Male,1985,4.3 [1.9-7.9],South America,4.3
Female,1985,11.1 [6.2-17.1],South America,11.1
Both sexes,1986,8.1 [5.2-11.5],South America,8.1
Male,1986,4.5 [2.0-8.3],South America,4.5
Female,1986,11.5 [6.6-17.5],South America,11.5
Both sexes,1987,8.4 [5.5-11.9],South America,8.4
Male,1987,4.8 [2.2-8.7],South America,4.8
Female,1987,11.9 [7.0-17.9],South America,11.9
Both sexes,1988,8.7 [5.8-12.3],South America,8.7
Male,1988,5.1 [2.4-9.0],South America,5.1
Female,1988,12.3 [7.4-18.3],South America,12.3
Both sexes,1989,9.1 [6.2-12.6],South America,9.1
Male,1989,5.3 [2.5-9.4],South America,5.3
Female,1989,12.7 [7.7-18.8],South America,12.7
Both sexes,1990,9.5 [6.5-13.0],South America,9.5
Male,1990,5.6 [2.7-9.8],South America,5.6
Female,1990,13.2 [8.1-19.2],South America,13.2
Both sexes,1991,9.8 [6.8-13.4],South America,9.8
Male,1991,5.9 [2.9-10.2],South America,5.9
Female,1991,13.6 [8.5-19.6],South America,13.6
Both sexes,1992,10.2 [7.1-13.8],South America,10.2
Male,1992,6.2 [3.1-10.7],South America,6.2
Female,1992,14.0 [8.8-20.0],South America,14.0
Both sexes,1993,10.6 [7.4-14.2],South America,10.6
Male,1993,6.5 [3.3-11.0],South America,6.5
Female,1993,14.5 [9.2-20.5],South America,14.5
Both sexes,1994,10.9 [7.8-14.6],South America,10.9
Male,1994,6.8 [3.5-11.5],South America,6.8
Female,1994,14.9 [9.6-21.0],South America,14.9
Both sexes,1995,11.3 [8.1-15.0],South America,11.3
Male,1995,7.1 [3.8-11.8],South America,7.1
Female,1995,15.3 [10.0-21.3],South America,15.3
Both sexes,1996,11.7 [8.4-15.4],South America,11.7
Male,1996,7.4 [4.0-12.2],South America,7.4
Female,1996,15.8 [10.4-21.7],South America,15.8
Both sexes,1997,12.0 [8.8-15.9],South America,12.0
Male,1997,7.8 [4.2-12.6],South America,7.8
Female,1997,16.2 [10.8-22.1],South America,16.2
Both sexes,1998,12.4 [9.1-16.3],South America,12.4
Male,1998,8.1 [4.4-13.0],South America,8.1
Female,1998,16.6 [11.2-22.5],South America,16.6
Both sexes,1999,12.8 [9.5-16.7],South America,12.8
Male,1999,8.4 [4.7-13.4],South America,8.4
Female,1999,17.1 [11.7-23.0],South America,17.1
Both sexes,2000,13.2 [9.8-17.1],South America,13.2
Male,2000,8.8 [4.9-13.9],South America,8.8
Female,2000,17.5 [12.1-23.4],South America,17.5
Both sexes,2001,13.6 [10.2-17.5],South America,13.6
Male,2001,9.1 [5.2-14.3],South America,9.1
Female,2001,18.0 [12.5-23.9],South America,18.0
Both sexes,2002,14.0 [10.6-17.9],South America,14.0
Male,2002,9.5 [5.5-14.6],South America,9.5
Female,2002,18.4 [12.9-24.3],South America,18.4
Both sexes,2003,14.4 [11.0-18.3],South America,14.4
Male,2003,9.8 [5.8-15.0],South America,9.8
Female,2003,18.8 [13.4-24.8],South America,18.8
Both sexes,2004,14.8 [11.4-18.7],South America,14.8
Male,2004,10.2 [6.0-15.4],South America,10.2
Female,2004,19.3 [13.8-25.3],South America,19.3
Both sexes,2005,15.2 [11.7-19.1],South America,15.2
Male,2005,10.5 [6.3-15.8],South America,10.5
Female,2005,19.7 [14.2-25.7],South America,19.7
Both sexes,2006,15.6 [12.1-19.5],South America,15.6
Male,2006,10.9 [6.6-16.2],South America,10.9
Female,2006,20.2 [14.6-26.2],South America,20.2
Both sexes,2007,16.0 [12.5-20.0],South America,16.0
Male,2007,11.2 [6.8-16.6],South America,11.2
Female,2007,20.6 [15.0-26.7],South America,20.6
Both sexes,2008,16.4 [12.8-20.4],South America,16.4
Male,2008,11.6 [7.1-17.2],South America,11.6
Female,2008,21.0 [15.4-27.2],South America,21.0
Both sexes,2009,16.8 [13.2-20.9],South America,16.8
Male,2009,12.0 [7.4-17.6],South America,12.0
Female,2009,21.5 [15.8-27.7],South America,21.5
Both sexes,2010,17.2 [13.5-21.4],South America,17.2
Male,2010,12.4 [7.7-18.1],South America,12.4
Female,2010,21.9 [16.1-28.2],South America,21.9
Both sexes,2011,17.6 [13.8-21.9],South America,17.6
Male,2011,12.7 [8.0-18.6],South America,12.7
Female,2011,22.4 [16.5-28.8],South America,22.4
Both sexes,2012,18.1 [14.2-22.5],South America,18.1
Male,2012,13.2 [8.2-19.1],South America,13.2
Female,2012,22.8 [16.8-29.5],South America,22.8
Both sexes,2013,18.5 [14.5-23.0],South America,18.5
Male,2013,13.6 [8.5-19.7],South America,13.6
Female,2013,23.3 [17.1-30.2],South America,23.3
Both sexes,2014,19.0 [14.7-23.7],South America,19.0
Male,2014,14.0 [8.8-20.3],South America,14.0
Female,2014,23.7 [17.4-30.8],South America,23.7
Both sexes,2015,19.4 [15.0-24.3],South America,19.4
Male,2015,14.4 [9.0-21.1],South America,14.4
Female,2015,24.2 [17.6-31.4],South America,24.2
Both sexes,2016,19.9 [15.4-25.0],South America,19.9
Male,2016,14.9 [9.2-21.8],South America,14.9
Female,2016,24.7 [17.8-32.2],South America,24.7
