Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.0 [7.8-16.8],North Africa,12.0
Male,1975,5.5 [2.5-9.9],North Africa,5.5
Female,1975,17.9 [10.7-26.6],North Africa,17.9
Both sexes,1976,12.3 [8.2-17.0],North Africa,12.3
Male,1976,5.7 [2.7-10.1],North Africa,5.7
Female,1976,18.4 [11.4-26.7],North Africa,18.4
Both sexes,1977,12.7 [8.7-17.3],North Africa,12.7
Male,1977,5.9 [2.9-10.3],North Africa,5.9
Female,1977,18.9 [12.0-26.9],North Africa,18.9
Both sexes,1978,13.1 [9.2-17.5],North Africa,13.1
Male,1978,6.2 [3.1-10.5],North Africa,6.2
Female,1978,19.3 [12.7-27.1],North Africa,19.3
Both sexes,1979,13.4 [9.6-17.8],North Africa,13.4
Male,1979,6.5 [3.4-10.6],North Africa,6.5
Female,1979,19.8 [13.3-27.4],North Africa,19.8
Both sexes,1980,13.8 [10.1-18.1],North Africa,13.8
Male,1980,6.7 [3.6-10.9],North Africa,6.7
Female,1980,20.3 [14.0-27.7],North Africa,20.3
Both sexes,1981,14.2 [10.5-18.3],North Africa,14.2
Male,1981,7.0 [3.9-11.1],North Africa,7.0
Female,1981,20.8 [14.6-27.9],North Africa,20.8
Both sexes,1982,14.6 [10.9-18.6],North Africa,14.6
Male,1982,7.3 [4.1-11.3],North Africa,7.3
Female,1982,21.3 [15.2-28.2],North Africa,21.3
Both sexes,1983,14.9 [11.4-18.8],North Africa,14.9
Male,1983,7.5 [4.4-11.6],North Africa,7.5
Female,1983,21.8 [15.8-28.5],North Africa,21.8
Both sexes,1984,15.3 [11.8-19.2],North Africa,15.3
Male,1984,7.8 [4.7-11.9],North Africa,7.8
Female,1984,22.3 [16.4-28.9],North Africa,22.3
Both sexes,1985,15.7 [12.3-19.5],North Africa,15.7
Male,1985,8.1 [4.9-12.1],North Africa,8.1
Female,1985,22.7 [16.9-29.2],North Africa,22.7
Both sexes,1986,16.1 [12.7-19.8],North Africa,16.1
Male,1986,8.4 [5.2-12.4],North Africa,8.4
Female,1986,23.2 [17.5-29.5],North Africa,23.2
Both sexes,1987,16.5 [13.1-20.2],North Africa,16.5
Male,1987,8.7 [5.5-12.7],North Africa,8.7
Female,1987,23.7 [18.1-29.9],North Africa,23.7
Both sexes,1988,16.9 [13.6-20.5],North Africa,16.9
Male,1988,9.0 [5.7-13.0],North Africa,9.0
Female,1988,24.2 [18.7-30.2],North Africa,24.2
Both sexes,1989,17.3 [14.0-20.9],North Africa,17.3
Male,1989,9.3 [6.0-13.4],North Africa,9.3
Female,1989,24.7 [19.2-30.6],North Africa,24.7
Both sexes,1990,17.7 [14.4-21.3],North Africa,17.7
Male,1990,9.7 [6.3-13.7],North Africa,9.7
Female,1990,25.2 [19.8-30.9],North Africa,25.2
Both sexes,1991,18.1 [14.9-21.6],North Africa,18.1
Male,1991,10.0 [6.6-14.1],North Africa,10.0
Female,1991,25.7 [20.4-31.3],North Africa,25.7
Both sexes,1992,18.5 [15.3-22.0],North Africa,18.5
Male,1992,10.4 [6.9-14.5],North Africa,10.4
Female,1992,26.2 [21.0-31.8],North Africa,26.2
Both sexes,1993,19.0 [15.7-22.4],North Africa,19.0
Male,1993,10.7 [7.3-14.8],North Africa,10.7
Female,1993,26.7 [21.5-32.2],North Africa,26.7
Both sexes,1994,19.4 [16.1-22.8],North Africa,19.4
Male,1994,11.1 [7.6-15.2],North Africa,11.1
Female,1994,27.2 [22.1-32.6],North Africa,27.2
