Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.8 [3.0-9.5],Central America,5.8
Male,1975,2.9 [1.0-6.5],Central America,2.9
Female,1975,8.4 [3.8-14.9],Central America,8.4
Both sexes,1976,6.0 [3.2-9.7],Central America,6.0
Male,1976,3.1 [1.1-6.6],Central America,3.1
Female,1976,8.7 [4.1-15.1],Central America,8.7
Both sexes,1977,6.2 [3.5-9.9],Central America,6.2
Male,1977,3.3 [1.2-6.8],Central America,3.3
Female,1977,9.0 [4.4-15.3],Central America,9.0
Both sexes,1978,6.5 [3.7-10.1],Central America,6.5
Male,1978,3.4 [1.3-7.0],Central America,3.4
Female,1978,9.3 [4.7-15.6],Central America,9.3
Both sexes,1979,6.8 [4.0-10.3],Central America,6.8
Male,1979,3.6 [1.4-7.1],Central America,3.6
Female,1979,9.6 [5.1-15.8],Central America,9.6
Both sexes,1980,7.1 [4.2-10.6],Central America,7.1
Male,1980,3.8 [1.6-7.4],Central America,3.8
Female,1980,10.0 [5.4-16.2],Central America,10.0
Both sexes,1981,7.4 [4.5-10.9],Central America,7.4
Male,1981,4.0 [1.7-7.6],Central America,4.0
Female,1981,10.3 [5.8-16.4],Central America,10.3
Both sexes,1982,7.7 [4.8-11.2],Central America,7.7
Male,1982,4.2 [1.9-7.9],Central America,4.2
Female,1982,10.7 [6.1-16.8],Central America,10.7
Both sexes,1983,8.0 [5.1-11.5],Central America,8.0
Male,1983,4.5 [2.0-8.2],Central America,4.5
Female,1983,11.1 [6.5-17.1],Central America,11.1
Both sexes,1984,8.3 [5.4-11.8],Central America,8.3
Male,1984,4.7 [2.2-8.5],Central America,4.7
Female,1984,11.5 [6.9-17.4],Central America,11.5
Both sexes,1985,8.6 [5.8-12.1],Central America,8.6
Male,1985,5.0 [2.4-8.8],Central America,5.0
Female,1985,11.9 [7.3-17.7],Central America,11.9
Both sexes,1986,9.0 [6.1-12.4],Central America,9.0
Male,1986,5.2 [2.5-9.1],Central America,5.2
Female,1986,12.3 [7.7-18.1],Central America,12.3
Both sexes,1987,9.3 [6.4-12.7],Central America,9.3
Male,1987,5.5 [2.7-9.5],Central America,5.5
Female,1987,12.7 [8.1-18.5],Central America,12.7
Both sexes,1988,9.7 [6.8-13.2],Central America,9.7
Male,1988,5.8 [2.9-9.9],Central America,5.8
Female,1988,13.2 [8.5-18.9],Central America,13.2
Both sexes,1989,10.1 [7.1-13.6],Central America,10.1
Male,1989,6.1 [3.1-10.2],Central America,6.1
Female,1989,13.6 [8.9-19.3],Central America,13.6
Both sexes,1990,10.5 [7.5-14.0],Central America,10.5
Male,1990,6.4 [3.3-10.6],Central America,6.4
Female,1990,14.0 [9.3-19.7],Central America,14.0
Both sexes,1991,10.9 [7.8-14.5],Central America,10.9
Male,1991,6.7 [3.5-11.0],Central America,6.7
Female,1991,14.5 [9.7-20.2],Central America,14.5
Both sexes,1992,11.3 [8.3-15.0],Central America,11.3
Male,1992,7.0 [3.7-11.5],Central America,7.0
Female,1992,15.0 [10.2-20.7],Central America,15.0
Both sexes,1993,11.8 [8.7-15.5],Central America,11.8
Male,1993,7.4 [4.0-12.0],Central America,7.4
Female,1993,15.5 [10.7-21.2],Central America,15.5
Both sexes,1994,12.3 [9.1-16.1],Central America,12.3
Male,1994,7.8 [4.3-12.4],Central America,7.8
Female,1994,16.1 [11.2-21.8],Central America,16.1
Both sexes,1995,12.8 [9.6-16.6],Central America,12.8
Male,1995,8.2 [4.5-12.9],Central America,8.2
Female,1995,16.6 [11.7-22.3],Central America,16.6
Both sexes,1996,13.3 [10.0-17.1],Central America,13.3
Male,1996,8.7 [4.9-13.5],Central America,8.7
Female,1996,17.2 [12.3-22.9],Central America,17.2
Both sexes,1997,13.9 [10.5-17.7],Central America,13.9
Male,1997,9.1 [5.2-14.0],Central America,9.1
Female,1997,17.8 [12.8-23.5],Central America,17.8
Both sexes,1998,14.4 [11.0-18.3],Central America,14.4
Male,1998,9.6 [5.6-14.6],Central America,9.6
Female,1998,18.4 [13.4-24.2],Central America,18.4
Both sexes,1999,15.0 [11.5-18.9],Central America,15.0
Male,1999,10.1 [6.0-15.2],Central America,10.1
Female,1999,19.0 [14.0-24.8],Central America,19.0
Both sexes,2000,15.6 [12.1-19.5],Central America,15.6
Male,2000,10.6 [6.4-15.8],Central America,10.6
Female,2000,19.7 [14.6-25.5],Central America,19.7
Both sexes,2001,16.1 [12.6-20.1],Central America,16.1
Male,2001,11.1 [6.8-16.4],Central America,11.1
Female,2001,20.3 [15.2-26.1],Central America,20.3
Both sexes,2002,16.7 [13.1-20.7],Central America,16.7
Male,2002,11.6 [7.2-17.0],Central America,11.6
Female,2002,20.9 [15.7-26.6],Central America,20.9
Both sexes,2003,17.3 [13.6-21.2],Central America,17.3
Male,2003,12.1 [7.6-17.5],Central America,12.1
Female,2003,21.5 [16.3-27.2],Central America,21.5
Both sexes,2004,17.8 [14.1-21.7],Central America,17.8
Male,2004,12.6 [8.0-18.1],Central America,12.6
Female,2004,22.1 [16.9-27.8],Central America,22.1
Both sexes,2005,18.4 [14.7-22.4],Central America,18.4
Male,2005,13.1 [8.4-18.6],Central America,13.1
Female,2005,22.6 [17.4-28.5],Central America,22.6
Both sexes,2006,18.9 [15.2-23.0],Central America,18.9
Male,2006,13.5 [8.8-19.2],Central America,13.5
Female,2006,23.2 [17.9-29.0],Central America,23.2
Both sexes,2007,19.5 [15.7-23.6],Central America,19.5
Male,2007,14.0 [9.2-19.8],Central America,14.0
Female,2007,23.8 [18.4-29.7],Central America,23.8
Both sexes,2008,20.0 [16.2-24.1],Central America,20.0
Male,2008,14.5 [9.6-20.5],Central America,14.5
Female,2008,24.4 [18.9-30.3],Central America,24.4
Both sexes,2009,20.6 [16.7-24.8],Central America,20.6
Male,2009,15.1 [10.0-21.1],Central America,15.1
Female,2009,24.9 [19.4-30.9],Central America,24.9
Both sexes,2010,21.1 [17.2-25.4],Central America,21.1
Male,2010,15.6 [10.3-21.8],Central America,15.6
Female,2010,25.5 [19.8-31.6],Central America,25.5
Both sexes,2011,21.7 [17.6-26.0],Central America,21.7
Male,2011,16.1 [10.6-22.6],Central America,16.1
Female,2011,26.1 [20.2-32.3],Central America,26.1
Both sexes,2012,22.2 [18.0-26.7],Central America,22.2
Male,2012,16.6 [10.9-23.3],Central America,16.6
Female,2012,26.6 [20.6-33.1],Central America,26.6
Both sexes,2013,22.8 [18.4-27.4],Central America,22.8
Male,2013,17.2 [11.3-24.0],Central America,17.2
Female,2013,27.2 [21.1-33.8],Central America,27.2
Both sexes,2014,23.4 [18.8-28.1],Central America,23.4
Male,2014,17.7 [11.6-24.8],Central America,17.7
Female,2014,27.8 [21.3-34.6],Central America,27.8
Both sexes,2015,24.0 [19.2-28.9],Central America,24.0
Male,2015,18.3 [11.9-25.6],Central America,18.3
Female,2015,28.4 [21.7-35.5],Central America,28.4
Both sexes,2016,24.6 [19.6-29.7],Central America,24.6
Male,2016,18.9 [12.2-26.5],Central America,18.9
Female,2016,28.9 [21.9-36.4],Central America,28.9
