Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.6 [0.2-1.4],East Africa,0.6
Male,1975,0.2 [0.0-0.6],East Africa,0.2
Female,1975,1.0 [0.3-2.3],East Africa,1.0
Both sexes,1976,0.7 [0.3-1.4],East Africa,0.7
Male,1976,0.2 [0.0-0.7],East Africa,0.2
Female,1976,1.0 [0.3-2.4],East Africa,1.0
Both sexes,1977,0.7 [0.3-1.4],East Africa,0.7
Male,1977,0.2 [0.0-0.7],East Africa,0.2
Female,1977,1.1 [0.4-2.4],East Africa,1.1
Both sexes,1978,0.7 [0.3-1.5],East Africa,0.7
Male,1978,0.2 [0.0-0.7],East Africa,0.2
Female,1978,1.2 [0.4-2.5],East Africa,1.2
Both sexes,1979,0.8 [0.3-1.5],East Africa,0.8
Male,1979,0.2 [0.1-0.7],East Africa,0.2
Female,1979,1.2 [0.5-2.6],East Africa,1.2
Both sexes,1980,0.8 [0.4-1.6],East Africa,0.8
Male,1980,0.3 [0.1-0.7],East Africa,0.3
Female,1980,1.3 [0.5-2.6],East Africa,1.3
Both sexes,1981,0.9 [0.4-1.6],East Africa,0.9
Male,1981,0.3 [0.1-0.7],East Africa,0.3
Female,1981,1.3 [0.5-2.7],East Africa,1.3
Both sexes,1982,0.9 [0.4-1.7],East Africa,0.9
Male,1982,0.3 [0.1-0.8],East Africa,0.3
Female,1982,1.4 [0.6-2.8],East Africa,1.4
Both sexes,1983,0.9 [0.5-1.7],East Africa,0.9
Male,1983,0.3 [0.1-0.8],East Africa,0.3
Female,1983,1.5 [0.6-2.9],East Africa,1.5
Both sexes,1984,1.0 [0.5-1.8],East Africa,1.0
Male,1984,0.3 [0.1-0.8],East Africa,0.3
Female,1984,1.6 [0.7-3.0],East Africa,1.6
Both sexes,1985,1.0 [0.5-1.8],East Africa,1.0
Male,1985,0.4 [0.1-0.9],East Africa,0.4
Female,1985,1.6 [0.7-3.1],East Africa,1.6
Both sexes,1986,1.1 [0.6-1.9],East Africa,1.1
Male,1986,0.4 [0.1-0.9],East Africa,0.4
Female,1986,1.7 [0.8-3.2],East Africa,1.7
Both sexes,1987,1.2 [0.6-2.0],East Africa,1.2
Male,1987,0.4 [0.1-0.9],East Africa,0.4
Female,1987,1.8 [0.9-3.3],East Africa,1.8
Both sexes,1988,1.2 [0.7-2.1],East Africa,1.2
Male,1988,0.4 [0.1-1.0],East Africa,0.4
Female,1988,1.9 [0.9-3.4],East Africa,1.9
Both sexes,1989,1.3 [0.7-2.1],East Africa,1.3
Male,1989,0.4 [0.1-1.0],East Africa,0.4
Female,1989,2.0 [1.0-3.5],East Africa,2.0
Both sexes,1990,1.4 [0.8-2.2],East Africa,1.4
Male,1990,0.5 [0.2-1.0],East Africa,0.5
Female,1990,2.1 [1.1-3.7],East Africa,2.1
Both sexes,1991,1.4 [0.8-2.3],East Africa,1.4
Male,1991,0.5 [0.2-1.1],East Africa,0.5
Female,1991,2.2 [1.1-3.8],East Africa,2.2
Both sexes,1992,1.5 [0.9-2.4],East Africa,1.5
Male,1992,0.5 [0.2-1.1],East Africa,0.5
Female,1992,2.3 [1.2-4.0],East Africa,2.3
Both sexes,1993,1.6 [0.9-2.5],East Africa,1.6
Male,1993,0.6 [0.2-1.2],East Africa,0.6
Female,1993,2.4 [1.3-4.1],East Africa,2.4
Both sexes,1994,1.7 [1.0-2.6],East Africa,1.7
Male,1994,0.6 [0.2-1.2],East Africa,0.6
Female,1994,2.5 [1.4-4.3],East Africa,2.5
