Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.7 [8.4-17.8],Eastern Europe,12.7
Male,1975,7.2 [3.8-12.3],Eastern Europe,7.2
Female,1975,16.6 [10.0-25.0],Eastern Europe,16.6
Both sexes,1976,12.9 [8.8-17.8],Eastern Europe,12.9
Male,1976,7.4 [4.0-12.4],Eastern Europe,7.4
Female,1976,16.8 [10.4-24.8],Eastern Europe,16.8
Both sexes,1977,13.1 [9.1-17.9],Eastern Europe,13.1
Male,1977,7.7 [4.3-12.6],Eastern Europe,7.7
Female,1977,17.0 [10.8-24.6],Eastern Europe,17.0
Both sexes,1978,13.4 [9.5-17.9],Eastern Europe,13.4
Male,1978,8.0 [4.6-12.7],Eastern Europe,8.0
Female,1978,17.2 [11.3-24.6],Eastern Europe,17.2
Both sexes,1979,13.6 [9.8-18.0],Eastern Europe,13.6
Male,1979,8.3 [5.0-12.8],Eastern Europe,8.3
Female,1979,17.4 [11.7-24.4],Eastern Europe,17.4
Both sexes,1980,13.8 [10.2-18.0],Eastern Europe,13.8
Male,1980,8.5 [5.3-13.0],Eastern Europe,8.5
Female,1980,17.6 [12.0-24.4],Eastern Europe,17.6
Both sexes,1981,14.0 [10.5-18.1],Eastern Europe,14.0
Male,1981,8.8 [5.6-13.2],Eastern Europe,8.8
Female,1981,17.8 [12.3-24.3],Eastern Europe,17.8
Both sexes,1982,14.2 [10.8-18.1],Eastern Europe,14.2
Male,1982,9.1 [5.9-13.3],Eastern Europe,9.1
Female,1982,18.0 [12.6-24.3],Eastern Europe,18.0
Both sexes,1983,14.4 [11.0-18.2],Eastern Europe,14.4
Male,1983,9.4 [6.2-13.5],Eastern Europe,9.4
Female,1983,18.1 [13.0-24.2],Eastern Europe,18.1
Both sexes,1984,14.6 [11.3-18.3],Eastern Europe,14.6
Male,1984,9.7 [6.5-13.7],Eastern Europe,9.7
Female,1984,18.3 [13.2-24.2],Eastern Europe,18.3
Both sexes,1985,14.8 [11.6-18.4],Eastern Europe,14.8
Male,1985,9.9 [6.8-13.9],Eastern Europe,9.9
Female,1985,18.4 [13.5-24.2],Eastern Europe,18.4
Both sexes,1986,15.0 [11.9-18.5],Eastern Europe,15.0
Male,1986,10.2 [7.0-14.1],Eastern Europe,10.2
Female,1986,18.5 [13.8-24.1],Eastern Europe,18.5
Both sexes,1987,15.2 [12.1-18.6],Eastern Europe,15.2
Male,1987,10.5 [7.3-14.4],Eastern Europe,10.5
Female,1987,18.7 [14.0-24.1],Eastern Europe,18.7
Both sexes,1988,15.4 [12.3-18.6],Eastern Europe,15.4
Male,1988,10.8 [7.6-14.7],Eastern Europe,10.8
Female,1988,18.8 [14.2-24.0],Eastern Europe,18.8
Both sexes,1989,15.5 [12.6-18.7],Eastern Europe,15.5
Male,1989,11.1 [7.9-15.0],Eastern Europe,11.1
Female,1989,18.9 [14.4-24.0],Eastern Europe,18.9
Both sexes,1990,15.7 [12.8-18.8],Eastern Europe,15.7
Male,1990,11.4 [8.2-15.2],Eastern Europe,11.4
Female,1990,19.0 [14.6-23.9],Eastern Europe,19.0
Both sexes,1991,15.9 [13.0-18.9],Eastern Europe,15.9
Male,1991,11.7 [8.5-15.5],Eastern Europe,11.7
Female,1991,19.1 [14.7-23.8],Eastern Europe,19.1
Both sexes,1992,16.1 [13.3-19.0],Eastern Europe,16.1
Male,1992,12.0 [8.7-15.8],Eastern Europe,12.0
Female,1992,19.1 [14.9-23.8],Eastern Europe,19.1
Both sexes,1993,16.2 [13.5-19.1],Eastern Europe,16.2
Male,1993,12.2 [9.0-16.0],Eastern Europe,12.2
Female,1993,19.2 [15.0-23.8],Eastern Europe,19.2
Both sexes,1994,16.4 [13.7-19.2],Eastern Europe,16.4
Male,1994,12.5 [9.2-16.2],Eastern Europe,12.5
Female,1994,19.3 [15.2-23.7],Eastern Europe,19.3
Both sexes,1995,16.5 [13.9-19.3],Eastern Europe,16.5
Male,1995,12.8 [9.5-16.5],Eastern Europe,12.8
Female,1995,19.3 [15.3-23.7],Eastern Europe,19.3
Both sexes,1996,16.7 [14.1-19.4],Eastern Europe,16.7
Male,1996,13.1 [9.8-16.8],Eastern Europe,13.1
Female,1996,19.4 [15.5-23.6],Eastern Europe,19.4
Both sexes,1997,16.9 [14.3-19.6],Eastern Europe,16.9
Male,1997,13.4 [10.1-17.0],Eastern Europe,13.4
Female,1997,19.4 [15.6-23.6],Eastern Europe,19.4
Both sexes,1998,17.0 [14.5-19.7],Eastern Europe,17.0
Male,1998,13.7 [10.5-17.3],Eastern Europe,13.7
Female,1998,19.5 [15.8-23.6],Eastern Europe,19.5
Both sexes,1999,17.2 [14.7-19.8],Eastern Europe,17.2
Male,1999,14.0 [10.8-17.6],Eastern Europe,14.0
Female,1999,19.6 [15.9-23.5],Eastern Europe,19.6
Both sexes,2000,17.4 [14.9-20.0],Eastern Europe,17.4
Male,2000,14.3 [11.1-17.9],Eastern Europe,14.3
Female,2000,19.6 [16.0-23.6],Eastern Europe,19.6
Both sexes,2001,17.6 [15.2-20.1],Eastern Europe,17.6
Male,2001,14.6 [11.4-18.3],Eastern Europe,14.6
Female,2001,19.7 [16.1-23.6],Eastern Europe,19.7
Both sexes,2002,17.8 [15.4-20.3],Eastern Europe,17.8
Male,2002,15.0 [11.8-18.5],Eastern Europe,15.0
Female,2002,19.8 [16.2-23.6],Eastern Europe,19.8
Both sexes,2003,18.0 [15.6-20.5],Eastern Europe,18.0
Male,2003,15.3 [12.2-18.8],Eastern Europe,15.3
Female,2003,19.9 [16.4-23.7],Eastern Europe,19.9
Both sexes,2004,18.2 [15.8-20.7],Eastern Europe,18.2
Male,2004,15.7 [12.5-19.2],Eastern Europe,15.7
Female,2004,20.0 [16.5-23.8],Eastern Europe,20.0
Both sexes,2005,18.4 [16.0-21.0],Eastern Europe,18.4
Male,2005,16.0 [12.8-19.5],Eastern Europe,16.0
Female,2005,20.2 [16.6-23.9],Eastern Europe,20.2
Both sexes,2006,18.6 [16.2-21.2],Eastern Europe,18.6
Male,2006,16.4 [13.1-19.9],Eastern Europe,16.4
Female,2006,20.3 [16.8-24.1],Eastern Europe,20.3
Both sexes,2007,18.9 [16.4-21.5],Eastern Europe,18.9
Male,2007,16.8 [13.4-20.2],Eastern Europe,16.8
Female,2007,20.4 [16.8-24.2],Eastern Europe,20.4
Both sexes,2008,19.1 [16.6-21.8],Eastern Europe,19.1
Male,2008,17.1 [13.8-20.7],Eastern Europe,17.1
Female,2008,20.5 [16.9-24.4],Eastern Europe,20.5
Both sexes,2009,19.4 [16.8-22.1],Eastern Europe,19.4
Male,2009,17.5 [14.1-21.2],Eastern Europe,17.5
Female,2009,20.7 [16.9-24.6],Eastern Europe,20.7
Both sexes,2010,19.6 [17.0-22.5],Eastern Europe,19.6
Male,2010,17.9 [14.4-21.7],Eastern Europe,17.9
Female,2010,20.8 [17.0-24.9],Eastern Europe,20.8
Both sexes,2011,19.9 [17.1-22.9],Eastern Europe,19.9
Male,2011,18.3 [14.6-22.2],Eastern Europe,18.3
Female,2011,21.0 [17.0-25.2],Eastern Europe,21.0
Both sexes,2012,20.1 [17.3-23.2],Eastern Europe,20.1
Male,2012,18.7 [14.8-22.8],Eastern Europe,18.7
Female,2012,21.1 [17.0-25.5],Eastern Europe,21.1
Both sexes,2013,20.4 [17.4-23.7],Eastern Europe,20.4
Male,2013,19.1 [15.0-23.5],Eastern Europe,19.1
Female,2013,21.3 [16.9-25.9],Eastern Europe,21.3
Both sexes,2014,20.7 [17.5-24.2],Eastern Europe,20.7
Male,2014,19.5 [15.2-24.1],Eastern Europe,19.5
Female,2014,21.4 [16.8-26.2],Eastern Europe,21.4
Both sexes,2015,20.9 [17.6-24.6],Eastern Europe,20.9
Male,2015,19.9 [15.4-24.9],Eastern Europe,19.9
Female,2015,21.6 [16.7-26.7],Eastern Europe,21.6
Both sexes,2016,21.2 [17.7-25.2],Eastern Europe,21.2
Male,2016,20.3 [15.4-25.7],Eastern Europe,20.3
Female,2016,21.8 [16.6-27.2],Eastern Europe,21.8
