Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.5 [0.2-1.1],East Africa,0.5
Male,1975,0.2 [0.0-0.6],East Africa,0.2
Female,1975,0.8 [0.2-2.0],East Africa,0.8
Both sexes,1976,0.5 [0.2-1.2],East Africa,0.5
Male,1976,0.2 [0.0-0.6],East Africa,0.2
Female,1976,0.9 [0.3-2.0],East Africa,0.9
Both sexes,1977,0.6 [0.2-1.2],East Africa,0.6
Male,1977,0.2 [0.0-0.6],East Africa,0.2
Female,1977,0.9 [0.3-2.1],East Africa,0.9
Both sexes,1978,0.6 [0.2-1.2],East Africa,0.6
Male,1978,0.2 [0.0-0.6],East Africa,0.2
Female,1978,1.0 [0.3-2.2],East Africa,1.0
Both sexes,1979,0.6 [0.2-1.3],East Africa,0.6
Male,1979,0.2 [0.0-0.6],East Africa,0.2
Female,1979,1.0 [0.3-2.2],East Africa,1.0
Both sexes,1980,0.7 [0.3-1.3],East Africa,0.7
Male,1980,0.2 [0.0-0.7],East Africa,0.2
Female,1980,1.1 [0.4-2.3],East Africa,1.1
Both sexes,1981,0.7 [0.3-1.4],East Africa,0.7
Male,1981,0.2 [0.1-0.7],East Africa,0.2
Female,1981,1.1 [0.4-2.3],East Africa,1.1
Both sexes,1982,0.7 [0.3-1.4],East Africa,0.7
Male,1982,0.3 [0.1-0.7],East Africa,0.3
Female,1982,1.2 [0.4-2.4],East Africa,1.2
Both sexes,1983,0.8 [0.3-1.5],East Africa,0.8
Male,1983,0.3 [0.1-0.7],East Africa,0.3
Female,1983,1.2 [0.5-2.5],East Africa,1.2
Both sexes,1984,0.8 [0.4-1.5],East Africa,0.8
Male,1984,0.3 [0.1-0.7],East Africa,0.3
Female,1984,1.3 [0.5-2.6],East Africa,1.3
Both sexes,1985,0.9 [0.4-1.6],East Africa,0.9
Male,1985,0.3 [0.1-0.8],East Africa,0.3
Female,1985,1.4 [0.6-2.7],East Africa,1.4
Both sexes,1986,0.9 [0.4-1.6],East Africa,0.9
Male,1986,0.3 [0.1-0.8],East Africa,0.3
Female,1986,1.5 [0.6-2.8],East Africa,1.5
Both sexes,1987,1.0 [0.5-1.7],East Africa,1.0
Male,1987,0.3 [0.1-0.8],East Africa,0.3
Female,1987,1.5 [0.7-2.9],East Africa,1.5
Both sexes,1988,1.0 [0.5-1.8],East Africa,1.0
Male,1988,0.4 [0.1-0.9],East Africa,0.4
Female,1988,1.6 [0.7-3.0],East Africa,1.6
Both sexes,1989,1.1 [0.6-1.8],East Africa,1.1
Male,1989,0.4 [0.1-0.9],East Africa,0.4
Female,1989,1.7 [0.8-3.1],East Africa,1.7
Both sexes,1990,1.1 [0.6-1.9],East Africa,1.1
Male,1990,0.4 [0.1-1.0],East Africa,0.4
Female,1990,1.8 [0.9-3.2],East Africa,1.8
Both sexes,1991,1.2 [0.6-2.0],East Africa,1.2
Male,1991,0.4 [0.1-1.0],East Africa,0.4
Female,1991,1.9 [0.9-3.4],East Africa,1.9
Both sexes,1992,1.3 [0.7-2.1],East Africa,1.3
Male,1992,0.5 [0.2-1.0],East Africa,0.5
Female,1992,2.0 [1.0-3.5],East Africa,2.0
Both sexes,1993,1.3 [0.7-2.2],East Africa,1.3
Male,1993,0.5 [0.2-1.1],East Africa,0.5
Female,1993,2.1 [1.1-3.7],East Africa,2.1
Both sexes,1994,1.4 [0.8-2.2],East Africa,1.4
Male,1994,0.5 [0.2-1.2],East Africa,0.5
Female,1994,2.2 [1.1-3.8],East Africa,2.2
Both sexes,1995,1.5 [0.9-2.3],East Africa,1.5
Male,1995,0.6 [0.2-1.2],East Africa,0.6
Female,1995,2.4 [1.2-4.0],East Africa,2.4
Both sexes,1996,1.6 [0.9-2.5],East Africa,1.6
Male,1996,0.6 [0.2-1.3],East Africa,0.6
Female,1996,2.5 [1.3-4.2],East Africa,2.5
Both sexes,1997,1.7 [1.0-2.6],East Africa,1.7
Male,1997,0.6 [0.2-1.3],East Africa,0.6
Female,1997,2.6 [1.4-4.3],East Africa,2.6
Both sexes,1998,1.7 [1.0-2.7],East Africa,1.7
Male,1998,0.7 [0.3-1.4],East Africa,0.7
Female,1998,2.8 [1.5-4.5],East Africa,2.8
Both sexes,1999,1.8 [1.1-2.8],East Africa,1.8
Male,1999,0.7 [0.3-1.5],East Africa,0.7
Female,1999,2.9 [1.6-4.7],East Africa,2.9
Both sexes,2000,1.9 [1.2-2.9],East Africa,1.9
Male,2000,0.8 [0.3-1.5],East Africa,0.8
Female,2000,3.1 [1.7-4.9],East Africa,3.1
Both sexes,2001,2.0 [1.3-3.1],East Africa,2.0
Male,2001,0.8 [0.3-1.6],East Africa,0.8
Female,2001,3.2 [1.8-5.1],East Africa,3.2
Both sexes,2002,2.2 [1.3-3.2],East Africa,2.2
Male,2002,0.9 [0.4-1.7],East Africa,0.9
Female,2002,3.4 [1.9-5.3],East Africa,3.4
Both sexes,2003,2.3 [1.4-3.4],East Africa,2.3
Male,2003,0.9 [0.4-1.7],East Africa,0.9
Female,2003,3.6 [2.1-5.6],East Africa,3.6
Both sexes,2004,2.4 [1.5-3.5],East Africa,2.4
Male,2004,1.0 [0.4-1.8],East Africa,1.0
Female,2004,3.8 [2.2-5.8],East Africa,3.8
Both sexes,2005,2.5 [1.6-3.7],East Africa,2.5
Male,2005,1.0 [0.4-1.9],East Africa,1.0
Female,2005,4.0 [2.3-6.1],East Africa,4.0
Both sexes,2006,2.7 [1.7-3.8],East Africa,2.7
Male,2006,1.1 [0.5-2.0],East Africa,1.1
Female,2006,4.2 [2.5-6.4],East Africa,4.2
Both sexes,2007,2.8 [1.8-4.0],East Africa,2.8
Male,2007,1.1 [0.5-2.1],East Africa,1.1
Female,2007,4.4 [2.6-6.7],East Africa,4.4
Both sexes,2008,2.9 [1.9-4.2],East Africa,2.9
Male,2008,1.2 [0.5-2.2],East Africa,1.2
Female,2008,4.6 [2.8-7.0],East Africa,4.6
Both sexes,2009,3.1 [2.0-4.4],East Africa,3.1
Male,2009,1.3 [0.6-2.3],East Africa,1.3
Female,2009,4.9 [3.0-7.4],East Africa,4.9
Both sexes,2010,3.3 [2.2-4.6],East Africa,3.3
Male,2010,1.3 [0.6-2.4],East Africa,1.3
Female,2010,5.1 [3.1-7.7],East Africa,5.1
Both sexes,2011,3.4 [2.3-4.9],East Africa,3.4
Male,2011,1.4 [0.6-2.6],East Africa,1.4
Female,2011,5.4 [3.3-8.1],East Africa,5.4
Both sexes,2012,3.6 [2.4-5.1],East Africa,3.6
Male,2012,1.5 [0.7-2.8],East Africa,1.5
Female,2012,5.7 [3.4-8.5],East Africa,5.7
Both sexes,2013,3.8 [2.5-5.4],East Africa,3.8
Male,2013,1.6 [0.7-3.0],East Africa,1.6
Female,2013,5.9 [3.6-9.0],East Africa,5.9
Both sexes,2014,4.0 [2.6-5.8],East Africa,4.0
Male,2014,1.7 [0.7-3.2],East Africa,1.7
Female,2014,6.3 [3.8-9.5],East Africa,6.3
Both sexes,2015,4.3 [2.8-6.1],East Africa,4.3
Male,2015,1.8 [0.8-3.4],East Africa,1.8
Female,2015,6.6 [4.0-10.0],East Africa,6.6
Both sexes,2016,4.5 [2.9-6.5],East Africa,4.5
Male,2016,1.9 [0.8-3.7],East Africa,1.9
Female,2016,6.9 [4.1-10.6],East Africa,6.9
