Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.5 [5.4-14.9],Oceania,9.5
Male,1975,5.8 [2.1-12.0],Oceania,5.8
Female,1975,13.3 [6.4-22.8],Oceania,13.3
Both sexes,1976,9.8 [5.7-15.2],Oceania,9.8
Male,1976,6.0 [2.3-12.2],Oceania,6.0
Female,1976,13.8 [6.8-23.0],Oceania,13.8
Both sexes,1977,10.1 [6.0-15.4],Oceania,10.1
Male,1977,6.3 [2.5-12.3],Oceania,6.3
Female,1977,14.2 [7.3-23.2],Oceania,14.2
Both sexes,1978,10.5 [6.4-15.7],Oceania,10.5
Male,1978,6.5 [2.7-12.5],Oceania,6.5
Female,1978,14.6 [7.8-23.6],Oceania,14.6
Both sexes,1979,10.8 [6.7-16.0],Oceania,10.8
Male,1979,6.8 [2.8-12.7],Oceania,6.8
Female,1979,15.0 [8.2-23.7],Oceania,15.0
Both sexes,1980,11.2 [7.0-16.2],Oceania,11.2
Male,1980,7.0 [3.1-13.0],Oceania,7.0
Female,1980,15.5 [8.6-24.0],Oceania,15.5
Both sexes,1981,11.5 [7.4-16.5],Oceania,11.5
Male,1981,7.3 [3.3-13.2],Oceania,7.3
Female,1981,15.9 [9.0-24.4],Oceania,15.9
Both sexes,1982,11.9 [7.7-16.7],Oceania,11.9
Male,1982,7.6 [3.5-13.6],Oceania,7.6
Female,1982,16.4 [9.4-24.6],Oceania,16.4
Both sexes,1983,12.3 [8.1-17.1],Oceania,12.3
Male,1983,7.9 [3.7-13.8],Oceania,7.9
Female,1983,16.8 [9.9-24.8],Oceania,16.8
Both sexes,1984,12.6 [8.4-17.4],Oceania,12.6
Male,1984,8.2 [3.9-14.1],Oceania,8.2
Female,1984,17.2 [10.3-25.2],Oceania,17.2
Both sexes,1985,13.0 [8.8-17.8],Oceania,13.0
Male,1985,8.5 [4.2-14.4],Oceania,8.5
Female,1985,17.7 [10.8-25.6],Oceania,17.7
Both sexes,1986,13.4 [9.2-18.1],Oceania,13.4
Male,1986,8.8 [4.4-14.7],Oceania,8.8
Female,1986,18.2 [11.3-26.0],Oceania,18.2
Both sexes,1987,13.9 [9.6-18.6],Oceania,13.9
Male,1987,9.1 [4.7-15.1],Oceania,9.1
Female,1987,18.7 [11.7-26.5],Oceania,18.7
Both sexes,1988,14.3 [10.1-19.1],Oceania,14.3
