Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.9 [5.0-9.2],Northern Europe,6.9
Male,1975,5.7 [3.4-8.7],Northern Europe,5.7
Female,1975,7.8 [5.0-11.1],Northern Europe,7.8
Both sexes,1976,7.2 [5.3-9.4],Northern Europe,7.2
Male,1976,6.0 [3.7-9.0],Northern Europe,6.0
Female,1976,8.0 [5.3-11.3],Northern Europe,8.0
Both sexes,1977,7.5 [5.7-9.7],Northern Europe,7.5
Male,1977,6.4 [4.0-9.2],Northern Europe,6.4
Female,1977,8.3 [5.7-11.5],Northern Europe,8.3
Both sexes,1978,7.8 [6.0-9.9],Northern Europe,7.8
Male,1978,6.7 [4.4-9.5],Northern Europe,6.7
Female,1978,8.6 [6.0-11.7],Northern Europe,8.6
Both sexes,1979,8.2 [6.3-10.2],Northern Europe,8.2
Male,1979,7.0 [4.7-9.9],Northern Europe,7.0
Female,1979,8.9 [6.3-11.9],Northern Europe,8.9
Both sexes,1980,8.5 [6.7-10.5],Northern Europe,8.5
Male,1980,7.4 [5.1-10.1],Northern Europe,7.4
Female,1980,9.2 [6.7-12.2],Northern Europe,9.2
Both sexes,1981,8.8 [7.1-10.8],Northern Europe,8.8
Male,1981,7.8 [5.5-10.5],Northern Europe,7.8
Female,1981,9.5 [7.0-12.5],Northern Europe,9.5
Both sexes,1982,9.2 [7.4-11.2],Northern Europe,9.2
Male,1982,8.2 [5.9-10.9],Northern Europe,8.2
Female,1982,9.9 [7.4-12.8],Northern Europe,9.9
Both sexes,1983,9.6 [7.8-11.5],Northern Europe,9.6
Male,1983,8.6 [6.3-11.3],Northern Europe,8.6
Female,1983,10.2 [7.7-13.1],Northern Europe,10.2
Both sexes,1984,9.9 [8.2-11.9],Northern Europe,9.9
Male,1984,9.0 [6.7-11.7],Northern Europe,9.0
Female,1984,10.5 [8.0-13.4],Northern Europe,10.5
Both sexes,1985,10.3 [8.6-12.3],Northern Europe,10.3
Male,1985,9.4 [7.0-12.2],Northern Europe,9.4
Female,1985,10.9 [8.4-13.7],Northern Europe,10.9
Both sexes,1986,10.7 [8.9-12.7],Northern Europe,10.7
Male,1986,9.9 [7.5-12.7],Northern Europe,9.9
Female,1986,11.3 [8.7-14.1],Northern Europe,11.3
Both sexes,1987,11.1 [9.3-13.1],Northern Europe,11.1
Male,1987,10.3 [7.8-13.1],Northern Europe,10.3
Female,1987,11.6 [9.1-14.4],Northern Europe,11.6
Both sexes,1988,11.5 [9.7-13.5],Northern Europe,11.5
Male,1988,10.8 [8.3-13.7],Northern Europe,10.8
Female,1988,12.0 [9.5-14.8],Northern Europe,12.0
Both sexes,1989,12.0 [10.1-13.9],Northern Europe,12.0
Male,1989,11.3 [8.7-14.2],Northern Europe,11.3
Female,1989,12.4 [9.8-15.2],Northern Europe,12.4
Both sexes,1990,12.4 [10.5-14.4],Northern Europe,12.4
Male,1990,11.7 [9.1-14.7],Northern Europe,11.7
Female,1990,12.8 [10.2-15.6],Northern Europe,12.8
Both sexes,1991,12.8 [10.9-14.8],Northern Europe,12.8
Male,1991,12.2 [9.6-15.2],Northern Europe,12.2
Female,1991,13.1 [10.5-16.0],Northern Europe,13.1
Both sexes,1992,13.2 [11.3-15.3],Northern Europe,13.2
Male,1992,12.7 [10.0-15.7],Northern Europe,12.7
Female,1992,13.5 [10.8-16.3],Northern Europe,13.5
Both sexes,1993,13.6 [11.7-15.7],Northern Europe,13.6
Male,1993,13.2 [10.4-16.2],Northern Europe,13.2
Female,1993,13.8 [11.2-16.7],Northern Europe,13.8
Both sexes,1994,14.0 [12.1-16.1],Northern Europe,14.0
Male,1994,13.6 [10.9-16.7],Northern Europe,13.6
Female,1994,14.2 [11.5-17.1],Northern Europe,14.2
Both sexes,1995,14.4 [12.5-16.5],Northern Europe,14.4
Male,1995,14.1 [11.3-17.2],Northern Europe,14.1
Female,1995,14.5 [11.8-17.4],Northern Europe,14.5
Both sexes,1996,14.8 [12.9-16.9],Northern Europe,14.8
Male,1996,14.6 [11.7-17.7],Northern Europe,14.6
Female,1996,14.9 [12.2-17.8],Northern Europe,14.9
Both sexes,1997,15.2 [13.2-17.3],Northern Europe,15.2
Male,1997,15.0 [12.2-18.2],Northern Europe,15.0
Female,1997,15.2 [12.5-18.0],Northern Europe,15.2
Both sexes,1998,15.6 [13.6-17.6],Northern Europe,15.6
Male,1998,15.5 [12.6-18.6],Northern Europe,15.5
Female,1998,15.5 [12.9-18.4],Northern Europe,15.5
Both sexes,1999,16.0 [14.0-18.0],Northern Europe,16.0
Male,1999,15.9 [13.1-19.1],Northern Europe,15.9
Female,1999,15.8 [13.1-18.7],Northern Europe,15.8
Both sexes,2000,16.4 [14.3-18.4],Northern Europe,16.4
Male,2000,16.4 [13.5-19.5],Northern Europe,16.4
Female,2000,16.1 [13.4-19.0],Northern Europe,16.1
Both sexes,2001,16.7 [14.7-18.8],Northern Europe,16.7
Male,2001,16.8 [13.9-20.0],Northern Europe,16.8
Female,2001,16.4 [13.7-19.3],Northern Europe,16.4
Both sexes,2002,17.1 [15.1-19.2],Northern Europe,17.1
Male,2002,17.3 [14.3-20.5],Northern Europe,17.3
Female,2002,16.7 [14.0-19.6],Northern Europe,16.7
Both sexes,2003,17.5 [15.4-19.6],Northern Europe,17.5
Male,2003,17.7 [14.7-20.9],Northern Europe,17.7
Female,2003,17.0 [14.3-19.9],Northern Europe,17.0
Both sexes,2004,17.8 [15.8-20.0],Northern Europe,17.8
Male,2004,18.2 [15.2-21.4],Northern Europe,18.2
Female,2004,17.3 [14.6-20.2],Northern Europe,17.3
Both sexes,2005,18.2 [16.1-20.3],Northern Europe,18.2
Male,2005,18.6 [15.6-21.9],Northern Europe,18.6
Female,2005,17.6 [14.8-20.5],Northern Europe,17.6
Both sexes,2006,18.5 [16.5-20.7],Northern Europe,18.5
Male,2006,19.1 [16.0-22.4],Northern Europe,19.1
Female,2006,17.9 [15.1-20.8],Northern Europe,17.9
Both sexes,2007,18.9 [16.8-21.1],Northern Europe,18.9
Male,2007,19.5 [16.4-22.9],Northern Europe,19.5
Female,2007,18.1 [15.3-21.1],Northern Europe,18.1
Both sexes,2008,19.3 [17.1-21.5],Northern Europe,19.3
Male,2008,20.0 [16.7-23.4],Northern Europe,20.0
Female,2008,18.4 [15.5-21.4],Northern Europe,18.4
Both sexes,2009,19.6 [17.4-21.9],Northern Europe,19.6
Male,2009,20.4 [17.1-24.0],Northern Europe,20.4
Female,2009,18.7 [15.7-21.7],Northern Europe,18.7
Both sexes,2010,20.0 [17.7-22.4],Northern Europe,20.0
Male,2010,20.9 [17.4-24.6],Northern Europe,20.9
Female,2010,18.9 [15.9-22.1],Northern Europe,18.9
Both sexes,2011,20.3 [18.0-22.9],Northern Europe,20.3
Male,2011,21.3 [17.7-25.2],Northern Europe,21.3
Female,2011,19.2 [16.0-22.6],Northern Europe,19.2
Both sexes,2012,20.7 [18.2-23.4],Northern Europe,20.7
Male,2012,21.8 [18.0-25.9],Northern Europe,21.8
Female,2012,19.5 [16.1-23.0],Northern Europe,19.5
Both sexes,2013,21.1 [18.4-23.9],Northern Europe,21.1
Male,2013,22.2 [18.2-26.6],Northern Europe,22.2
