Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.8 [6.0-12.2],Western Europe,8.8
Male,1975,6.7 [3.6-11.0],Western Europe,6.7
Female,1975,10.7 [6.3-16.3],Western Europe,10.7
Both sexes,1976,9.1 [6.3-12.3],Western Europe,9.1
Male,1976,7.0 [3.9-11.2],Western Europe,7.0
Female,1976,10.9 [6.6-16.4],Western Europe,10.9
Both sexes,1977,9.3 [6.6-12.5],Western Europe,9.3
Male,1977,7.3 [4.2-11.4],Western Europe,7.3
Female,1977,11.1 [6.9-16.5],Western Europe,11.1
Both sexes,1978,9.5 [6.9-12.7],Western Europe,9.5
Male,1978,7.5 [4.5-11.5],Western Europe,7.5
Female,1978,11.4 [7.2-16.5],Western Europe,11.4
Both sexes,1979,9.8 [7.2-12.9],Western Europe,9.8
Male,1979,7.8 [4.8-11.7],Western Europe,7.8
Female,1979,11.6 [7.5-16.6],Western Europe,11.6
Both sexes,1980,10.0 [7.5-13.1],Western Europe,10.0
Male,1980,8.1 [5.0-11.9],Western Europe,8.1
Female,1980,11.8 [7.8-16.7],Western Europe,11.8
Both sexes,1981,10.3 [7.7-13.3],Western Europe,10.3
Male,1981,8.3 [5.3-12.2],Western Europe,8.3
Female,1981,12.0 [8.1-16.7],Western Europe,12.0
Both sexes,1982,10.5 [7.9-13.5],Western Europe,10.5
Male,1982,8.6 [5.6-12.3],Western Europe,8.6
Female,1982,12.2 [8.4-16.8],Western Europe,12.2
Both sexes,1983,10.7 [8.2-13.6],Western Europe,10.7
Male,1983,8.9 [5.8-12.6],Western Europe,8.9
Female,1983,12.4 [8.6-16.9],Western Europe,12.4
Both sexes,1984,11.0 [8.5-13.9],Western Europe,11.0
Male,1984,9.2 [6.1-12.9],Western Europe,9.2
Female,1984,12.6 [8.9-17.1],Western Europe,12.6
Both sexes,1985,11.2 [8.7-14.1],Western Europe,11.2
Male,1985,9.4 [6.4-13.2],Western Europe,9.4
Female,1985,12.9 [9.2-17.2],Western Europe,12.9
Both sexes,1986,11.5 [9.0-14.3],Western Europe,11.5
Male,1986,9.7 [6.7-13.5],Western Europe,9.7
Female,1986,13.1 [9.4-17.4],Western Europe,13.1
Both sexes,1987,11.8 [9.3-14.6],Western Europe,11.8
Male,1987,10.1 [6.9-13.8],Western Europe,10.1
Female,1987,13.3 [9.6-17.6],Western Europe,13.3
Both sexes,1988,12.0 [9.5-14.8],Western Europe,12.0
Male,1988,10.4 [7.2-14.1],Western Europe,10.4
Female,1988,13.5 [9.9-17.8],Western Europe,13.5
Both sexes,1989,12.3 [9.8-15.1],Western Europe,12.3
Male,1989,10.7 [7.5-14.5],Western Europe,10.7
Female,1989,13.8 [10.1-18.0],Western Europe,13.8
Both sexes,1990,12.6 [10.1-15.4],Western Europe,12.6
Male,1990,11.0 [7.8-14.9],Western Europe,11.0
Female,1990,14.0 [10.4-18.2],Western Europe,14.0
Both sexes,1991,12.9 [10.4-15.7],Western Europe,12.9
Male,1991,11.4 [8.1-15.3],Western Europe,11.4
Female,1991,14.3 [10.6-18.4],Western Europe,14.3
Both sexes,1992,13.2 [10.7-16.0],Western Europe,13.2
Male,1992,11.7 [8.4-15.6],Western Europe,11.7
Female,1992,14.5 [10.9-18.6],Western Europe,14.5
Both sexes,1993,13.5 [10.9-16.3],Western Europe,13.5
Male,1993,12.1 [8.7-16.1],Western Europe,12.1
Female,1993,14.8 [11.1-18.9],Western Europe,14.8
Both sexes,1994,13.8 [11.3-16.6],Western Europe,13.8
Male,1994,12.4 [9.0-16.5],Western Europe,12.4
Female,1994,15.0 [11.4-19.2],Western Europe,15.0
Both sexes,1995,14.1 [11.6-17.0],Western Europe,14.1
Male,1995,12.8 [9.3-16.9],Western Europe,12.8
Female,1995,15.3 [11.7-19.4],Western Europe,15.3
Both sexes,1996,14.5 [11.9-17.3],Western Europe,14.5
Male,1996,13.2 [9.7-17.2],Western Europe,13.2
Female,1996,15.6 [12.0-19.7],Western Europe,15.6
Both sexes,1997,14.8 [12.2-17.7],Western Europe,14.8
Male,1997,13.6 [10.0-17.7],Western Europe,13.6
Female,1997,15.9 [12.2-20.0],Western Europe,15.9
Both sexes,1998,15.1 [12.5-18.0],Western Europe,15.1
Male,1998,14.0 [10.3-18.2],Western Europe,14.0
Female,1998,16.1 [12.4-20.3],Western Europe,16.1
Both sexes,1999,15.5 [12.8-18.4],Western Europe,15.5
Male,1999,14.4 [10.7-18.6],Western Europe,14.4
Female,1999,16.4 [12.6-20.5],Western Europe,16.4
Both sexes,2000,15.8 [13.1-18.7],Western Europe,15.8
Male,2000,14.8 [11.1-19.0],Western Europe,14.8
Female,2000,16.7 [12.9-20.8],Western Europe,16.7
Both sexes,2001,16.2 [13.5-19.1],Western Europe,16.2
Male,2001,15.2 [11.4-19.5],Western Europe,15.2
Female,2001,17.0 [13.1-21.1],Western Europe,17.0
Both sexes,2002,16.5 [13.8-19.5],Western Europe,16.5
Male,2002,15.6 [11.8-19.9],Western Europe,15.6
Female,2002,17.3 [13.4-21.3],Western Europe,17.3
Both sexes,2003,16.9 [14.1-19.8],Western Europe,16.9
Male,2003,16.1 [12.2-20.3],Western Europe,16.1
Female,2003,17.5 [13.6-21.6],Western Europe,17.5
Both sexes,2004,17.2 [14.4-20.2],Western Europe,17.2
Male,2004,16.5 [12.5-20.8],Western Europe,16.5
Female,2004,17.8 [13.9-21.9],Western Europe,17.8
Both sexes,2005,17.6 [14.7-20.6],Western Europe,17.6
Male,2005,16.9 [12.9-21.3],Western Europe,16.9
Female,2005,18.1 [14.1-22.3],Western Europe,18.1
Both sexes,2006,17.9 [15.0-21.0],Western Europe,17.9
Male,2006,17.4 [13.3-21.8],Western Europe,17.4
Female,2006,18.4 [14.3-22.7],Western Europe,18.4
Both sexes,2007,18.3 [15.2-21.4],Western Europe,18.3
Male,2007,17.8 [13.6-22.3],Western Europe,17.8
Female,2007,18.6 [14.5-23.0],Western Europe,18.6
Both sexes,2008,18.6 [15.5-21.8],Western Europe,18.6
Male,2008,18.2 [14.0-22.9],Western Europe,18.2
Female,2008,18.9 [14.7-23.4],Western Europe,18.9
Both sexes,2009,19.0 [15.8-22.2],Western Europe,19.0
Male,2009,18.7 [14.2-23.4],Western Europe,18.7
Female,2009,19.2 [14.8-23.7],Western Europe,19.2
Both sexes,2010,19.3 [16.1-22.6],Western Europe,19.3
Male,2010,19.2 [14.6-24.1],Western Europe,19.2
Female,2010,19.5 [15.0-24.2],Western Europe,19.5
Both sexes,2011,19.7 [16.4-23.1],Western Europe,19.7
Male,2011,19.6 [14.9-24.7],Western Europe,19.6
Female,2011,19.7 [15.1-24.6],Western Europe,19.7
