Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.5 [3.5-10.4],Eastern Europe,6.5
Male,1975,4.3 [1.7-9.1],Eastern Europe,4.3
Female,1975,8.0 [3.6-14.3],Eastern Europe,8.0
Both sexes,1976,6.7 [3.8-10.5],Eastern Europe,6.7
Male,1976,4.5 [1.9-9.2],Eastern Europe,4.5
Female,1976,8.3 [3.8-14.5],Eastern Europe,8.3
Both sexes,1977,7.0 [4.0-10.7],Eastern Europe,7.0
Male,1977,4.7 [2.0-9.3],Eastern Europe,4.7
Female,1977,8.6 [4.1-14.7],Eastern Europe,8.6
Both sexes,1978,7.2 [4.2-10.9],Eastern Europe,7.2
Male,1978,5.0 [2.1-9.6],Eastern Europe,5.0
Female,1978,8.9 [4.4-15.0],Eastern Europe,8.9
Both sexes,1979,7.5 [4.5-11.2],Eastern Europe,7.5
Male,1979,5.2 [2.3-9.8],Eastern Europe,5.2
Female,1979,9.2 [4.7-15.2],Eastern Europe,9.2
Both sexes,1980,7.8 [4.8-11.4],Eastern Europe,7.8
Male,1980,5.4 [2.5-10.1],Eastern Europe,5.4
Female,1980,9.5 [5.0-15.5],Eastern Europe,9.5
Both sexes,1981,8.0 [5.0-11.8],Eastern Europe,8.0
Male,1981,5.7 [2.7-10.3],Eastern Europe,5.7
Female,1981,9.8 [5.3-15.8],Eastern Europe,9.8
Both sexes,1982,8.3 [5.3-12.0],Eastern Europe,8.3
Male,1982,5.9 [2.8-10.5],Eastern Europe,5.9
Female,1982,10.1 [5.6-16.1],Eastern Europe,10.1
Both sexes,1983,8.6 [5.5-12.3],Eastern Europe,8.6
Male,1983,6.2 [3.0-10.8],Eastern Europe,6.2
Female,1983,10.4 [5.9-16.3],Eastern Europe,10.4
Both sexes,1984,8.9 [5.8-12.6],Eastern Europe,8.9
Male,1984,6.4 [3.2-11.1],Eastern Europe,6.4
Female,1984,10.7 [6.2-16.6],Eastern Europe,10.7
Both sexes,1985,9.2 [6.1-12.9],Eastern Europe,9.2
Male,1985,6.7 [3.4-11.4],Eastern Europe,6.7
Female,1985,11.0 [6.5-16.9],Eastern Europe,11.0
Both sexes,1986,9.5 [6.3-13.2],Eastern Europe,9.5
Male,1986,7.0 [3.6-11.7],Eastern Europe,7.0
Female,1986,11.4 [6.8-17.1],Eastern Europe,11.4
Both sexes,1987,9.8 [6.6-13.5],Eastern Europe,9.8
Male,1987,7.3 [3.8-12.1],Eastern Europe,7.3
Female,1987,11.7 [7.1-17.4],Eastern Europe,11.7
Both sexes,1988,10.1 [6.9-13.8],Eastern Europe,10.1
Male,1988,7.6 [4.0-12.5],Eastern Europe,7.6
Female,1988,12.0 [7.3-17.8],Eastern Europe,12.0
Both sexes,1989,10.4 [7.2-14.2],Eastern Europe,10.4
Male,1989,7.8 [4.2-12.8],Eastern Europe,7.8
Female,1989,12.4 [7.6-18.0],Eastern Europe,12.4
Both sexes,1990,10.7 [7.5-14.5],Eastern Europe,10.7
Male,1990,8.1 [4.4-13.2],Eastern Europe,8.1
Female,1990,12.7 [8.0-18.4],Eastern Europe,12.7
Both sexes,1991,11.0 [7.7-14.8],Eastern Europe,11.0
Male,1991,8.4 [4.6-13.6],Eastern Europe,8.4
Female,1991,13.0 [8.2-18.7],Eastern Europe,13.0
Both sexes,1992,11.3 [8.0-15.1],Eastern Europe,11.3
Male,1992,8.7 [4.9-13.9],Eastern Europe,8.7
Female,1992,13.3 [8.5-19.1],Eastern Europe,13.3
Both sexes,1993,11.6 [8.3-15.4],Eastern Europe,11.6
Male,1993,9.0 [5.1-14.3],Eastern Europe,9.0
Female,1993,13.6 [8.8-19.3],Eastern Europe,13.6
Both sexes,1994,11.9 [8.6-15.7],Eastern Europe,11.9
Male,1994,9.3 [5.3-14.6],Eastern Europe,9.3
Female,1994,14.0 [9.1-19.7],Eastern Europe,14.0
Both sexes,1995,12.2 [8.8-15.9],Eastern Europe,12.2
Male,1995,9.6 [5.5-15.0],Eastern Europe,9.6
Female,1995,14.3 [9.4-19.9],Eastern Europe,14.3
Both sexes,1996,12.5 [9.1-16.3],Eastern Europe,12.5
Male,1996,9.9 [5.8-15.4],Eastern Europe,9.9
Female,1996,14.6 [9.7-20.2],Eastern Europe,14.6
Both sexes,1997,12.8 [9.3-16.6],Eastern Europe,12.8
Male,1997,10.2 [6.0-15.7],Eastern Europe,10.2
Female,1997,14.9 [10.0-20.5],Eastern Europe,14.9
Both sexes,1998,13.1 [9.6-16.9],Eastern Europe,13.1
Male,1998,10.5 [6.3-16.1],Eastern Europe,10.5
Female,1998,15.2 [10.3-20.8],Eastern Europe,15.2
Both sexes,1999,13.4 [9.9-17.2],Eastern Europe,13.4
Male,1999,10.8 [6.5-16.5],Eastern Europe,10.8
Female,1999,15.5 [10.6-21.0],Eastern Europe,15.5
Both sexes,2000,13.7 [10.2-17.5],Eastern Europe,13.7
Male,2000,11.1 [6.8-16.8],Eastern Europe,11.1
Female,2000,15.9 [10.9-21.4],Eastern Europe,15.9
Both sexes,2001,14.1 [10.6-17.9],Eastern Europe,14.1
Male,2001,11.5 [7.1-17.2],Eastern Europe,11.5
Female,2001,16.2 [11.2-21.8],Eastern Europe,16.2
Both sexes,2002,14.5 [10.9-18.3],Eastern Europe,14.5
Male,2002,11.8 [7.4-17.5],Eastern Europe,11.8
Female,2002,16.6 [11.6-22.2],Eastern Europe,16.6
Both sexes,2003,14.9 [11.3-18.7],Eastern Europe,14.9
Male,2003,12.2 [7.7-17.9],Eastern Europe,12.2
Female,2003,17.0 [12.0-22.6],Eastern Europe,17.0
Both sexes,2004,15.3 [11.7-19.1],Eastern Europe,15.3
Male,2004,12.6 [8.1-18.3],Eastern Europe,12.6
Female,2004,17.4 [12.3-23.0],Eastern Europe,17.4
Both sexes,2005,15.7 [12.1-19.5],Eastern Europe,15.7
Male,2005,13.0 [8.4-18.7],Eastern Europe,13.0
Female,2005,17.8 [12.8-23.5],Eastern Europe,17.8
Both sexes,2006,16.1 [12.5-20.0],Eastern Europe,16.1
Male,2006,13.5 [8.8-19.2],Eastern Europe,13.5
Female,2006,18.3 [13.1-23.9],Eastern Europe,18.3
Both sexes,2007,16.6 [13.0-20.5],Eastern Europe,16.6
Male,2007,14.0 [9.2-19.8],Eastern Europe,14.0
Female,2007,18.8 [13.6-24.4],Eastern Europe,18.8
Both sexes,2008,17.1 [13.4-21.1],Eastern Europe,17.1
Male,2008,14.5 [9.5-20.3],Eastern Europe,14.5
Female,2008,19.2 [14.0-25.0],Eastern Europe,19.2
Both sexes,2009,17.6 [13.9-21.7],Eastern Europe,17.6
Male,2009,15.0 [10.0-20.8],Eastern Europe,15.0
Female,2009,19.8 [14.4-25.5],Eastern Europe,19.8
Both sexes,2010,18.2 [14.3-22.3],Eastern Europe,18.2
Male,2010,15.5 [10.5-21.5],Eastern Europe,15.5
Female,2010,20.3 [14.8-26.2],Eastern Europe,20.3
Both sexes,2011,18.7 [14.8-22.9],Eastern Europe,18.7
Male,2011,16.1 [10.9-22.2],Eastern Europe,16.1
Female,2011,20.8 [15.2-26.9],Eastern Europe,20.8
Both sexes,2012,19.3 [15.3-23.6],Eastern Europe,19.3
Male,2012,16.6 [11.3-22.9],Eastern Europe,16.6
Female,2012,21.4 [15.6-27.6],Eastern Europe,21.4
Both sexes,2013,19.9 [15.7-24.3],Eastern Europe,19.9
