Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.0 [6.7-11.5],Northern Europe,9.0
Male,1975,7.6 [4.8-11.1],Northern Europe,7.6
Female,1975,9.8 [6.6-13.7],Northern Europe,9.8
Both sexes,1976,9.2 [7.0-11.6],Northern Europe,9.2
Male,1976,7.9 [5.2-11.2],Northern Europe,7.9
Female,1976,10.0 [6.9-13.7],Northern Europe,10.0
Both sexes,1977,9.4 [7.3-11.7],Northern Europe,9.4
Male,1977,8.1 [5.5-11.3],Northern Europe,8.1
Female,1977,10.2 [7.2-13.6],Northern Europe,10.2
Both sexes,1978,9.6 [7.6-11.8],Northern Europe,9.6
Male,1978,8.4 [5.8-11.4],Northern Europe,8.4
Female,1978,10.4 [7.5-13.6],Northern Europe,10.4
Both sexes,1979,9.8 [7.9-12.0],Northern Europe,9.8
Male,1979,8.7 [6.2-11.6],Northern Europe,8.7
Female,1979,10.5 [7.8-13.7],Northern Europe,10.5
Both sexes,1980,10.1 [8.2-12.1],Northern Europe,10.1
Male,1980,9.0 [6.5-11.7],Northern Europe,9.0
Female,1980,10.7 [8.1-13.7],Northern Europe,10.7
Both sexes,1981,10.3 [8.5-12.3],Northern Europe,10.3
Male,1981,9.3 [6.9-11.9],Northern Europe,9.3
Female,1981,10.9 [8.3-13.8],Northern Europe,10.9
Both sexes,1982,10.6 [8.8-12.5],Northern Europe,10.6
Male,1982,9.6 [7.2-12.2],Northern Europe,9.6
Female,1982,11.1 [8.6-13.9],Northern Europe,11.1
Both sexes,1983,10.8 [9.1-12.7],Northern Europe,10.8
Male,1983,9.9 [7.6-12.4],Northern Europe,9.9
Female,1983,11.3 [8.9-14.0],Northern Europe,11.3
Both sexes,1984,11.1 [9.4-12.9],Northern Europe,11.1
Male,1984,10.2 [7.9-12.7],Northern Europe,10.2
Female,1984,11.6 [9.2-14.1],Northern Europe,11.6
Both sexes,1985,11.3 [9.7-13.1],Northern Europe,11.3
Male,1985,10.5 [8.2-13.0],Northern Europe,10.5
Female,1985,11.8 [9.5-14.3],Northern Europe,11.8
Both sexes,1986,11.6 [10.0-13.4],Northern Europe,11.6
Male,1986,10.8 [8.6-13.3],Northern Europe,10.8
Female,1986,12.0 [9.8-14.5],Northern Europe,12.0
Both sexes,1987,11.9 [10.3-13.6],Northern Europe,11.9
Male,1987,11.2 [8.9-13.7],Northern Europe,11.2
Female,1987,12.2 [10.1-14.7],Northern Europe,12.2
Both sexes,1988,12.2 [10.6-13.9],Northern Europe,12.2
Male,1988,11.6 [9.2-14.0],Northern Europe,11.6
Female,1988,12.5 [10.3-14.9],Northern Europe,12.5
Both sexes,1989,12.5 [10.9-14.2],Northern Europe,12.5
Male,1989,11.9 [9.6-14.4],Northern Europe,11.9
Female,1989,12.7 [10.6-15.1],Northern Europe,12.7
Both sexes,1990,12.8 [11.2-14.6],Northern Europe,12.8
Male,1990,12.3 [10.0-14.9],Northern Europe,12.3
Female,1990,13.0 [10.9-15.4],Northern Europe,13.0
Both sexes,1991,13.2 [11.6-14.9],Northern Europe,13.2
Male,1991,12.7 [10.3-15.3],Northern Europe,12.7
Female,1991,13.3 [11.1-15.6],Northern Europe,13.3
