Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.5 [0.7-2.8],West Africa,1.5
Male,1975,0.4 [0.1-1.0],West Africa,0.4
Female,1975,2.7 [1.1-5.1],West Africa,2.7
Both sexes,1976,1.6 [0.8-2.8],West Africa,1.6
Male,1976,0.4 [0.1-1.0],West Africa,0.4
Female,1976,2.8 [1.2-5.2],West Africa,2.8
Both sexes,1977,1.7 [0.8-2.9],West Africa,1.7
Male,1977,0.4 [0.1-1.1],West Africa,0.4
Female,1977,2.9 [1.3-5.3],West Africa,2.9
Both sexes,1978,1.8 [0.9-3.0],West Africa,1.8
Male,1978,0.4 [0.1-1.1],West Africa,0.4
Female,1978,3.1 [1.5-5.4],West Africa,3.1
Both sexes,1979,1.8 [1.0-3.0],West Africa,1.8
Male,1979,0.5 [0.1-1.1],West Africa,0.5
Female,1979,3.2 [1.6-5.6],West Africa,3.2
Both sexes,1980,1.9 [1.1-3.1],West Africa,1.9
Male,1980,0.5 [0.2-1.1],West Africa,0.5
Female,1980,3.4 [1.7-5.7],West Africa,3.4
Both sexes,1981,2.0 [1.2-3.2],West Africa,2.0
Male,1981,0.5 [0.2-1.2],West Africa,0.5
Female,1981,3.5 [1.9-5.8],West Africa,3.5
Both sexes,1982,2.1 [1.2-3.3],West Africa,2.1
Male,1982,0.5 [0.2-1.2],West Africa,0.5
Female,1982,3.7 [2.0-5.9],West Africa,3.7
Both sexes,1983,2.2 [1.3-3.4],West Africa,2.2
Male,1983,0.6 [0.2-1.3],West Africa,0.6
Female,1983,3.8 [2.2-6.1],West Africa,3.8
Both sexes,1984,2.3 [1.4-3.5],West Africa,2.3
Male,1984,0.6 [0.2-1.3],West Africa,0.6
Female,1984,4.0 [2.3-6.3],West Africa,4.0
Both sexes,1985,2.5 [1.5-3.7],West Africa,2.5
Male,1985,0.7 [0.3-1.4],West Africa,0.7
Female,1985,4.2 [2.5-6.5],West Africa,4.2
Both sexes,1986,2.6 [1.7-3.8],West Africa,2.6
Male,1986,0.7 [0.3-1.4],West Africa,0.7
Female,1986,4.4 [2.7-6.8],West Africa,4.4
Both sexes,1987,2.7 [1.8-3.9],West Africa,2.7
Male,1987,0.8 [0.3-1.5],West Africa,0.8
Female,1987,4.7 [2.9-7.0],West Africa,4.7
Both sexes,1988,2.9 [1.9-4.1],West Africa,2.9
Male,1988,0.8 [0.4-1.6],West Africa,0.8
Female,1988,4.9 [3.1-7.3],West Africa,4.9
Both sexes,1989,3.0 [2.0-4.3],West Africa,3.0
Male,1989,0.9 [0.4-1.7],West Africa,0.9
Female,1989,5.2 [3.3-7.6],West Africa,5.2
Both sexes,1990,3.2 [2.2-4.5],West Africa,3.2
Male,1990,0.9 [0.4-1.8],West Africa,0.9
Female,1990,5.4 [3.6-7.9],West Africa,5.4
Both sexes,1991,3.4 [2.3-4.6],West Africa,3.4
Male,1991,1.0 [0.5-1.8],West Africa,1.0
Female,1991,5.7 [3.8-8.2],West Africa,5.7
Both sexes,1992,3.6 [2.5-4.9],West Africa,3.6
Male,1992,1.1 [0.5-2.0],West Africa,1.1
Female,1992,6.0 [4.1-8.5],West Africa,6.0
Both sexes,1993,3.8 [2.7-5.1],West Africa,3.8
Male,1993,1.2 [0.6-2.1],West Africa,1.2
Female,1993,6.4 [4.3-8.9],West Africa,6.4
Both sexes,1994,4.0 [2.9-5.3],West Africa,4.0
Male,1994,1.2 [0.6-2.2],West Africa,1.2
Female,1994,6.7 [4.6-9.3],West Africa,6.7
Both sexes,1995,4.2 [3.1-5.6],West Africa,4.2
Male,1995,1.3 [0.7-2.3],West Africa,1.3
Female,1995,7.1 [4.9-9.7],West Africa,7.1
Both sexes,1996,4.4 [3.3-5.9],West Africa,4.4
Male,1996,1.4 [0.8-2.5],West Africa,1.4
Female,1996,7.4 [5.2-10.1],West Africa,7.4
Both sexes,1997,4.7 [3.5-6.1],West Africa,4.7
Male,1997,1.5 [0.8-2.6],West Africa,1.5
Female,1997,7.8 [5.6-10.5],West Africa,7.8
Both sexes,1998,4.9 [3.7-6.4],West Africa,4.9
Male,1998,1.6 [0.9-2.7],West Africa,1.6
Female,1998,8.2 [5.9-10.9],West Africa,8.2
Both sexes,1999,5.2 [4.0-6.7],West Africa,5.2
Male,1999,1.7 [1.0-2.9],West Africa,1.7
Female,1999,8.6 [6.3-11.4],West Africa,8.6
Both sexes,2000,5.5 [4.2-7.0],West Africa,5.5
Male,2000,1.9 [1.1-3.0],West Africa,1.9
Female,2000,9.0 [6.7-11.9],West Africa,9.0
Both sexes,2001,5.8 [4.5-7.3],West Africa,5.8
Male,2001,2.0 [1.1-3.2],West Africa,2.0
Female,2001,9.4 [7.0-12.4],West Africa,9.4
Both sexes,2002,6.1 [4.7-7.6],West Africa,6.1
Male,2002,2.1 [1.2-3.3],West Africa,2.1
Female,2002,9.9 [7.4-12.8],West Africa,9.9
Both sexes,2003,6.4 [5.0-8.0],West Africa,6.4
Male,2003,2.2 [1.3-3.5],West Africa,2.2
Female,2003,10.3 [7.8-13.3],West Africa,10.3
Both sexes,2004,6.7 [5.3-8.3],West Africa,6.7
Male,2004,2.4 [1.4-3.7],West Africa,2.4
Female,2004,10.8 [8.3-13.8],West Africa,10.8
Both sexes,2005,7.0 [5.6-8.7],West Africa,7.0
Male,2005,2.5 [1.5-3.9],West Africa,2.5
Female,2005,11.2 [8.7-14.3],West Africa,11.2
