Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.8 [6.5-13.9],Balkans,9.8
Male,1975,6.8 [3.4-11.6],Balkans,6.8
Female,1975,12.6 [7.3-19.5],Balkans,12.6
Both sexes,1976,10.2 [6.9-14.2],Balkans,10.2
Male,1976,7.1 [3.7-11.9],Balkans,7.1
Female,1976,12.9 [7.8-19.8],Balkans,12.9
Both sexes,1977,10.5 [7.3-14.4],Balkans,10.5
Male,1977,7.4 [3.9-12.1],Balkans,7.4
Female,1977,13.3 [8.3-19.9],Balkans,13.3
Both sexes,1978,10.8 [7.6-14.7],Balkans,10.8
Male,1978,7.7 [4.2-12.4],Balkans,7.7
Female,1978,13.6 [8.6-20.1],Balkans,13.6
Both sexes,1979,11.2 [8.0-14.9],Balkans,11.2
Male,1979,8.0 [4.6-12.7],Balkans,8.0
Female,1979,14.0 [9.1-20.3],Balkans,14.0
Both sexes,1980,11.5 [8.4-15.1],Balkans,11.5
Male,1980,8.4 [4.8-13.0],Balkans,8.4
Female,1980,14.3 [9.4-20.5],Balkans,14.3
Both sexes,1981,11.8 [8.7-15.4],Balkans,11.8
Male,1981,8.7 [5.2-13.3],Balkans,8.7
Female,1981,14.7 [9.8-20.7],Balkans,14.7
Both sexes,1982,12.2 [9.1-15.7],Balkans,12.2
Male,1982,9.0 [5.4-13.6],Balkans,9.0
Female,1982,15.0 [10.2-21.0],Balkans,15.0
Both sexes,1983,12.5 [9.4-16.1],Balkans,12.5
Male,1983,9.4 [5.7-13.9],Balkans,9.4
Female,1983,15.4 [10.6-21.3],Balkans,15.4
Both sexes,1984,12.9 [9.8-16.4],Balkans,12.9
Male,1984,9.7 [6.0-14.2],Balkans,9.7
Female,1984,15.7 [11.0-21.6],Balkans,15.7
Both sexes,1985,13.2 [10.1-16.7],Balkans,13.2
Male,1985,10.1 [6.3-14.6],Balkans,10.1
Female,1985,16.0 [11.4-21.8],Balkans,16.0
Both sexes,1986,13.6 [10.5-17.1],Balkans,13.6
Male,1986,10.4 [6.6-15.0],Balkans,10.4
Female,1986,16.4 [11.7-22.1],Balkans,16.4
Both sexes,1987,13.9 [10.8-17.3],Balkans,13.9
Male,1987,10.8 [7.0-15.3],Balkans,10.8
Female,1987,16.7 [12.1-22.4],Balkans,16.7
Both sexes,1988,14.2 [11.2-17.7],Balkans,14.2
Male,1988,11.2 [7.3-15.8],Balkans,11.2
Female,1988,17.0 [12.4-22.6],Balkans,17.0
Both sexes,1989,14.6 [11.4-18.0],Balkans,14.6
Male,1989,11.6 [7.6-16.2],Balkans,11.6
Female,1989,17.4 [12.7-22.9],Balkans,17.4
Both sexes,1990,14.9 [11.8-18.4],Balkans,14.9
Male,1990,11.9 [7.9-16.6],Balkans,11.9
Female,1990,17.7 [13.0-23.2],Balkans,17.7
Both sexes,1991,15.3 [12.1-18.8],Balkans,15.3
Male,1991,12.3 [8.3-17.1],Balkans,12.3
Female,1991,18.0 [13.3-23.5],Balkans,18.0
Both sexes,1992,15.6 [12.4-19.2],Balkans,15.6
Male,1992,12.7 [8.6-17.5],Balkans,12.7
Female,1992,18.3 [13.6-23.9],Balkans,18.3
Both sexes,1993,16.0 [12.8-19.6],Balkans,16.0
Male,1993,13.1 [8.9-17.9],Balkans,13.1
Female,1993,18.7 [13.9-24.2],Balkans,18.7
Both sexes,1994,16.4 [13.1-19.9],Balkans,16.4
Male,1994,13.5 [9.3-18.5],Balkans,13.5
Female,1994,19.0 [14.2-24.5],Balkans,19.0
Both sexes,1995,16.7 [13.5-20.3],Balkans,16.7
Male,1995,13.9 [9.6-18.9],Balkans,13.9
Female,1995,19.3 [14.5-24.8],Balkans,19.3
