Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.9 [3.2-9.9],Caribbean,5.9
Male,1975,2.2 [0.7-5.0],Caribbean,2.2
Female,1975,8.8 [4.2-15.7],Caribbean,8.8
Both sexes,1976,6.1 [3.4-10.0],Caribbean,6.1
Male,1976,2.3 [0.8-5.1],Caribbean,2.3
Female,1976,9.1 [4.5-15.9],Caribbean,9.1
Both sexes,1977,6.3 [3.6-10.1],Caribbean,6.3
Male,1977,2.4 [0.9-5.2],Caribbean,2.4
Female,1977,9.4 [4.8-16.1],Caribbean,9.4
Both sexes,1978,6.5 [3.8-10.3],Caribbean,6.5
Male,1978,2.5 [0.9-5.3],Caribbean,2.5
Female,1978,9.7 [5.1-16.3],Caribbean,9.7
Both sexes,1979,6.7 [4.0-10.5],Caribbean,6.7
Male,1979,2.7 [1.0-5.4],Caribbean,2.7
Female,1979,10.0 [5.4-16.5],Caribbean,10.0
Both sexes,1980,6.9 [4.2-10.7],Caribbean,6.9
Male,1980,2.8 [1.1-5.6],Caribbean,2.8
Female,1980,10.3 [5.7-16.7],Caribbean,10.3
Both sexes,1981,7.2 [4.4-10.9],Caribbean,7.2
Male,1981,2.9 [1.2-5.7],Caribbean,2.9
Female,1981,10.6 [6.0-16.9],Caribbean,10.6
Both sexes,1982,7.4 [4.7-11.1],Caribbean,7.4
Male,1982,3.0 [1.3-5.8],Caribbean,3.0
Female,1982,11.0 [6.4-17.2],Caribbean,11.0
Both sexes,1983,7.7 [4.9-11.4],Caribbean,7.7
Male,1983,3.2 [1.4-6.0],Caribbean,3.2
Female,1983,11.3 [6.7-17.6],Caribbean,11.3
Both sexes,1984,7.9 [5.2-11.6],Caribbean,7.9
Male,1984,3.3 [1.5-6.2],Caribbean,3.3
Female,1984,11.7 [7.0-17.9],Caribbean,11.7
Both sexes,1985,8.2 [5.4-11.9],Caribbean,8.2
Male,1985,3.5 [1.6-6.4],Caribbean,3.5
Female,1985,12.1 [7.4-18.3],Caribbean,12.1
Both sexes,1986,8.5 [5.7-12.1],Caribbean,8.5
Male,1986,3.7 [1.7-6.6],Caribbean,3.7
Female,1986,12.5 [7.7-18.7],Caribbean,12.5
Both sexes,1987,8.7 [5.9-12.3],Caribbean,8.7
Male,1987,3.8 [1.8-6.9],Caribbean,3.8
Female,1987,12.9 [8.1-19.1],Caribbean,12.9
Both sexes,1988,9.0 [6.2-12.6],Caribbean,9.0
Male,1988,4.0 [1.9-7.1],Caribbean,4.0
Female,1988,13.3 [8.4-19.5],Caribbean,13.3
Both sexes,1989,9.2 [6.4-12.8],Caribbean,9.2
Male,1989,4.2 [2.0-7.3],Caribbean,4.2
Female,1989,13.7 [8.8-19.9],Caribbean,13.7
Both sexes,1990,9.5 [6.7-13.1],Caribbean,9.5
Male,1990,4.4 [2.2-7.6],Caribbean,4.4
Female,1990,14.1 [9.1-20.3],Caribbean,14.1
Both sexes,1991,9.8 [6.9-13.4],Caribbean,9.8
Male,1991,4.6 [2.3-7.9],Caribbean,4.6
Female,1991,14.5 [9.5-20.8],Caribbean,14.5
Both sexes,1992,10.2 [7.2-13.8],Caribbean,10.2
Male,1992,4.8 [2.4-8.2],Caribbean,4.8
Female,1992,15.0 [9.9-21.2],Caribbean,15.0
Both sexes,1993,10.6 [7.5-14.2],Caribbean,10.6
Male,1993,5.1 [2.6-8.5],Caribbean,5.1
Female,1993,15.5 [10.3-21.7],Caribbean,15.5
Both sexes,1994,10.9 [7.9-14.6],Caribbean,10.9
Male,1994,5.3 [2.8-8.9],Caribbean,5.3
Female,1994,16.0 [10.7-22.2],Caribbean,16.0
Both sexes,1995,11.3 [8.2-15.0],Caribbean,11.3
Male,1995,5.6 [2.9-9.2],Caribbean,5.6
Female,1995,16.5 [11.2-22.8],Caribbean,16.5
Both sexes,1996,11.7 [8.6-15.5],Caribbean,11.7
Male,1996,5.8 [3.1-9.6],Caribbean,5.8
Female,1996,17.0 [11.7-23.4],Caribbean,17.0
Both sexes,1997,12.1 [8.9-15.9],Caribbean,12.1
Male,1997,6.1 [3.3-9.9],Caribbean,6.1
Female,1997,17.6 [12.2-23.9],Caribbean,17.6
Both sexes,1998,12.6 [9.3-16.4],Caribbean,12.6
Male,1998,6.4 [3.5-10.3],Caribbean,6.4
Female,1998,18.1 [12.6-24.5],Caribbean,18.1
Both sexes,1999,13.0 [9.7-16.9],Caribbean,13.0
Male,1999,6.7 [3.8-10.7],Caribbean,6.7
Female,1999,18.7 [13.2-25.1],Caribbean,18.7
Both sexes,2000,13.5 [10.1-17.4],Caribbean,13.5
Male,2000,7.1 [4.0-11.1],Caribbean,7.1
Female,2000,19.3 [13.7-25.8],Caribbean,19.3
Both sexes,2001,13.9 [10.5-17.8],Caribbean,13.9
Male,2001,7.4 [4.2-11.5],Caribbean,7.4
Female,2001,19.9 [14.2-26.4],Caribbean,19.9
Both sexes,2002,14.4 [10.9-18.4],Caribbean,14.4
Male,2002,7.7 [4.4-11.9],Caribbean,7.7
Female,2002,20.5 [14.7-27.0],Caribbean,20.5
Both sexes,2003,14.8 [11.3-18.9],Caribbean,14.8
Male,2003,8.1 [4.7-12.3],Caribbean,8.1
Female,2003,21.1 [15.3-27.5],Caribbean,21.1
Both sexes,2004,15.3 [11.7-19.4],Caribbean,15.3
Male,2004,8.4 [4.9-12.8],Caribbean,8.4
Female,2004,21.7 [15.7-28.2],Caribbean,21.7
Both sexes,2005,15.7 [12.1-19.8],Caribbean,15.7
Male,2005,8.8 [5.2-13.3],Caribbean,8.8
Female,2005,22.2 [16.2-28.8],Caribbean,22.2
Both sexes,2006,16.2 [12.5-20.4],Caribbean,16.2
Male,2006,9.1 [5.5-13.8],Caribbean,9.1
Female,2006,22.8 [16.7-29.6],Caribbean,22.8
Both sexes,2007,16.7 [12.9-20.9],Caribbean,16.7
Male,2007,9.5 [5.8-14.2],Caribbean,9.5
Female,2007,23.4 [17.2-30.3],Caribbean,23.4
Both sexes,2008,17.1 [13.3-21.4],Caribbean,17.1
Male,2008,9.9 [6.0-14.8],Caribbean,9.9
Female,2008,24.0 [17.6-31.0],Caribbean,24.0
Both sexes,2009,17.6 [13.6-22.0],Caribbean,17.6
Male,2009,10.3 [6.3-15.3],Caribbean,10.3
