Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.1 [2.7-8.3],Central America,5.1
Male,1975,2.5 [0.8-5.5],Central America,2.5
Female,1975,7.7 [3.5-13.7],Central America,7.7
Both sexes,1976,5.3 [2.9-8.4],Central America,5.3
Male,1976,2.6 [0.9-5.7],Central America,2.6
Female,1976,8.0 [3.8-13.8],Central America,8.0
Both sexes,1977,5.5 [3.1-8.5],Central America,5.5
Male,1977,2.7 [1.0-5.8],Central America,2.7
Female,1977,8.2 [4.0-14.0],Central America,8.2
Both sexes,1978,5.7 [3.3-8.6],Central America,5.7
Male,1978,2.9 [1.1-5.9],Central America,2.9
Female,1978,8.5 [4.3-14.1],Central America,8.5
Both sexes,1979,5.9 [3.5-8.8],Central America,5.9
Male,1979,3.0 [1.2-6.1],Central America,3.0
Female,1979,8.8 [4.6-14.3],Central America,8.8
Both sexes,1980,6.1 [3.7-9.0],Central America,6.1
Male,1980,3.1 [1.3-6.2],Central America,3.1
Female,1980,9.0 [4.9-14.5],Central America,9.0
Both sexes,1981,6.3 [3.9-9.2],Central America,6.3
Male,1981,3.3 [1.4-6.4],Central America,3.3
Female,1981,9.3 [5.2-14.7],Central America,9.3
Both sexes,1982,6.6 [4.2-9.4],Central America,6.6
Male,1982,3.5 [1.5-6.6],Central America,3.5
Female,1982,9.7 [5.5-14.9],Central America,9.7
Both sexes,1983,6.8 [4.4-9.7],Central America,6.8
Male,1983,3.6 [1.6-6.8],Central America,3.6
Female,1983,10.0 [5.9-15.2],Central America,10.0
Both sexes,1984,7.1 [4.7-9.9],Central America,7.1
Male,1984,3.8 [1.8-7.1],Central America,3.8
Female,1984,10.3 [6.2-15.5],Central America,10.3
Both sexes,1985,7.3 [4.9-10.2],Central America,7.3
Male,1985,4.0 [1.9-7.3],Central America,4.0
Female,1985,10.7 [6.6-15.7],Central America,10.7
Both sexes,1986,7.6 [5.2-10.5],Central America,7.6
Male,1986,4.2 [2.0-7.5],Central America,4.2
Female,1986,11.0 [6.9-16.1],Central America,11.0
Both sexes,1987,7.9 [5.5-10.8],Central America,7.9
Male,1987,4.4 [2.2-7.8],Central America,4.4
Female,1987,11.4 [7.3-16.5],Central America,11.4
Both sexes,1988,8.2 [5.8-11.1],Central America,8.2
Male,1988,4.7 [2.3-8.1],Central America,4.7
Female,1988,11.8 [7.7-16.8],Central America,11.8
Both sexes,1989,8.6 [6.1-11.5],Central America,8.6
Male,1989,4.9 [2.5-8.4],Central America,4.9
Female,1989,12.2 [8.0-17.2],Central America,12.2
Both sexes,1990,8.9 [6.4-11.8],Central America,8.9
Male,1990,5.2 [2.6-8.7],Central America,5.2
Female,1990,12.6 [8.4-17.6],Central America,12.6
Both sexes,1991,9.3 [6.7-12.2],Central America,9.3
Male,1991,5.4 [2.8-9.0],Central America,5.4
Female,1991,13.0 [8.8-18.0],Central America,13.0
Both sexes,1992,9.6 [7.1-12.6],Central America,9.6
Male,1992,5.7 [3.0-9.4],Central America,5.7
Female,1992,13.5 [9.3-18.4],Central America,13.5
Both sexes,1993,10.0 [7.4-13.0],Central America,10.0
Male,1993,6.0 [3.2-9.7],Central America,6.0
Female,1993,13.9 [9.7-18.8],Central America,13.9
