Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.9 [0.3-1.9],West Africa,0.9
Male,1975,0.3 [0.1-0.9],West Africa,0.3
Female,1975,1.5 [0.5-3.3],West Africa,1.5
Both sexes,1976,0.9 [0.4-1.9],West Africa,0.9
Male,1976,0.3 [0.1-0.9],West Africa,0.3
Female,1976,1.5 [0.5-3.4],West Africa,1.5
Both sexes,1977,1.0 [0.4-2.0],West Africa,1.0
Male,1977,0.3 [0.1-1.0],West Africa,0.3
Female,1977,1.6 [0.6-3.4],West Africa,1.6
Both sexes,1978,1.0 [0.4-2.0],West Africa,1.0
Male,1978,0.3 [0.1-1.0],West Africa,0.3
Female,1978,1.7 [0.6-3.5],West Africa,1.7
Both sexes,1979,1.1 [0.5-2.1],West Africa,1.1
Male,1979,0.4 [0.1-1.0],West Africa,0.4
Female,1979,1.8 [0.7-3.6],West Africa,1.8
Both sexes,1980,1.2 [0.5-2.2],West Africa,1.2
Male,1980,0.4 [0.1-1.0],West Africa,0.4
Female,1980,1.9 [0.7-3.7],West Africa,1.9
Both sexes,1981,1.2 [0.6-2.2],West Africa,1.2
Male,1981,0.4 [0.1-1.1],West Africa,0.4
Female,1981,2.0 [0.8-3.9],West Africa,2.0
Both sexes,1982,1.3 [0.6-2.3],West Africa,1.3
Male,1982,0.4 [0.1-1.1],West Africa,0.4
Female,1982,2.1 [0.9-4.0],West Africa,2.1
Both sexes,1983,1.4 [0.7-2.4],West Africa,1.4
Male,1983,0.5 [0.1-1.2],West Africa,0.5
Female,1983,2.3 [1.0-4.2],West Africa,2.3
Both sexes,1984,1.5 [0.8-2.6],West Africa,1.5
Male,1984,0.5 [0.1-1.2],West Africa,0.5
Female,1984,2.4 [1.1-4.4],West Africa,2.4
Both sexes,1985,1.6 [0.8-2.7],West Africa,1.6
Male,1985,0.5 [0.2-1.3],West Africa,0.5
Female,1985,2.6 [1.2-4.6],West Africa,2.6
Both sexes,1986,1.7 [0.9-2.9],West Africa,1.7
Male,1986,0.6 [0.2-1.4],West Africa,0.6
Female,1986,2.7 [1.3-4.9],West Africa,2.7
Both sexes,1987,1.8 [1.0-3.0],West Africa,1.8
Male,1987,0.6 [0.2-1.5],West Africa,0.6
Female,1987,2.9 [1.4-5.1],West Africa,2.9
Both sexes,1988,2.0 [1.1-3.2],West Africa,2.0
Male,1988,0.7 [0.2-1.6],West Africa,0.7
Female,1988,3.2 [1.6-5.4],West Africa,3.2
Both sexes,1989,2.1 [1.2-3.4],West Africa,2.1
Male,1989,0.8 [0.3-1.7],West Africa,0.8
Female,1989,3.4 [1.7-5.7],West Africa,3.4
Both sexes,1990,2.3 [1.3-3.6],West Africa,2.3
Male,1990,0.8 [0.3-1.8],West Africa,0.8
Female,1990,3.6 [1.9-6.1],West Africa,3.6
Both sexes,1991,2.5 [1.4-3.8],West Africa,2.5
Male,1991,0.9 [0.3-1.9],West Africa,0.9
Female,1991,3.9 [2.0-6.4],West Africa,3.9
Both sexes,1992,2.6 [1.6-4.1],West Africa,2.6
Male,1992,1.0 [0.4-2.0],West Africa,1.0
Female,1992,4.1 [2.2-6.7],West Africa,4.1
Both sexes,1993,2.8 [1.7-4.3],West Africa,2.8
Male,1993,1.1 [0.4-2.2],West Africa,1.1
Female,1993,4.4 [2.4-7.1],West Africa,4.4
Both sexes,1994,3.0 [1.8-4.5],West Africa,3.0
Male,1994,1.2 [0.5-2.3],West Africa,1.2
Female,1994,4.7 [2.6-7.5],West Africa,4.7
Both sexes,1995,3.2 [2.0-4.8],West Africa,3.2
Male,1995,1.3 [0.5-2.5],West Africa,1.3
Female,1995,5.0 [2.8-7.9],West Africa,5.0
Both sexes,1996,3.4 [2.1-5.0],West Africa,3.4
Male,1996,1.4 [0.6-2.6],West Africa,1.4
Female,1996,5.3 [3.0-8.3],West Africa,5.3
Both sexes,1997,3.6 [2.3-5.3],West Africa,3.6
Male,1997,1.5 [0.6-2.8],West Africa,1.5
Female,1997,5.6 [3.3-8.7],West Africa,5.6
Both sexes,1998,3.8 [2.5-5.6],West Africa,3.8
Male,1998,1.6 [0.7-3.0],West Africa,1.6
Female,1998,5.9 [3.5-9.1],West Africa,5.9
Both sexes,1999,4.1 [2.6-5.9],West Africa,4.1
Male,1999,1.7 [0.7-3.2],West Africa,1.7
Female,1999,6.3 [3.8-9.6],West Africa,6.3
Both sexes,2000,4.3 [2.8-6.2],West Africa,4.3
Male,2000,1.8 [0.8-3.4],West Africa,1.8
Female,2000,6.6 [4.0-10.0],West Africa,6.6
Both sexes,2001,4.5 [3.0-6.5],West Africa,4.5
Male,2001,2.0 [0.9-3.6],West Africa,2.0
Female,2001,7.0 [4.3-10.4],West Africa,7.0
Both sexes,2002,4.8 [3.2-6.8],West Africa,4.8
Male,2002,2.1 [1.0-3.8],West Africa,2.1
Female,2002,7.3 [4.6-10.9],West Africa,7.3
Both sexes,2003,5.1 [3.4-7.1],West Africa,5.1
Male,2003,2.2 [1.0-4.0],West Africa,2.2
Female,2003,7.7 [4.9-11.3],West Africa,7.7
Both sexes,2004,5.3 [3.7-7.5],West Africa,5.3
Male,2004,2.4 [1.1-4.3],West Africa,2.4
Female,2004,8.1 [5.2-11.8],West Africa,8.1
Both sexes,2005,5.6 [3.9-7.8],West Africa,5.6
Male,2005,2.6 [1.2-4.6],West Africa,2.6
Female,2005,8.5 [5.5-12.3],West Africa,8.5
Both sexes,2006,5.9 [4.1-8.2],West Africa,5.9
Male,2006,2.7 [1.3-4.8],West Africa,2.7
Female,2006,8.9 [5.8-12.8],West Africa,8.9
Both sexes,2007,6.2 [4.4-8.6],West Africa,6.2
Male,2007,2.9 [1.4-5.1],West Africa,2.9
Female,2007,9.4 [6.1-13.3],West Africa,9.4
Both sexes,2008,6.6 [4.6-9.0],West Africa,6.6
Male,2008,3.1 [1.5-5.4],West Africa,3.1
Female,2008,9.8 [6.4-13.9],West Africa,9.8
Both sexes,2009,6.9 [4.8-9.4],West Africa,6.9
Male,2009,3.3 [1.6-5.7],West Africa,3.3
Female,2009,10.3 [6.8-14.5],West Africa,10.3
Both sexes,2010,7.2 [5.1-9.8],West Africa,7.2
Male,2010,3.5 [1.7-6.1],West Africa,3.5
Female,2010,10.7 [7.1-15.1],West Africa,10.7
Both sexes,2011,7.6 [5.3-10.3],West Africa,7.6
Male,2011,3.7 [1.8-6.5],West Africa,3.7
