Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.9 [0.4-1.8],West Africa,0.9
Male,1975,0.3 [0.1-0.8],West Africa,0.3
Female,1975,1.4 [0.5-3.2],West Africa,1.4
Both sexes,1976,0.9 [0.4-1.9],West Africa,0.9
Male,1976,0.3 [0.1-0.9],West Africa,0.3
Female,1976,1.5 [0.6-3.3],West Africa,1.5
Both sexes,1977,1.0 [0.5-2.0],West Africa,1.0
Male,1977,0.3 [0.1-0.9],West Africa,0.3
Female,1977,1.6 [0.6-3.4],West Africa,1.6
Both sexes,1978,1.1 [0.5-2.0],West Africa,1.1
Male,1978,0.4 [0.1-0.9],West Africa,0.4
Female,1978,1.8 [0.7-3.5],West Africa,1.8
Both sexes,1979,1.2 [0.6-2.1],West Africa,1.2
Male,1979,0.4 [0.1-1.0],West Africa,0.4
Female,1979,1.9 [0.8-3.7],West Africa,1.9
Both sexes,1980,1.2 [0.6-2.2],West Africa,1.2
Male,1980,0.4 [0.1-1.0],West Africa,0.4
Female,1980,2.0 [0.9-3.8],West Africa,2.0
Both sexes,1981,1.3 [0.7-2.3],West Africa,1.3
Male,1981,0.4 [0.1-1.1],West Africa,0.4
Female,1981,2.1 [1.0-4.0],West Africa,2.1
Both sexes,1982,1.4 [0.7-2.4],West Africa,1.4
Male,1982,0.5 [0.1-1.2],West Africa,0.5
Female,1982,2.3 [1.0-4.1],West Africa,2.3
Both sexes,1983,1.5 [0.8-2.5],West Africa,1.5
Male,1983,0.5 [0.2-1.2],West Africa,0.5
Female,1983,2.4 [1.2-4.3],West Africa,2.4
Both sexes,1984,1.6 [0.9-2.7],West Africa,1.6
Male,1984,0.6 [0.2-1.3],West Africa,0.6
Female,1984,2.6 [1.3-4.5],West Africa,2.6
Both sexes,1985,1.7 [1.0-2.8],West Africa,1.7
Male,1985,0.6 [0.2-1.4],West Africa,0.6
Female,1985,2.7 [1.4-4.7],West Africa,2.7
Both sexes,1986,1.8 [1.0-2.9],West Africa,1.8
Male,1986,0.7 [0.2-1.4],West Africa,0.7
Female,1986,2.9 [1.5-4.9],West Africa,2.9
Both sexes,1987,1.9 [1.1-3.0],West Africa,1.9
Male,1987,0.7 [0.3-1.5],West Africa,0.7
Female,1987,3.1 [1.6-5.1],West Africa,3.1
Both sexes,1988,2.0 [1.2-3.2],West Africa,2.0
Male,1988,0.7 [0.3-1.6],West Africa,0.7
Female,1988,3.2 [1.7-5.3],West Africa,3.2
Both sexes,1989,2.2 [1.3-3.3],West Africa,2.2
Male,1989,0.8 [0.3-1.7],West Africa,0.8
Female,1989,3.4 [1.9-5.5],West Africa,3.4
Both sexes,1990,2.3 [1.4-3.5],West Africa,2.3
Male,1990,0.9 [0.3-1.7],West Africa,0.9
Female,1990,3.6 [2.0-5.8],West Africa,3.6
Both sexes,1991,2.4 [1.5-3.6],West Africa,2.4
Male,1991,0.9 [0.4-1.8],West Africa,0.9
Female,1991,3.8 [2.1-6.0],West Africa,3.8
Both sexes,1992,2.5 [1.6-3.7],West Africa,2.5
Male,1992,1.0 [0.4-1.9],West Africa,1.0
Female,1992,3.9 [2.3-6.2],West Africa,3.9
Both sexes,1993,2.6 [1.7-3.9],West Africa,2.6
Male,1993,1.0 [0.4-2.0],West Africa,1.0
Female,1993,4.1 [2.4-6.4],West Africa,4.1
Both sexes,1994,2.8 [1.8-4.1],West Africa,2.8
Male,1994,1.1 [0.5-2.1],West Africa,1.1
Female,1994,4.3 [2.6-6.7],West Africa,4.3
Both sexes,1995,2.9 [1.9-4.2],West Africa,2.9
Male,1995,1.2 [0.5-2.2],West Africa,1.2
Female,1995,4.5 [2.7-6.9],West Africa,4.5
Both sexes,1996,3.1 [2.0-4.4],West Africa,3.1
Male,1996,1.2 [0.5-2.3],West Africa,1.2
Female,1996,4.8 [2.9-7.2],West Africa,4.8
Both sexes,1997,3.2 [2.1-4.6],West Africa,3.2
Male,1997,1.3 [0.6-2.5],West Africa,1.3
Female,1997,5.0 [3.0-7.4],West Africa,5.0
Both sexes,1998,3.4 [2.3-4.7],West Africa,3.4
Male,1998,1.4 [0.6-2.6],West Africa,1.4
Female,1998,5.2 [3.2-7.7],West Africa,5.2
Both sexes,1999,3.5 [2.4-4.9],West Africa,3.5
Male,1999,1.5 [0.7-2.7],West Africa,1.5
Female,1999,5.5 [3.4-8.0],West Africa,5.5
Both sexes,2000,3.7 [2.5-5.1],West Africa,3.7
Male,2000,1.5 [0.7-2.8],West Africa,1.5
Female,2000,5.7 [3.6-8.3],West Africa,5.7
Both sexes,2001,3.9 [2.7-5.3],West Africa,3.9
Male,2001,1.6 [0.8-3.0],West Africa,1.6
Female,2001,6.0 [3.9-8.7],West Africa,6.0
Both sexes,2002,4.1 [2.8-5.6],West Africa,4.1
Male,2002,1.7 [0.8-3.1],West Africa,1.7
Female,2002,6.3 [4.1-9.0],West Africa,6.3
Both sexes,2003,4.3 [3.0-5.8],West Africa,4.3
Male,2003,1.8 [0.9-3.3],West Africa,1.8
Female,2003,6.6 [4.3-9.4],West Africa,6.6
Both sexes,2004,4.5 [3.2-6.1],West Africa,4.5
Male,2004,1.9 [0.9-3.4],West Africa,1.9
Female,2004,6.9 [4.6-9.8],West Africa,6.9
Both sexes,2005,4.7 [3.3-6.3],West Africa,4.7
Male,2005,2.0 [1.0-3.6],West Africa,2.0
Female,2005,7.2 [4.8-10.2],West Africa,7.2
Both sexes,2006,4.9 [3.5-6.6],West Africa,4.9
Male,2006,2.2 [1.1-3.8],West Africa,2.2
Female,2006,7.5 [5.1-10.6],West Africa,7.5
Both sexes,2007,5.2 [3.7-6.9],West Africa,5.2
Male,2007,2.3 [1.1-3.9],West Africa,2.3
Female,2007,7.9 [5.3-11.0],West Africa,7.9
Both sexes,2008,5.4 [3.9-7.1],West Africa,5.4
Male,2008,2.4 [1.2-4.1],West Africa,2.4
Female,2008,8.2 [5.6-11.5],West Africa,8.2
Both sexes,2009,5.6 [4.1-7.4],West Africa,5.6
Male,2009,2.5 [1.3-4.3],West Africa,2.5
Female,2009,8.6 [5.9-12.0],West Africa,8.6
Both sexes,2010,5.9 [4.3-7.8],West Africa,5.9
Male,2010,2.7 [1.4-4.5],West Africa,2.7
Female,2010,9.0 [6.1-12.5],West Africa,9.0
Both sexes,2011,6.2 [4.5-8.2],West Africa,6.2
Male,2011,2.8 [1.5-4.8],West Africa,2.8
Female,2011,9.4 [6.4-12.9],West Africa,9.4
Both sexes,2012,6.4 [4.7-8.6],West Africa,6.4
Male,2012,3.0 [1.5-5.1],West Africa,3.0
Female,2012,9.8 [6.6-13.5],West Africa,9.8
Both sexes,2013,6.7 [4.9-9.0],West Africa,6.7
Male,2013,3.1 [1.6-5.4],West Africa,3.1
Female,2013,10.2 [6.9-14.1],West Africa,10.2
Both sexes,2014,7.0 [5.1-9.4],West Africa,7.0
Male,2014,3.3 [1.7-5.7],West Africa,3.3
Female,2014,10.6 [7.1-14.8],West Africa,10.6
Both sexes,2015,7.4 [5.3-9.9],West Africa,7.4
Male,2015,3.5 [1.8-6.0],West Africa,3.5
Female,2015,11.0 [7.4-15.5],West Africa,11.0
Both sexes,2016,7.7 [5.4-10.4],West Africa,7.7
Male,2016,3.7 [1.8-6.4],West Africa,3.7
Female,2016,11.5 [7.6-16.3],West Africa,11.5
