Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.1 [2.7-8.4],South America,5.1
Male,1975,2.0 [0.7-4.6],South America,2.0
Female,1975,8.1 [3.7-14.4],South America,8.1
Both sexes,1976,5.3 [2.9-8.6],South America,5.3
Male,1976,2.1 [0.7-4.7],South America,2.1
Female,1976,8.4 [4.0-14.6],South America,8.4
Both sexes,1977,5.5 [3.1-8.8],South America,5.5
Male,1977,2.2 [0.8-4.8],South America,2.2
Female,1977,8.7 [4.2-14.8],South America,8.7
Both sexes,1978,5.7 [3.3-8.9],South America,5.7
Male,1978,2.3 [0.8-4.9],South America,2.3
Female,1978,9.0 [4.5-15.0],South America,9.0
Both sexes,1979,5.9 [3.5-9.1],South America,5.9
Male,1979,2.5 [0.9-5.1],South America,2.5
Female,1979,9.3 [4.8-15.2],South America,9.3
Both sexes,1980,6.2 [3.7-9.3],South America,6.2
Male,1980,2.6 [1.0-5.2],South America,2.6
Female,1980,9.6 [5.1-15.6],South America,9.6
Both sexes,1981,6.4 [3.9-9.6],South America,6.4
Male,1981,2.7 [1.1-5.4],South America,2.7
Female,1981,9.9 [5.4-15.9],South America,9.9
Both sexes,1982,6.6 [4.1-9.8],South America,6.6
Male,1982,2.8 [1.2-5.5],South America,2.8
Female,1982,10.3 [5.7-16.1],South America,10.3
Both sexes,1983,6.8 [4.3-10.1],South America,6.8
Male,1983,3.0 [1.3-5.7],South America,3.0
Female,1983,10.6 [6.0-16.4],South America,10.6
Both sexes,1984,7.1 [4.5-10.3],South America,7.1
Male,1984,3.1 [1.3-5.9],South America,3.1
Female,1984,10.9 [6.3-16.8],South America,10.9
Both sexes,1985,7.3 [4.7-10.5],South America,7.3
Male,1985,3.2 [1.4-6.1],South America,3.2
Female,1985,11.3 [6.6-17.2],South America,11.3
Both sexes,1986,7.6 [5.0-10.8],South America,7.6
Male,1986,3.4 [1.5-6.3],South America,3.4
Female,1986,11.6 [6.9-17.5],South America,11.6
Both sexes,1987,7.9 [5.2-11.1],South America,7.9
Male,1987,3.6 [1.6-6.5],South America,3.6
Female,1987,12.0 [7.2-17.9],South America,12.0
Both sexes,1988,8.1 [5.4-11.5],South America,8.1
Male,1988,3.7 [1.7-6.8],South America,3.7
Female,1988,12.3 [7.5-18.2],South America,12.3
Both sexes,1989,8.4 [5.7-11.8],South America,8.4
Male,1989,3.9 [1.9-7.1],South America,3.9
Female,1989,12.7 [7.9-18.7],South America,12.7
Both sexes,1990,8.7 [5.9-12.1],South America,8.7
Male,1990,4.1 [2.0-7.3],South America,4.1
Female,1990,13.1 [8.2-19.1],South America,13.1
Both sexes,1991,8.9 [6.2-12.4],South America,8.9
Male,1991,4.2 [2.1-7.6],South America,4.2
Female,1991,13.5 [8.5-19.5],South America,13.5
Both sexes,1992,9.2 [6.4-12.7],South America,9.2
Male,1992,4.4 [2.2-7.8],South America,4.4
Female,1992,13.9 [8.9-19.9],South America,13.9
Both sexes,1993,9.4 [6.6-12.9],South America,9.4
Male,1993,4.6 [2.3-8.1],South America,4.6
Female,1993,14.3 [9.2-20.4],South America,14.3
Both sexes,1994,9.7 [6.8-13.2],South America,9.7
Male,1994,4.9 [2.5-8.4],South America,4.9
Female,1994,14.7 [9.6-20.9],South America,14.7
Both sexes,1995,10.0 [7.1-13.5],South America,10.0
Male,1995,5.1 [2.6-8.7],South America,5.1
Female,1995,15.2 [10.0-21.3],South America,15.2
Both sexes,1996,10.4 [7.4-13.8],South America,10.4
Male,1996,5.3 [2.8-9.0],South America,5.3
Female,1996,15.6 [10.5-21.8],South America,15.6
Both sexes,1997,10.7 [7.7-14.3],South America,10.7
Male,1997,5.5 [2.9-9.4],South America,5.5
Female,1997,16.1 [10.8-22.2],South America,16.1
Both sexes,1998,11.1 [8.0-14.7],South America,11.1
Male,1998,5.8 [3.1-9.7],South America,5.8
Female,1998,16.6 [11.2-22.8],South America,16.6
Both sexes,1999,11.5 [8.4-15.2],South America,11.5
Male,1999,6.1 [3.3-10.0],South America,6.1
Female,1999,17.0 [11.6-23.3],South America,17.0
Both sexes,2000,11.9 [8.7-15.6],South America,11.9
Male,2000,6.3 [3.5-10.4],South America,6.3
Female,2000,17.5 [12.1-23.9],South America,17.5
Both sexes,2001,12.4 [9.1-16.1],South America,12.4
Male,2001,6.6 [3.7-10.7],South America,6.6
Female,2001,18.1 [12.6-24.4],South America,18.1
Both sexes,2002,12.8 [9.5-16.6],South America,12.8
Male,2002,6.9 [3.9-11.1],South America,6.9
Female,2002,18.6 [13.0-25.0],South America,18.6
Both sexes,2003,13.3 [9.9-17.1],South America,13.3
Male,2003,7.2 [4.1-11.4],South America,7.2
Female,2003,19.1 [13.4-25.5],South America,19.1
Both sexes,2004,13.8 [10.3-17.7],South America,13.8
Male,2004,7.5 [4.3-11.8],South America,7.5
Female,2004,19.6 [13.9-26.1],South America,19.6
Both sexes,2005,14.3 [10.7-18.2],South America,14.3
Male,2005,7.9 [4.5-12.3],South America,7.9
Female,2005,20.2 [14.4-26.7],South America,20.2
Both sexes,2006,14.8 [11.1-18.8],South America,14.8
Male,2006,8.2 [4.8-12.7],South America,8.2
Female,2006,20.8 [14.9-27.4],South America,20.8
Both sexes,2007,15.3 [11.5-19.5],South America,15.3
Male,2007,8.6 [5.0-13.2],South America,8.6
Female,2007,21.3 [15.3-28.1],South America,21.3
Both sexes,2008,15.8 [12.0-20.1],South America,15.8
Male,2008,9.0 [5.3-13.7],South America,9.0
Female,2008,21.9 [15.8-28.8],South America,21.9
Both sexes,2009,16.3 [12.4-20.7],South America,16.3
Male,2009,9.4 [5.5-14.3],South America,9.4
Female,2009,22.5 [16.3-29.4],South America,22.5
Both sexes,2010,16.8 [12.8-21.3],South America,16.8
Male,2010,9.8 [5.8-14.9],South America,9.8
Female,2010,23.1 [16.7-30.1],South America,23.1
Both sexes,2011,17.4 [13.3-22.0],South America,17.4
Male,2011,10.2 [6.1-15.5],South America,10.2
Female,2011,23.8 [17.1-31.0],South America,23.8
Both sexes,2012,17.9 [13.7-22.6],South America,17.9
Male,2012,10.6 [6.3-16.2],South America,10.6
Female,2012,24.4 [17.6-31.9],South America,24.4
Both sexes,2013,18.4 [14.1-23.3],South America,18.4
Male,2013,11.1 [6.6-16.9],South America,11.1
Female,2013,25.1 [18.1-32.6],South America,25.1
Both sexes,2014,19.0 [14.5-23.9],South America,19.0
Male,2014,11.6 [6.8-17.6],South America,11.6
Female,2014,25.7 [18.5-33.5],South America,25.7
Both sexes,2015,19.6 [14.9-24.7],South America,19.6
Male,2015,12.1 [7.1-18.5],South America,12.1
Female,2015,26.4 [19.0-34.4],South America,26.4
Both sexes,2016,20.2 [15.3-25.6],South America,20.2
Male,2016,12.7 [7.4-19.5],South America,12.7
Female,2016,27.1 [19.3-35.4],South America,27.1
