Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.3 [2.2-7.3],Central America,4.3
Male,1975,2.0 [0.6-4.9],Central America,2.0
Female,1975,6.5 [2.8-12.1],Central America,6.5
Both sexes,1976,4.5 [2.3-7.4],Central America,4.5
Male,1976,2.2 [0.7-5.0],Central America,2.2
Female,1976,6.8 [3.0-12.4],Central America,6.8
Both sexes,1977,4.7 [2.5-7.6],Central America,4.7
Male,1977,2.3 [0.8-5.2],Central America,2.3
Female,1977,7.1 [3.3-12.6],Central America,7.1
Both sexes,1978,5.0 [2.8-7.9],Central America,5.0
Male,1978,2.5 [0.9-5.3],Central America,2.5
Female,1978,7.4 [3.6-12.9],Central America,7.4
Both sexes,1979,5.2 [3.0-8.1],Central America,5.2
Male,1979,2.6 [1.0-5.5],Central America,2.6
Female,1979,7.8 [3.9-13.1],Central America,7.8
Both sexes,1980,5.5 [3.2-8.4],Central America,5.5
Male,1980,2.8 [1.1-5.7],Central America,2.8
Female,1980,8.1 [4.2-13.4],Central America,8.1
Both sexes,1981,5.7 [3.4-8.6],Central America,5.7
Male,1981,2.9 [1.2-5.9],Central America,2.9
Female,1981,8.4 [4.5-13.7],Central America,8.4
Both sexes,1982,6.0 [3.7-8.9],Central America,6.0
Male,1982,3.1 [1.3-6.2],Central America,3.1
Female,1982,8.8 [4.8-14.0],Central America,8.8
Both sexes,1983,6.3 [3.9-9.2],Central America,6.3
Male,1983,3.3 [1.4-6.4],Central America,3.3
Female,1983,9.2 [5.2-14.3],Central America,9.2
Both sexes,1984,6.6 [4.2-9.5],Central America,6.6
Male,1984,3.5 [1.5-6.6],Central America,3.5
Female,1984,9.6 [5.5-14.6],Central America,9.6
Both sexes,1985,6.9 [4.5-9.8],Central America,6.9
Male,1985,3.7 [1.7-6.9],Central America,3.7
Female,1985,9.9 [5.9-15.0],Central America,9.9
Both sexes,1986,7.2 [4.7-10.1],Central America,7.2
Male,1986,3.9 [1.8-7.2],Central America,3.9
Female,1986,10.4 [6.3-15.4],Central America,10.4
Both sexes,1987,7.5 [5.1-10.4],Central America,7.5
Male,1987,4.2 [1.9-7.5],Central America,4.2
Female,1987,10.8 [6.7-15.8],Central America,10.8
Both sexes,1988,7.8 [5.3-10.8],Central America,7.8
Male,1988,4.4 [2.1-7.8],Central America,4.4
Female,1988,11.2 [7.1-16.2],Central America,11.2
Both sexes,1989,8.2 [5.7-11.1],Central America,8.2
Male,1989,4.6 [2.3-8.1],Central America,4.6
Female,1989,11.6 [7.4-16.7],Central America,11.6
Both sexes,1990,8.5 [6.0-11.5],Central America,8.5
Male,1990,4.9 [2.4-8.5],Central America,4.9
Female,1990,12.1 [7.8-17.1],Central America,12.1
Both sexes,1991,8.9 [6.3-11.9],Central America,8.9
Male,1991,5.2 [2.6-8.8],Central America,5.2
Female,1991,12.5 [8.3-17.6],Central America,12.5
Both sexes,1992,9.3 [6.6-12.3],Central America,9.3
Male,1992,5.5 [2.8-9.2],Central America,5.5
Female,1992,13.0 [8.7-18.0],Central America,13.0
Both sexes,1993,9.7 [7.0-12.7],Central America,9.7
Male,1993,5.8 [3.0-9.5],Central America,5.8
Female,1993,13.5 [9.1-18.5],Central America,13.5
Both sexes,1994,10.0 [7.3-13.1],Central America,10.0
Male,1994,6.0 [3.2-9.9],Central America,6.0
Female,1994,13.9 [9.6-19.0],Central America,13.9
Both sexes,1995,10.4 [7.7-13.6],Central America,10.4
Male,1995,6.4 [3.4-10.3],Central America,6.4
Female,1995,14.4 [10.0-19.5],Central America,14.4
Both sexes,1996,10.8 [8.1-14.0],Central America,10.8
Male,1996,6.7 [3.6-10.7],Central America,6.7
Female,1996,14.9 [10.5-20.0],Central America,14.9
Both sexes,1997,11.3 [8.5-14.5],Central America,11.3
Male,1997,7.0 [3.9-11.1],Central America,7.0
Female,1997,15.4 [10.9-20.4],Central America,15.4
Both sexes,1998,11.7 [8.8-15.0],Central America,11.7
Male,1998,7.4 [4.1-11.5],Central America,7.4
Female,1998,15.9 [11.4-21.0],Central America,15.9
Both sexes,1999,12.1 [9.3-15.4],Central America,12.1
Male,1999,7.7 [4.4-12.0],Central America,7.7
Female,1999,16.5 [11.9-21.5],Central America,16.5
Both sexes,2000,12.6 [9.7-16.0],Central America,12.6
Male,2000,8.1 [4.6-12.4],Central America,8.1
Female,2000,17.0 [12.4-22.1],Central America,17.0
Both sexes,2001,13.1 [10.1-16.4],Central America,13.1
Male,2001,8.4 [4.9-12.9],Central America,8.4
Female,2001,17.6 [13.0-22.7],Central America,17.6
Both sexes,2002,13.5 [10.5-16.9],Central America,13.5
Male,2002,8.8 [5.2-13.4],Central America,8.8
Female,2002,18.1 [13.5-23.3],Central America,18.1
Both sexes,2003,14.0 [10.9-17.5],Central America,14.0
Male,2003,9.2 [5.6-14.0],Central America,9.2
Female,2003,18.7 [14.0-23.9],Central America,18.7
Both sexes,2004,14.5 [11.4-18.0],Central America,14.5
Male,2004,9.7 [5.9-14.5],Central America,9.7
Female,2004,19.3 [14.6-24.5],Central America,19.3
Both sexes,2005,15.0 [11.8-18.6],Central America,15.0
Male,2005,10.1 [6.2-15.0],Central America,10.1
Female,2005,19.9 [15.0-25.2],Central America,19.9
Both sexes,2006,15.6 [12.3-19.2],Central America,15.6
Male,2006,10.5 [6.5-15.5],Central America,10.5
Female,2006,20.5 [15.6-25.9],Central America,20.5
Both sexes,2007,16.1 [12.8-19.8],Central America,16.1
Male,2007,11.0 [6.9-16.1],Central America,11.0
Female,2007,21.1 [16.1-26.6],Central America,21.1
Both sexes,2008,16.7 [13.3-20.4],Central America,16.7
Male,2008,11.4 [7.2-16.7],Central America,11.4
Female,2008,21.7 [16.7-27.3],Central America,21.7
Both sexes,2009,17.2 [13.7-21.0],Central America,17.2
Male,2009,11.9 [7.6-17.3],Central America,11.9
Female,2009,22.3 [17.2-28.0],Central America,22.3
Both sexes,2010,17.8 [14.2-21.7],Central America,17.8
Male,2010,12.4 [8.0-17.9],Central America,12.4
Female,2010,22.9 [17.7-28.8],Central America,22.9
Both sexes,2011,18.4 [14.7-22.4],Central America,18.4
Male,2011,12.9 [8.3-18.6],Central America,12.9
Female,2011,23.6 [18.1-29.6],Central America,23.6
Both sexes,2012,19.0 [15.1-23.2],Central America,19.0
Male,2012,13.4 [8.6-19.4],Central America,13.4
Female,2012,24.2 [18.6-30.4],Central America,24.2
Both sexes,2013,19.5 [15.6-23.9],Central America,19.5
Male,2013,14.0 [8.9-20.1],Central America,14.0
Female,2013,24.9 [19.1-31.3],Central America,24.9
Both sexes,2014,20.1 [16.0-24.7],Central America,20.1
Male,2014,14.5 [9.2-20.9],Central America,14.5
Female,2014,25.5 [19.5-32.2],Central America,25.5
Both sexes,2015,20.8 [16.4-25.5],Central America,20.8
Male,2015,15.1 [9.6-21.8],Central America,15.1
Female,2015,26.2 [20.0-33.1],Central America,26.2
Both sexes,2016,21.4 [16.8-26.3],Central America,21.4
Male,2016,15.6 [9.8-22.6],Central America,15.6
Female,2016,26.9 [20.4-34.0],Central America,26.9
