Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.6 [8.7-17.5],Eastern Europe,12.6
Male,1975,9.8 [5.3-16.0],Eastern Europe,9.8
Female,1975,15.1 [9.1-22.7],Eastern Europe,15.1
Both sexes,1976,12.9 [9.1-17.6],Eastern Europe,12.9
Male,1976,10.1 [5.7-16.2],Eastern Europe,10.1
Female,1976,15.3 [9.5-22.6],Eastern Europe,15.3
Both sexes,1977,13.2 [9.5-17.7],Eastern Europe,13.2
Male,1977,10.4 [6.1-16.4],Eastern Europe,10.4
Female,1977,15.5 [9.9-22.6],Eastern Europe,15.5
Both sexes,1978,13.5 [9.8-17.8],Eastern Europe,13.5
Male,1978,10.8 [6.5-16.6],Eastern Europe,10.8
Female,1978,15.8 [10.3-22.6],Eastern Europe,15.8
Both sexes,1979,13.8 [10.2-17.9],Eastern Europe,13.8
Male,1979,11.1 [6.9-16.9],Eastern Europe,11.1
Female,1979,16.0 [10.7-22.7],Eastern Europe,16.0
Both sexes,1980,14.1 [10.6-18.1],Eastern Europe,14.1
Male,1980,11.5 [7.3-17.0],Eastern Europe,11.5
Female,1980,16.2 [11.0-22.8],Eastern Europe,16.2
Both sexes,1981,14.4 [10.9-18.4],Eastern Europe,14.4
Male,1981,11.9 [7.6-17.2],Eastern Europe,11.9
Female,1981,16.5 [11.3-22.8],Eastern Europe,16.5
Both sexes,1982,14.6 [11.3-18.6],Eastern Europe,14.6
Male,1982,12.2 [8.0-17.5],Eastern Europe,12.2
Female,1982,16.7 [11.7-22.9],Eastern Europe,16.7
Both sexes,1983,14.9 [11.6-18.8],Eastern Europe,14.9
Male,1983,12.6 [8.4-17.8],Eastern Europe,12.6
Female,1983,16.9 [12.0-23.0],Eastern Europe,16.9
Both sexes,1984,15.2 [12.0-19.1],Eastern Europe,15.2
Male,1984,13.0 [8.8-18.0],Eastern Europe,13.0
Female,1984,17.1 [12.3-23.0],Eastern Europe,17.1
Both sexes,1985,15.5 [12.3-19.3],Eastern Europe,15.5
Male,1985,13.3 [9.1-18.3],Eastern Europe,13.3
Female,1985,17.3 [12.6-23.0],Eastern Europe,17.3
Both sexes,1986,15.8 [12.5-19.6],Eastern Europe,15.8
Male,1986,13.7 [9.5-18.7],Eastern Europe,13.7
Female,1986,17.5 [12.8-23.1],Eastern Europe,17.5
Both sexes,1987,16.1 [12.8-19.8],Eastern Europe,16.1
Male,1987,14.1 [9.8-19.1],Eastern Europe,14.1
Female,1987,17.7 [13.0-23.2],Eastern Europe,17.7
Both sexes,1988,16.3 [13.1-20.1],Eastern Europe,16.3
Male,1988,14.4 [10.2-19.4],Eastern Europe,14.4
Female,1988,17.9 [13.2-23.4],Eastern Europe,17.9
Both sexes,1989,16.6 [13.3-20.3],Eastern Europe,16.6
Male,1989,14.8 [10.5-19.8],Eastern Europe,14.8
Female,1989,18.1 [13.4-23.6],Eastern Europe,18.1
Both sexes,1990,16.9 [13.6-20.6],Eastern Europe,16.9
Male,1990,15.2 [10.8-20.2],Eastern Europe,15.2
Female,1990,18.3 [13.6-23.7],Eastern Europe,18.3
Both sexes,1991,17.2 [13.9-20.9],Eastern Europe,17.2
Male,1991,15.6 [11.2-20.6],Eastern Europe,15.6
Female,1991,18.5 [13.8-23.8],Eastern Europe,18.5
Both sexes,1992,17.4 [14.2-21.1],Eastern Europe,17.4
Male,1992,16.0 [11.5-21.0],Eastern Europe,16.0
Female,1992,18.6 [13.9-23.9],Eastern Europe,18.6
Both sexes,1993,17.7 [14.4-21.4],Eastern Europe,17.7
Male,1993,16.3 [11.8-21.4],Eastern Europe,16.3
Female,1993,18.8 [14.1-24.1],Eastern Europe,18.8
Both sexes,1994,18.0 [14.7-21.7],Eastern Europe,18.0
Male,1994,16.7 [12.1-21.8],Eastern Europe,16.7
Female,1994,18.9 [14.3-24.2],Eastern Europe,18.9
Both sexes,1995,18.2 [14.9-21.9],Eastern Europe,18.2
Male,1995,17.1 [12.5-22.3],Eastern Europe,17.1
Female,1995,19.1 [14.4-24.4],Eastern Europe,19.1
Both sexes,1996,18.5 [15.1-22.2],Eastern Europe,18.5
Male,1996,17.5 [12.8-22.7],Eastern Europe,17.5
Female,1996,19.2 [14.5-24.6],Eastern Europe,19.2
Both sexes,1997,18.7 [15.4-22.5],Eastern Europe,18.7
Male,1997,17.9 [13.2-23.1],Eastern Europe,17.9
Female,1997,19.4 [14.7-24.7],Eastern Europe,19.4
Both sexes,1998,19.0 [15.6-22.7],Eastern Europe,19.0
Male,1998,18.3 [13.5-23.5],Eastern Europe,18.3
Female,1998,19.5 [14.8-24.8],Eastern Europe,19.5
Both sexes,1999,19.3 [15.9-23.0],Eastern Europe,19.3
Male,1999,18.7 [13.9-23.9],Eastern Europe,18.7
Female,1999,19.7 [15.0-25.0],Eastern Europe,19.7
