Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.4 [6.1-11.2],Northern Europe,8.4
Male,1975,7.2 [4.3-11.0],Northern Europe,7.2
Female,1975,9.6 [6.2-13.9],Northern Europe,9.6
Both sexes,1976,8.7 [6.3-11.4],Northern Europe,8.7
Male,1976,7.5 [4.6-11.1],Northern Europe,7.5
Female,1976,9.8 [6.5-14.0],Northern Europe,9.8
Both sexes,1977,8.9 [6.6-11.5],Northern Europe,8.9
Male,1977,7.7 [4.9-11.3],Northern Europe,7.7
Female,1977,10.0 [6.8-14.0],Northern Europe,10.0
Both sexes,1978,9.1 [6.9-11.7],Northern Europe,9.1
Male,1978,8.0 [5.2-11.5],Northern Europe,8.0
Female,1978,10.2 [7.1-14.1],Northern Europe,10.2
Both sexes,1979,9.4 [7.2-12.0],Northern Europe,9.4
Male,1979,8.3 [5.5-11.8],Northern Europe,8.3
Female,1979,10.4 [7.3-14.2],Northern Europe,10.4
Both sexes,1980,9.7 [7.5-12.2],Northern Europe,9.7
Male,1980,8.6 [5.8-12.1],Northern Europe,8.6
Female,1980,10.7 [7.5-14.4],Northern Europe,10.7
Both sexes,1981,9.9 [7.7-12.4],Northern Europe,9.9
Male,1981,8.9 [6.1-12.3],Northern Europe,8.9
Female,1981,10.9 [7.8-14.5],Northern Europe,10.9
Both sexes,1982,10.2 [8.0-12.7],Northern Europe,10.2
Male,1982,9.2 [6.3-12.6],Northern Europe,9.2
Female,1982,11.1 [8.0-14.7],Northern Europe,11.1
Both sexes,1983,10.5 [8.3-12.9],Northern Europe,10.5
Male,1983,9.5 [6.6-12.9],Northern Europe,9.5
Female,1983,11.3 [8.3-14.9],Northern Europe,11.3
Both sexes,1984,10.7 [8.6-13.2],Northern Europe,10.7
Male,1984,9.9 [6.9-13.3],Northern Europe,9.9
Female,1984,11.6 [8.5-15.1],Northern Europe,11.6
Both sexes,1985,11.0 [8.8-13.5],Northern Europe,11.0
Male,1985,10.2 [7.3-13.6],Northern Europe,10.2
Female,1985,11.8 [8.7-15.3],Northern Europe,11.8
Both sexes,1986,11.3 [9.1-13.8],Northern Europe,11.3
Male,1986,10.6 [7.6-14.0],Northern Europe,10.6
Female,1986,12.0 [9.0-15.6],Northern Europe,12.0
Both sexes,1987,11.6 [9.4-14.1],Northern Europe,11.6
Male,1987,10.9 [7.9-14.4],Northern Europe,10.9
Female,1987,12.3 [9.2-15.8],Northern Europe,12.3
Both sexes,1988,12.0 [9.7-14.4],Northern Europe,12.0
Male,1988,11.3 [8.2-14.8],Northern Europe,11.3
Female,1988,12.5 [9.4-16.0],Northern Europe,12.5
Both sexes,1989,12.3 [10.0-14.8],Northern Europe,12.3
Male,1989,11.7 [8.5-15.2],Northern Europe,11.7
Female,1989,12.8 [9.7-16.3],Northern Europe,12.8
Both sexes,1990,12.6 [10.3-15.2],Northern Europe,12.6
Male,1990,12.1 [8.8-15.7],Northern Europe,12.1
Female,1990,13.1 [9.9-16.5],Northern Europe,13.1
Both sexes,1991,12.9 [10.6-15.5],Northern Europe,12.9
Male,1991,12.5 [9.2-16.2],Northern Europe,12.5
Female,1991,13.3 [10.2-16.9],Northern Europe,13.3
Both sexes,1992,13.3 [10.9-15.9],Northern Europe,13.3
Male,1992,12.9 [9.5-16.6],Northern Europe,12.9
Female,1992,13.6 [10.4-17.2],Northern Europe,13.6
Both sexes,1993,13.6 [11.2-16.3],Northern Europe,13.6
Male,1993,13.3 [9.9-17.1],Northern Europe,13.3
Female,1993,13.9 [10.7-17.5],Northern Europe,13.9
Both sexes,1994,13.9 [11.5-16.7],Northern Europe,13.9
Male,1994,13.7 [10.2-17.6],Northern Europe,13.7
Female,1994,14.1 [10.9-17.8],Northern Europe,14.1
Both sexes,1995,14.3 [11.8-17.0],Northern Europe,14.3
Male,1995,14.1 [10.6-18.1],Northern Europe,14.1
Female,1995,14.4 [11.1-18.1],Northern Europe,14.4
Both sexes,1996,14.6 [12.1-17.3],Northern Europe,14.6
Male,1996,14.6 [10.9-18.5],Northern Europe,14.6
Female,1996,14.7 [11.4-18.4],Northern Europe,14.7
Both sexes,1997,15.0 [12.4-17.7],Northern Europe,15.0
Male,1997,15.0 [11.3-19.0],Northern Europe,15.0
Female,1997,14.9 [11.6-18.7],Northern Europe,14.9
Both sexes,1998,15.3 [12.8-18.0],Northern Europe,15.3
Male,1998,15.5 [11.7-19.5],Northern Europe,15.5
Female,1998,15.2 [11.8-19.0],Northern Europe,15.2
Both sexes,1999,15.7 [13.1-18.4],Northern Europe,15.7
Male,1999,15.9 [12.1-20.0],Northern Europe,15.9
Female,1999,15.4 [12.1-19.2],Northern Europe,15.4
Both sexes,2000,16.0 [13.4-18.8],Northern Europe,16.0
Male,2000,16.4 [12.5-20.4],Northern Europe,16.4
Female,2000,15.7 [12.3-19.5],Northern Europe,15.7
Both sexes,2001,16.4 [13.8-19.2],Northern Europe,16.4
Male,2001,16.8 [13.0-20.9],Northern Europe,16.8
Female,2001,15.9 [12.5-19.8],Northern Europe,15.9
Both sexes,2002,16.8 [14.1-19.6],Northern Europe,16.8
Male,2002,17.3 [13.4-21.5],Northern Europe,17.3
Female,2002,16.2 [12.7-20.0],Northern Europe,16.2
Both sexes,2003,17.1 [14.4-19.9],Northern Europe,17.1
Male,2003,17.7 [13.8-22.0],Northern Europe,17.7
Female,2003,16.4 [12.9-20.3],Northern Europe,16.4
Both sexes,2004,17.5 [14.8-20.3],Northern Europe,17.5
Male,2004,18.2 [14.3-22.5],Northern Europe,18.2
Female,2004,16.7 [13.2-20.6],Northern Europe,16.7
Both sexes,2005,17.8 [15.1-20.7],Northern Europe,17.8
Male,2005,18.7 [14.7-23.0],Northern Europe,18.7
Female,2005,16.9 [13.4-20.8],Northern Europe,16.9
Both sexes,2006,18.2 [15.4-21.1],Northern Europe,18.2
Male,2006,19.1 [15.1-23.5],Northern Europe,19.1
Female,2006,17.2 [13.6-21.1],Northern Europe,17.2
Both sexes,2007,18.5 [15.8-21.5],Northern Europe,18.5
Male,2007,19.6 [15.6-24.0],Northern Europe,19.6
Female,2007,17.4 [13.7-21.4],Northern Europe,17.4
Both sexes,2008,18.9 [16.1-21.8],Northern Europe,18.9
Male,2008,20.1 [16.0-24.6],Northern Europe,20.1
Female,2008,17.6 [13.9-21.7],Northern Europe,17.6
Both sexes,2009,19.2 [16.4-22.3],Northern Europe,19.2
Male,2009,20.6 [16.3-25.2],Northern Europe,20.6
Female,2009,17.8 [14.0-22.0],Northern Europe,17.8
Both sexes,2010,19.6 [16.6-22.7],Northern Europe,19.6
Male,2010,21.1 [16.7-25.8],Northern Europe,21.1
Female,2010,18.1 [14.1-22.3],Northern Europe,18.1
Both sexes,2011,20.0 [16.9-23.1],Northern Europe,20.0
Male,2011,21.6 [17.0-26.5],Northern Europe,21.6
Female,2011,18.3 [14.2-22.6],Northern Europe,18.3
Both sexes,2012,20.3 [17.1-23.7],Northern Europe,20.3
Male,2012,22.1 [17.3-27.3],Northern Europe,22.1
Female,2012,18.5 [14.3-23.0],Northern Europe,18.5
Both sexes,2013,20.7 [17.4-24.2],Northern Europe,20.7
Male,2013,22.6 [17.6-28.1],Northern Europe,22.6
Female,2013,18.7 [14.3-23.4],Northern Europe,18.7
Both sexes,2014,21.1 [17.6-24.8],Northern Europe,21.1
Male,2014,23.1 [18.0-28.9],Northern Europe,23.1
Female,2014,18.9 [14.4-23.9],Northern Europe,18.9
Both sexes,2015,21.5 [17.8-25.4],Northern Europe,21.5
Male,2015,23.7 [18.2-29.7],Northern Europe,23.7
Female,2015,19.2 [14.4-24.3],Northern Europe,19.2
Both sexes,2016,21.9 [18.0-26.0],Northern Europe,21.9
Male,2016,24.2 [18.4-30.5],Northern Europe,24.2
Female,2016,19.4 [14.5-24.8],Northern Europe,19.4
