Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.3 [0.2-0.6],South Asia,0.3
Male,1975,0.2 [0.1-0.4],South Asia,0.2
Female,1975,0.5 [0.2-1.1],South Asia,0.5
Both sexes,1976,0.4 [0.2-0.6],South Asia,0.4
Male,1976,0.2 [0.1-0.4],South Asia,0.2
Female,1976,0.6 [0.2-1.1],South Asia,0.6
Both sexes,1977,0.4 [0.2-0.7],South Asia,0.4
Male,1977,0.2 [0.1-0.4],South Asia,0.2
Female,1977,0.6 [0.3-1.2],South Asia,0.6
Both sexes,1978,0.4 [0.2-0.7],South Asia,0.4
Male,1978,0.2 [0.1-0.4],South Asia,0.2
Female,1978,0.6 [0.3-1.2],South Asia,0.6
Both sexes,1979,0.4 [0.3-0.7],South Asia,0.4
Male,1979,0.2 [0.1-0.4],South Asia,0.2
Female,1979,0.7 [0.3-1.2],South Asia,0.7
Both sexes,1980,0.5 [0.3-0.8],South Asia,0.5
Male,1980,0.2 [0.1-0.5],South Asia,0.2
Female,1980,0.7 [0.4-1.3],South Asia,0.7
Both sexes,1981,0.5 [0.3-0.8],South Asia,0.5
Male,1981,0.3 [0.1-0.5],South Asia,0.3
Female,1981,0.8 [0.4-1.3],South Asia,0.8
Both sexes,1982,0.5 [0.3-0.8],South Asia,0.5
Male,1982,0.3 [0.1-0.5],South Asia,0.3
Female,1982,0.8 [0.4-1.4],South Asia,0.8
Both sexes,1983,0.6 [0.4-0.9],South Asia,0.6
Male,1983,0.3 [0.1-0.5],South Asia,0.3
Female,1983,0.9 [0.5-1.4],South Asia,0.9
Both sexes,1984,0.6 [0.4-0.9],South Asia,0.6
Male,1984,0.3 [0.2-0.6],South Asia,0.3
Female,1984,0.9 [0.5-1.5],South Asia,0.9
Both sexes,1985,0.7 [0.4-1.0],South Asia,0.7
Male,1985,0.3 [0.2-0.6],South Asia,0.3
Female,1985,1.0 [0.6-1.6],South Asia,1.0
Both sexes,1986,0.7 [0.5-1.0],South Asia,0.7
Male,1986,0.4 [0.2-0.6],South Asia,0.4
Female,1986,1.1 [0.6-1.6],South Asia,1.1
Both sexes,1987,0.8 [0.5-1.0],South Asia,0.8
Male,1987,0.4 [0.2-0.6],South Asia,0.4
Female,1987,1.1 [0.7-1.7],South Asia,1.1
Both sexes,1988,0.8 [0.6-1.1],South Asia,0.8
Male,1988,0.4 [0.2-0.7],South Asia,0.4
Female,1988,1.2 [0.8-1.8],South Asia,1.2
Both sexes,1989,0.9 [0.6-1.1],South Asia,0.9
Male,1989,0.5 [0.3-0.7],South Asia,0.5
Female,1989,1.3 [0.8-1.8],South Asia,1.3
Both sexes,1990,0.9 [0.7-1.2],South Asia,0.9
Male,1990,0.5 [0.3-0.8],South Asia,0.5
Female,1990,1.3 [0.9-1.9],South Asia,1.3
Both sexes,1991,1.0 [0.7-1.3],South Asia,1.0
Male,1991,0.5 [0.3-0.8],South Asia,0.5
Female,1991,1.4 [1.0-2.0],South Asia,1.4
Both sexes,1992,1.0 [0.8-1.3],South Asia,1.0
Male,1992,0.6 [0.4-0.8],South Asia,0.6
Female,1992,1.5 [1.0-2.1],South Asia,1.5
Both sexes,1993,1.1 [0.8-1.4],South Asia,1.1
Male,1993,0.6 [0.4-0.9],South Asia,0.6
Female,1993,1.6 [1.1-2.2],South Asia,1.6
Both sexes,1994,1.2 [0.9-1.5],South Asia,1.2
Male,1994,0.6 [0.4-0.9],South Asia,0.6
Female,1994,1.7 [1.2-2.3],South Asia,1.7
Both sexes,1995,1.2 [0.9-1.5],South Asia,1.2
Male,1995,0.7 [0.5-1.0],South Asia,0.7
Female,1995,1.8 [1.3-2.4],South Asia,1.8
