Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.4 [0.2-0.9],Southeast Asia,0.4
Male,1975,0.1 [0.0-0.4],Southeast Asia,0.1
Female,1975,0.7 [0.2-1.6],Southeast Asia,0.7
Both sexes,1976,0.5 [0.2-0.9],Southeast Asia,0.5
Male,1976,0.2 [0.0-0.4],Southeast Asia,0.2
Female,1976,0.7 [0.3-1.6],Southeast Asia,0.7
Both sexes,1977,0.5 [0.2-0.9],Southeast Asia,0.5
Male,1977,0.2 [0.0-0.4],Southeast Asia,0.2
Female,1977,0.8 [0.3-1.6],Southeast Asia,0.8
Both sexes,1978,0.5 [0.2-1.0],Southeast Asia,0.5
Male,1978,0.2 [0.1-0.4],Southeast Asia,0.2
Female,1978,0.8 [0.3-1.7],Southeast Asia,0.8
Both sexes,1979,0.5 [0.3-1.0],Southeast Asia,0.5
Male,1979,0.2 [0.1-0.5],Southeast Asia,0.2
Female,1979,0.9 [0.4-1.7],Southeast Asia,0.9
Both sexes,1980,0.6 [0.3-1.0],Southeast Asia,0.6
Male,1980,0.2 [0.1-0.5],Southeast Asia,0.2
Female,1980,0.9 [0.4-1.8],Southeast Asia,0.9
Both sexes,1981,0.6 [0.3-1.1],Southeast Asia,0.6
Male,1981,0.2 [0.1-0.5],Southeast Asia,0.2
Female,1981,1.0 [0.5-1.9],Southeast Asia,1.0
Both sexes,1982,0.7 [0.4-1.1],Southeast Asia,0.7
Male,1982,0.3 [0.1-0.5],Southeast Asia,0.3
Female,1982,1.1 [0.5-1.9],Southeast Asia,1.1
Both sexes,1983,0.7 [0.4-1.2],Southeast Asia,0.7
Male,1983,0.3 [0.1-0.6],Southeast Asia,0.3
Female,1983,1.2 [0.6-2.0],Southeast Asia,1.2
Both sexes,1984,0.8 [0.4-1.3],Southeast Asia,0.8
Male,1984,0.3 [0.1-0.6],Southeast Asia,0.3
Female,1984,1.2 [0.6-2.1],Southeast Asia,1.2
Both sexes,1985,0.8 [0.5-1.3],Southeast Asia,0.8
Male,1985,0.3 [0.1-0.6],Southeast Asia,0.3
Female,1985,1.3 [0.7-2.3],Southeast Asia,1.3
Both sexes,1986,0.9 [0.5-1.4],Southeast Asia,0.9
Male,1986,0.4 [0.1-0.7],Southeast Asia,0.4
Female,1986,1.4 [0.8-2.4],Southeast Asia,1.4
Both sexes,1987,1.0 [0.6-1.5],Southeast Asia,1.0
Male,1987,0.4 [0.2-0.7],Southeast Asia,0.4
Female,1987,1.5 [0.8-2.5],Southeast Asia,1.5
Both sexes,1988,1.1 [0.7-1.6],Southeast Asia,1.1
Male,1988,0.4 [0.2-0.8],Southeast Asia,0.4
Female,1988,1.6 [0.9-2.7],Southeast Asia,1.6
Both sexes,1989,1.1 [0.7-1.7],Southeast Asia,1.1
Male,1989,0.5 [0.2-0.8],Southeast Asia,0.5
Female,1989,1.8 [1.0-2.8],Southeast Asia,1.8
Both sexes,1990,1.2 [0.8-1.8],Southeast Asia,1.2
